Timestamp,['1ccd663c-a85ae732 0087-THATCHER BLDG Power Meter (301204) KWH Received']
2017-02-28T00:00:00-07:00,2230.9375 kWh
2017-03-01T00:00:00-07:00,2228.0625 kWh
2017-03-02T00:00:00-07:00,2128.28125 kWh
2017-03-03T00:00:00-07:00,2162.15625 kWh
2017-03-04T00:00:00-07:00,1924.875 kWh
2017-03-05T00:00:00-07:00,1908.96875 kWh
2017-03-06T00:00:00-07:00,2163.46875 kWh
2017-03-07T00:00:00-07:00,2246.15625 kWh
2017-03-08T00:00:00-07:00,2295.5 kWh
2017-03-09T00:00:00-07:00,2231.5 kWh
2017-03-10T00:00:00-07:00,2094.78125 kWh
2017-03-11T00:00:00-07:00,1839.1875 kWh
2017-03-12T00:00:00-07:00,1765.75 kWh
2017-03-13T00:00:00-06:00,2119.9375 kWh
2017-03-14T00:00:00-06:00,2145.75 kWh
2017-03-15T00:00:00-06:00,2221.34375 kWh
2017-03-16T00:00:00-06:00,2147.09375 kWh
2017-03-17T00:00:00-06:00,2132.5 kWh
2017-03-18T00:00:00-06:00,329428.375 kWh
2017-03-19T00:00:00-06:00,1981.875 kWh
2017-03-20T00:00:00-06:00,2239.8125 kWh
2017-03-21T00:00:00-06:00,2268.46875 kWh
2017-03-22T00:00:00-06:00,2256.84375 kWh
2017-03-23T00:00:00-06:00,2187.5625 kWh
2017-03-24T00:00:00-06:00,2168.375 kWh
2017-03-25T00:00:00-06:00,1950 kWh
2017-03-26T00:00:00-06:00,1896.1875 kWh
2017-03-27T00:00:00-06:00,2166.375 kWh
2017-03-28T00:00:00-06:00,2138.9375 kWh
2017-03-29T00:00:00-06:00,3327.84375 kWh
2017-03-30T00:00:00-06:00,1029.84375 kWh
2017-03-31T00:00:00-06:00,2188.1875 kWh
2017-04-01T00:00:00-06:00,1932.15625 kWh
2017-04-02T00:00:00-06:00,1911.875 kWh
2017-04-03T00:00:00-06:00,2130.03125 kWh
2017-04-04T00:00:00-06:00,2223.5625 kWh
2017-04-05T00:00:00-06:00,2151.8125 kWh
2017-04-06T00:00:00-06:00,2067.625 kWh
2017-04-07T00:00:00-06:00,2142.28125 kWh
2017-04-08T00:00:00-06:00,1978.1875 kWh
2017-04-09T00:00:00-06:00,1950.4375 kWh
2017-04-10T00:00:00-06:00,2224.25 kWh
2017-04-11T00:00:00-06:00,2188.90625 kWh
2017-04-12T00:00:00-06:00,2214.71875 kWh
2017-04-13T00:00:00-06:00,2171.8125 kWh
2017-04-14T00:00:00-06:00,2134.9375 kWh
2017-04-15T00:00:00-06:00,1922.5625 kWh
2017-04-16T00:00:00-06:00,1927.03125 kWh
2017-04-17T00:00:00-06:00,2172.28125 kWh
2017-04-18T00:00:00-06:00,2126.75 kWh
2017-04-19T00:00:00-06:00,2154.65625 kWh
2017-04-20T00:00:00-06:00,2145.8125 kWh
2017-04-21T00:00:00-06:00,2144.59375 kWh
2017-04-22T00:00:00-06:00,1902.34375 kWh
2017-04-23T00:00:00-06:00,1901.21875 kWh
2017-04-24T00:00:00-06:00,2179.6875 kWh
2017-04-25T00:00:00-06:00,2110.3125 kWh
2017-04-26T00:00:00-06:00,2067.5625 kWh
2017-04-27T00:00:00-06:00,2170.21875 kWh
2017-04-28T00:00:00-06:00,2089.71875 kWh
2017-04-29T00:00:00-06:00,1803.6875 kWh
2017-04-30T00:00:00-06:00,1739.5 kWh
2017-05-01T00:00:00-06:00,2091.40625 kWh
2017-05-02T00:00:00-06:00,2107.59375 kWh
2017-05-03T00:00:00-06:00,2153.90625 kWh
2017-05-04T00:00:00-06:00,2119.4375 kWh
2017-05-05T00:00:00-06:00,2146.5 kWh
2017-05-06T00:00:00-06:00,1946.46875 kWh
2017-05-07T00:00:00-06:00,1919.9375 kWh
2017-05-08T00:00:00-06:00,1947.75 kWh
2017-05-09T00:00:00-06:00,1847.96875 kWh
2017-05-10T00:00:00-06:00,2129.21875 kWh
2017-05-11T00:00:00-06:00,2119.6875 kWh
2017-05-12T00:00:00-06:00,2036.71875 kWh
2017-05-13T00:00:00-06:00,1725.375 kWh
2017-05-14T00:00:00-06:00,1716.53125 kWh
2017-05-15T00:00:00-06:00,2223.78125 kWh
2017-05-16T00:00:00-06:00,2241.96875 kWh
2017-05-17T00:00:00-06:00,2295.25 kWh
2017-05-18T00:00:00-06:00,2315.4375 kWh
2017-05-19T00:00:00-06:00,2411.53125 kWh
2017-05-20T00:00:00-06:00,2061.5 kWh
2017-05-21T00:00:00-06:00,2095.59375 kWh
2017-05-22T00:00:00-06:00,2390.84375 kWh
2017-05-23T00:00:00-06:00,2367.71875 kWh
2017-05-24T00:00:00-06:00,2357.0625 kWh
2017-05-25T00:00:00-06:00,2363.28125 kWh
2017-05-26T00:00:00-06:00,2308.125 kWh
2017-05-27T00:00:00-06:00,2079.90625 kWh
2017-05-28T00:00:00-06:00,2068.65625 kWh
2017-05-29T00:00:00-06:00,2115.15625 kWh
2017-05-30T00:00:00-06:00,2351.84375 kWh
2017-05-31T00:00:00-06:00,2400.5 kWh
2017-06-01T00:00:00-06:00,4089.71875 kWh
2017-06-02T00:00:00-06:00,762.09375 kWh
2017-06-03T00:00:00-06:00,2076.25 kWh
2017-06-04T00:00:00-06:00,2066.25 kWh
2017-06-05T00:00:00-06:00,2434.75 kWh
2017-06-06T00:00:00-06:00,2447.75 kWh
2017-06-07T00:00:00-06:00,2432.6875 kWh
2017-06-08T00:00:00-06:00,2504.3125 kWh
2017-06-09T00:00:00-06:00,2474.34375 kWh
2017-06-10T00:00:00-06:00,2099 kWh
2017-06-11T00:00:00-06:00,2090.53125 kWh
2017-06-12T00:00:00-06:00,2473.46875 kWh
2017-06-13T00:00:00-06:00,2531.375 kWh
2017-06-14T00:00:00-06:00,2610.125 kWh
2017-06-15T00:00:00-06:00,2566.40625 kWh
2017-06-16T00:00:00-06:00,2553.84375 kWh
2017-06-17T00:00:00-06:00,2201.09375 kWh
2017-06-18T00:00:00-06:00,2132.875 kWh
2017-06-19T00:00:00-06:00,2510.75 kWh
2017-06-20T00:00:00-06:00,2512.1875 kWh
2017-06-21T00:00:00-06:00,2390.5 kWh
2017-06-22T00:00:00-06:00,2340.4375 kWh
2017-06-23T00:00:00-06:00,2359.1875 kWh
2017-06-24T00:00:00-06:00,1918.375 kWh
2017-06-25T00:00:00-06:00,1867.4375 kWh
2017-06-26T00:00:00-06:00,2274.8125 kWh
2017-06-27T00:00:00-06:00,2413.9375 kWh
2017-06-28T00:00:00-06:00,2430.4375 kWh
2017-06-29T00:00:00-06:00,2181.875 kWh
2017-06-30T00:00:00-06:00,1873.1875 kWh
2017-07-01T00:00:00-06:00,1952.4375 kWh
2017-07-02T00:00:00-06:00,1948.25 kWh
2017-07-03T00:00:00-06:00,2353.5625 kWh
2017-07-04T00:00:00-06:00,2101.8125 kWh
2017-07-05T00:00:00-06:00,2408.8125 kWh
2017-07-06T00:00:00-06:00,2495.125 kWh
2017-07-07T00:00:00-06:00,2456.125 kWh
2017-07-08T00:00:00-06:00,2124.3125 kWh
2017-07-09T00:00:00-06:00,2102.3125 kWh
2017-07-10T00:00:00-06:00,2468.9375 kWh
2017-07-11T00:00:00-06:00,2482.125 kWh
2017-07-12T00:00:00-06:00,2462.75 kWh
2017-07-13T00:00:00-06:00,2512.625 kWh
2017-07-14T00:00:00-06:00,2432.5625 kWh
2017-07-15T00:00:00-06:00,2097.125 kWh
2017-07-16T00:00:00-06:00,2078.25 kWh
2017-07-17T00:00:00-06:00,2501.0625 kWh
2017-07-18T00:00:00-06:00,2492.8125 kWh
2017-07-19T00:00:00-06:00,2575.1875 kWh
2017-07-20T00:00:00-06:00,2588.75 kWh
2017-07-21T00:00:00-06:00,2384.75 kWh
2017-07-22T00:00:00-06:00,2099.5625 kWh
2017-07-23T00:00:00-06:00,2075.125 kWh
2017-07-24T00:00:00-06:00,2115.375 kWh
2017-07-25T00:00:00-06:00,2373.75 kWh
2017-07-26T00:00:00-06:00,2431.25 kWh
2017-07-27T00:00:00-06:00,2469.3125 kWh
2017-07-28T00:00:00-06:00,2452.75 kWh
2017-07-29T00:00:00-06:00,2263.1875 kWh
2017-07-30T00:00:00-06:00,2147.875 kWh
2017-07-31T00:00:00-06:00,2517.625 kWh
2017-08-01T00:00:00-06:00,2450.125 kWh
2017-08-02T00:00:00-06:00,2465.9375 kWh
2017-08-03T00:00:00-06:00,2458.5625 kWh
2017-08-04T00:00:00-06:00,2434 kWh
2017-08-05T00:00:00-06:00,2187.3125 kWh
2017-08-06T00:00:00-06:00,2112 kWh
2017-08-07T00:00:00-06:00,2471.625 kWh
2017-08-08T00:00:00-06:00,2408.75 kWh
2017-08-09T00:00:00-06:00,2486.6875 kWh
2017-08-10T00:00:00-06:00,2454.9375 kWh
2017-08-11T00:00:00-06:00,2362.8125 kWh
2017-08-12T00:00:00-06:00,2047.25 kWh
2017-08-13T00:00:00-06:00,2045.8125 kWh
2017-08-14T00:00:00-06:00,2370.1875 kWh
2017-08-15T00:00:00-06:00,2336.9375 kWh
2017-08-16T00:00:00-06:00,2324.0625 kWh
2017-08-17T00:00:00-06:00,2304.9375 kWh
2017-08-18T00:00:00-06:00,2321.4375 kWh
2017-08-19T00:00:00-06:00,2104.75 kWh
2017-08-20T00:00:00-06:00,2040.625 kWh
2017-08-21T00:00:00-06:00,2279.3125 kWh
2017-08-22T00:00:00-06:00,2339.4375 kWh
2017-08-23T00:00:00-06:00,2333.3125 kWh
2017-08-24T00:00:00-06:00,2372.75 kWh
2017-08-25T00:00:00-06:00,2371.5625 kWh
2017-08-26T00:00:00-06:00,2156.4375 kWh
2017-08-27T00:00:00-06:00,2083.125 kWh
2017-08-28T00:00:00-06:00,2371.0625 kWh
2017-08-29T00:00:00-06:00,2304.4375 kWh
2017-08-30T00:00:00-06:00,2298.5 kWh
2017-08-31T00:00:00-06:00,2368.3125 kWh
2017-09-01T00:00:00-06:00,2316.75 kWh
2017-09-02T00:00:00-06:00,1942.8125 kWh
2017-09-03T00:00:00-06:00,1927.875 kWh
2017-09-04T00:00:00-06:00,1988.8125 kWh
2017-09-05T00:00:00-06:00,2351.5 kWh
2017-09-06T00:00:00-06:00,2348.5 kWh
2017-09-07T00:00:00-06:00,2334.4375 kWh
2017-09-08T00:00:00-06:00,2386.625 kWh
2017-09-09T00:00:00-06:00,2120.625 kWh
2017-09-10T00:00:00-06:00,2068.375 kWh
2017-09-11T00:00:00-06:00,2439.8125 kWh
2017-09-12T00:00:00-06:00,2464.4375 kWh
2017-09-13T00:00:00-06:00,2438.9375 kWh
2017-09-14T00:00:00-06:00,2476.4375 kWh
2017-09-15T00:00:00-06:00,2419.6875 kWh
2017-09-16T00:00:00-06:00,2101.6875 kWh
2017-09-17T00:00:00-06:00,2081.0625 kWh
2017-09-18T00:00:00-06:00,2417.0625 kWh
2017-09-19T00:00:00-06:00,2459.125 kWh
2017-09-20T00:00:00-06:00,2518.3125 kWh
2017-09-21T00:00:00-06:00,2466.9375 kWh
2017-09-22T00:00:00-06:00,2407.875 kWh
2017-09-23T00:00:00-06:00,2144.0625 kWh
2017-09-24T00:00:00-06:00,2102.875 kWh
2017-09-25T00:00:00-06:00,2483.8125 kWh
2017-09-26T00:00:00-06:00,2511.25 kWh
2017-09-27T00:00:00-06:00,2469.375 kWh
2017-09-28T00:00:00-06:00,2456.0625 kWh
2017-09-29T00:00:00-06:00,2375.375 kWh
2017-09-30T00:00:00-06:00,2141.1875 kWh
2017-10-01T00:00:00-06:00,2110 kWh
2017-10-02T00:00:00-06:00,2496.75 kWh
2017-10-03T00:00:00-06:00,2530.875 kWh
2017-10-04T00:00:00-06:00,2489.875 kWh
2017-10-05T00:00:00-06:00,2393.625 kWh
2017-10-06T00:00:00-06:00,2443.125 kWh
2017-10-07T00:00:00-06:00,2164.3125 kWh
2017-10-08T00:00:00-06:00,2115.4375 kWh
2017-10-09T00:00:00-06:00,2473.75 kWh
2017-10-10T00:00:00-06:00,2508.5625 kWh
2017-10-11T00:00:00-06:00,2475 kWh
2017-10-12T00:00:00-06:00,2383.375 kWh
2017-10-13T00:00:00-06:00,2370.5625 kWh
2017-10-14T00:00:00-06:00,2079.25 kWh
2017-10-15T00:00:00-06:00,2040.875 kWh
2017-10-16T00:00:00-06:00,2399.5625 kWh
2017-10-17T00:00:00-06:00,2391.0625 kWh
2017-10-18T00:00:00-06:00,2385.5 kWh
2017-10-19T00:00:00-06:00,2319.875 kWh
2017-10-20T00:00:00-06:00,2284.375 kWh
2017-10-21T00:00:00-06:00,2094.625 kWh
2017-10-22T00:00:00-06:00,2102.375 kWh
2017-10-23T00:00:00-06:00,2399.1875 kWh
2017-10-24T00:00:00-06:00,2435.4375 kWh
2017-10-25T00:00:00-06:00,2437.625 kWh
2017-10-26T00:00:00-06:00,2444.0625 kWh
2017-10-27T00:00:00-06:00,2381.3125 kWh
2017-10-28T00:00:00-06:00,2127.625 kWh
2017-10-29T00:00:00-06:00,2118.5 kWh
2017-10-30T00:00:00-06:00,2419.6875 kWh
2017-10-31T00:00:00-06:00,2475.625 kWh
2017-11-01T00:00:00-06:00,2529.1875 kWh
2017-11-02T00:00:00-06:00,2430.25 kWh
2017-11-03T00:00:00-06:00,2388.5 kWh
2017-11-04T00:00:00-06:00,2153.4375 kWh
2017-11-05T00:00:00-06:00,2238.375 kWh
2017-11-06T00:00:00-07:00,2464.6875 kWh
2017-11-07T00:00:00-07:00,2497.875 kWh
2017-11-08T00:00:00-07:00,2490.5 kWh
2017-11-09T00:00:00-07:00,2448.0625 kWh
2017-11-10T00:00:00-07:00,2422.8125 kWh
2017-11-11T00:00:00-07:00,2122.75 kWh
2017-11-12T00:00:00-07:00,2077.4375 kWh
2017-11-13T00:00:00-07:00,2345.5625 kWh
2017-11-14T00:00:00-07:00,2429.625 kWh
2017-11-15T00:00:00-07:00,2409.6875 kWh
2017-11-16T00:00:00-07:00,2371.5625 kWh
2017-11-17T00:00:00-07:00,2337.375 kWh
2017-11-18T00:00:00-07:00,1870.875 kWh
2017-11-19T00:00:00-07:00,1682.0625 kWh
2017-11-20T00:00:00-07:00,1947.5 kWh
2017-11-21T00:00:00-07:00,1938.0625 kWh
2017-11-22T00:00:00-07:00,1834.125 kWh
2017-11-23T00:00:00-07:00,1825.4375 kWh
2017-11-24T00:00:00-07:00,1810 kWh
2017-11-25T00:00:00-07:00,1806.6875 kWh
2017-11-26T00:00:00-07:00,1804.25 kWh
2017-11-27T00:00:00-07:00,2153.75 kWh
2017-11-28T00:00:00-07:00,2233.75 kWh
2017-11-29T00:00:00-07:00,2305.8125 kWh
2017-11-30T00:00:00-07:00,2269.125 kWh
2017-12-01T00:00:00-07:00,2239.4375 kWh
2017-12-02T00:00:00-07:00,1949.8125 kWh
2017-12-03T00:00:00-07:00,1910.1875 kWh
2017-12-04T00:00:00-07:00,2273.0625 kWh
2017-12-05T00:00:00-07:00,2255.1875 kWh
2017-12-06T00:00:00-07:00,2229.875 kWh
2017-12-07T00:00:00-07:00,2220.75 kWh
2017-12-08T00:00:00-07:00,2188.5 kWh
2017-12-09T00:00:00-07:00,1920.875 kWh
2017-12-10T00:00:00-07:00,1929 kWh
2017-12-11T00:00:00-07:00,2264.1875 kWh
2017-12-12T00:00:00-07:00,2272.8125 kWh
2017-12-13T00:00:00-07:00,2299.25 kWh
2017-12-14T00:00:00-07:00,2247.375 kWh
2017-12-15T00:00:00-07:00,2229.8125 kWh
2017-12-16T00:00:00-07:00,1946.625 kWh
2017-12-17T00:00:00-07:00,1916.6875 kWh
2017-12-18T00:00:00-07:00,2295.75 kWh
2017-12-19T00:00:00-07:00,2118.6875 kWh
2017-12-20T00:00:00-07:00,2101.0625 kWh
2017-12-21T00:00:00-07:00,2155.625 kWh
2017-12-22T00:00:00-07:00,2027.1875 kWh
2017-12-23T00:00:00-07:00,1801.75 kWh
2017-12-24T00:00:00-07:00,1796.5625 kWh
2017-12-25T00:00:00-07:00,1778.8125 kWh
2017-12-26T00:00:00-07:00,1770.25 kWh
2017-12-27T00:00:00-07:00,1823.3125 kWh
2017-12-28T00:00:00-07:00,1842.9375 kWh
2017-12-29T00:00:00-07:00,1789.1875 kWh
2017-12-30T00:00:00-07:00,1742.5625 kWh
2017-12-31T00:00:00-07:00,1794.4375 kWh
