Timestamp,['1f7d6ce1-899cf896 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Energy Consumption']
2017-03-23T00:00:00-06:00,617 kWh
2017-03-24T00:00:00-06:00,582.5 kWh
2017-03-25T00:00:00-06:00,502 kWh
2017-03-26T00:00:00-06:00,504 kWh
2017-03-27T00:00:00-06:00,622.5 kWh
2017-03-28T00:00:00-06:00,602 kWh
2017-03-29T00:00:00-06:00,892.5 kWh
2017-03-30T00:00:00-06:00,298.5 kWh
2017-03-31T00:00:00-06:00,597.5 kWh
2017-04-01T00:00:00-06:00,488 kWh
2017-04-02T00:00:00-06:00,496.5 kWh
2017-04-03T00:00:00-06:00,613.5 kWh
2017-04-04T00:00:00-06:00,612 kWh
2017-04-05T00:00:00-06:00,607.5 kWh
2017-04-06T00:00:00-06:00,588.5 kWh
2017-04-07T00:00:00-06:00,556.5 kWh
2017-04-08T00:00:00-06:00,519 kWh
2017-04-09T00:00:00-06:00,535 kWh
2017-04-10T00:00:00-06:00,612.5 kWh
2017-04-11T00:00:00-06:00,601.5 kWh
2017-04-12T00:00:00-06:00,610 kWh
2017-04-13T00:00:00-06:00,556.5 kWh
2017-04-14T00:00:00-06:00,559.5 kWh
2017-04-15T00:00:00-06:00,501.5 kWh
2017-04-16T00:00:00-06:00,490.5 kWh
2017-04-17T00:00:00-06:00,564.5 kWh
2017-04-18T00:00:00-06:00,569 kWh
2017-04-19T00:00:00-06:00,608.5 kWh
2017-04-20T00:00:00-06:00,577.5 kWh
2017-04-21T00:00:00-06:00,603 kWh
2017-04-22T00:00:00-06:00,510.5 kWh
2017-04-23T00:00:00-06:00,494 kWh
2017-04-24T00:00:00-06:00,632.5 kWh
2017-04-25T00:00:00-06:00,653 kWh
2017-04-26T00:00:00-06:00,639 kWh
2017-04-27T00:00:00-06:00,602.5 kWh
2017-04-28T00:00:00-06:00,581 kWh
2017-04-29T00:00:00-06:00,521.5 kWh
2017-04-30T00:00:00-06:00,495 kWh
2017-05-01T00:00:00-06:00,547.5 kWh
2017-05-02T00:00:00-06:00,557 kWh
2017-05-03T00:00:00-06:00,552 kWh
2017-05-04T00:00:00-06:00,513 kWh
2017-05-05T00:00:00-06:00,504.5 kWh
2017-05-06T00:00:00-06:00,459.5 kWh
2017-05-07T00:00:00-06:00,456.5 kWh
2017-05-08T00:00:00-06:00,513.5 kWh
2017-05-09T00:00:00-06:00,512.5 kWh
2017-05-10T00:00:00-06:00,504 kWh
2017-05-11T00:00:00-06:00,503 kWh
2017-05-12T00:00:00-06:00,499.5 kWh
2017-05-13T00:00:00-06:00,454 kWh
2017-05-14T00:00:00-06:00,461.5 kWh
2017-05-15T00:00:00-06:00,501 kWh
2017-05-16T00:00:00-06:00,522.5 kWh
2017-05-17T00:00:00-06:00,573 kWh
2017-05-18T00:00:00-06:00,595.5 kWh
2017-05-19T00:00:00-06:00,550.5 kWh
2017-05-20T00:00:00-06:00,468 kWh
2017-05-21T00:00:00-06:00,458.5 kWh
2017-05-22T00:00:00-06:00,501 kWh
2017-05-23T00:00:00-06:00,499 kWh
2017-05-24T00:00:00-06:00,503 kWh
2017-05-25T00:00:00-06:00,497 kWh
2017-05-26T00:00:00-06:00,482.5 kWh
2017-05-27T00:00:00-06:00,446 kWh
2017-05-28T00:00:00-06:00,449.5 kWh
2017-05-29T00:00:00-06:00,457 kWh
2017-05-30T00:00:00-06:00,504.5 kWh
2017-05-31T00:00:00-06:00,516.5 kWh
2017-06-01T00:00:00-06:00,524 kWh
2017-06-02T00:00:00-06:00,515 kWh
2017-06-03T00:00:00-06:00,443.5 kWh
2017-06-04T00:00:00-06:00,430 kWh
2017-06-05T00:00:00-06:00,496 kWh
2017-06-06T00:00:00-06:00,501 kWh
2017-06-07T00:00:00-06:00,500 kWh
2017-06-08T00:00:00-06:00,517.5 kWh
2017-06-09T00:00:00-06:00,511.5 kWh
2017-06-10T00:00:00-06:00,436.5 kWh
2017-06-11T00:00:00-06:00,438.5 kWh
2017-06-12T00:00:00-06:00,506.5 kWh
2017-06-13T00:00:00-06:00,526.5 kWh
2017-06-14T00:00:00-06:00,518.5 kWh
2017-06-15T00:00:00-06:00,519 kWh
2017-06-16T00:00:00-06:00,511 kWh
2017-06-17T00:00:00-06:00,459 kWh
2017-06-18T00:00:00-06:00,460 kWh
2017-06-19T00:00:00-06:00,508 kWh
2017-06-20T00:00:00-06:00,504.5 kWh
2017-06-21T00:00:00-06:00,511.5 kWh
2017-06-22T00:00:00-06:00,513.5 kWh
2017-06-23T00:00:00-06:00,509 kWh
2017-06-24T00:00:00-06:00,456.5 kWh
2017-06-25T00:00:00-06:00,458 kWh
2017-06-26T00:00:00-06:00,503 kWh
2017-06-27T00:00:00-06:00,507.5 kWh
2017-06-28T00:00:00-06:00,507 kWh
2017-06-29T00:00:00-06:00,491 kWh
2017-06-30T00:00:00-06:00,468.5 kWh
2017-07-01T00:00:00-06:00,447.5 kWh
2017-07-02T00:00:00-06:00,448 kWh
2017-07-03T00:00:00-06:00,482 kWh
2017-07-04T00:00:00-06:00,444 kWh
2017-07-05T00:00:00-06:00,479.5 kWh
2017-07-06T00:00:00-06:00,488.5 kWh
2017-07-07T00:00:00-06:00,494 kWh
2017-07-08T00:00:00-06:00,458 kWh
2017-07-09T00:00:00-06:00,452.5 kWh
2017-07-10T00:00:00-06:00,488 kWh
2017-07-11T00:00:00-06:00,477.5 kWh
2017-07-12T00:00:00-06:00,473 kWh
2017-07-13T00:00:00-06:00,476 kWh
2017-07-14T00:00:00-06:00,460.5 kWh
2017-07-15T00:00:00-06:00,410.5 kWh
2017-07-16T00:00:00-06:00,404 kWh
2017-07-17T00:00:00-06:00,460.5 kWh
2017-07-18T00:00:00-06:00,469.5 kWh
2017-07-19T00:00:00-06:00,469.5 kWh
2017-07-20T00:00:00-06:00,462 kWh
2017-07-21T00:00:00-06:00,460 kWh
2017-07-22T00:00:00-06:00,415 kWh
2017-07-23T00:00:00-06:00,415 kWh
2017-07-24T00:00:00-06:00,428 kWh
2017-07-25T00:00:00-06:00,479 kWh
2017-07-26T00:00:00-06:00,477 kWh
2017-07-27T00:00:00-06:00,473 kWh
2017-07-28T00:00:00-06:00,466.5 kWh
2017-07-29T00:00:00-06:00,425 kWh
2017-07-30T00:00:00-06:00,431 kWh
2017-07-31T00:00:00-06:00,481.5 kWh
2017-08-01T00:00:00-06:00,483.5 kWh
2017-08-02T00:00:00-06:00,471 kWh
2017-08-03T00:00:00-06:00,471 kWh
2017-08-04T00:00:00-06:00,464.5 kWh
2017-08-05T00:00:00-06:00,414.5 kWh
2017-08-06T00:00:00-06:00,417.5 kWh
2017-08-07T00:00:00-06:00,470.5 kWh
2017-08-08T00:00:00-06:00,471.5 kWh
2017-08-09T00:00:00-06:00,470 kWh
2017-08-10T00:00:00-06:00,475 kWh
2017-08-11T00:00:00-06:00,475.5 kWh
2017-08-12T00:00:00-06:00,416 kWh
2017-08-13T00:00:00-06:00,418.5 kWh
2017-08-14T00:00:00-06:00,469.5 kWh
2017-08-15T00:00:00-06:00,472 kWh
2017-08-16T00:00:00-06:00,472 kWh
2017-08-17T00:00:00-06:00,463.5 kWh
2017-08-18T00:00:00-06:00,483 kWh
2017-08-19T00:00:00-06:00,428 kWh
2017-08-20T00:00:00-06:00,435 kWh
2017-08-21T00:00:00-06:00,503 kWh
2017-08-22T00:00:00-06:00,503.5 kWh
2017-08-23T00:00:00-06:00,518 kWh
2017-08-24T00:00:00-06:00,526 kWh
2017-08-25T00:00:00-06:00,521.5 kWh
2017-08-26T00:00:00-06:00,444 kWh
2017-08-27T00:00:00-06:00,442.5 kWh
2017-08-28T00:00:00-06:00,550 kWh
2017-08-29T00:00:00-06:00,508 kWh
2017-08-30T00:00:00-06:00,533.5 kWh
2017-08-31T00:00:00-06:00,513 kWh
2017-09-01T00:00:00-06:00,501 kWh
2017-09-02T00:00:00-06:00,396 kWh
2017-09-03T00:00:00-06:00,400 kWh
2017-09-04T00:00:00-06:00,410.5 kWh
2017-09-05T00:00:00-06:00,505 kWh
2017-09-06T00:00:00-06:00,520.5 kWh
2017-09-07T00:00:00-06:00,513.5 kWh
2017-09-08T00:00:00-06:00,518.5 kWh
2017-09-09T00:00:00-06:00,452.5 kWh
2017-09-10T00:00:00-06:00,456.5 kWh
2017-09-11T00:00:00-06:00,566.5 kWh
2017-09-12T00:00:00-06:00,535.5 kWh
2017-09-13T00:00:00-06:00,540.5 kWh
2017-09-14T00:00:00-06:00,545 kWh
2017-09-15T00:00:00-06:00,558 kWh
2017-09-16T00:00:00-06:00,448 kWh
2017-09-17T00:00:00-06:00,447.5 kWh
2017-09-18T00:00:00-06:00,538.5 kWh
2017-09-19T00:00:00-06:00,532 kWh
2017-09-20T00:00:00-06:00,567.5 kWh
2017-09-21T00:00:00-06:00,541 kWh
2017-09-22T00:00:00-06:00,575.5 kWh
2017-09-23T00:00:00-06:00,503.5 kWh
2017-09-24T00:00:00-06:00,522 kWh
2017-09-25T00:00:00-06:00,591 kWh
2017-09-26T00:00:00-06:00,566.5 kWh
2017-09-27T00:00:00-06:00,551.5 kWh
2017-09-28T00:00:00-06:00,518 kWh
2017-09-29T00:00:00-06:00,517.5 kWh
2017-09-30T00:00:00-06:00,444.5 kWh
2017-10-01T00:00:00-06:00,466 kWh
2017-10-02T00:00:00-06:00,588 kWh
2017-10-03T00:00:00-06:00,572.5 kWh
2017-10-04T00:00:00-06:00,546.5 kWh
2017-10-05T00:00:00-06:00,557.5 kWh
2017-10-06T00:00:00-06:00,528 kWh
2017-10-07T00:00:00-06:00,445 kWh
2017-10-08T00:00:00-06:00,456.5 kWh
2017-10-09T00:00:00-06:00,542 kWh
2017-10-10T00:00:00-06:00,523.5 kWh
2017-10-11T00:00:00-06:00,507 kWh
2017-10-12T00:00:00-06:00,490.5 kWh
2017-10-13T00:00:00-06:00,492 kWh
2017-10-14T00:00:00-06:00,468 kWh
2017-10-15T00:00:00-06:00,479 kWh
2017-10-16T00:00:00-06:00,588 kWh
2017-10-17T00:00:00-06:00,577 kWh
2017-10-18T00:00:00-06:00,575.5 kWh
2017-10-19T00:00:00-06:00,572 kWh
2017-10-20T00:00:00-06:00,565.5 kWh
2017-10-21T00:00:00-06:00,511.5 kWh
2017-10-22T00:00:00-06:00,503.5 kWh
2017-10-23T00:00:00-06:00,589.5 kWh
2017-10-24T00:00:00-06:00,596 kWh
2017-10-25T00:00:00-06:00,612.5 kWh
2017-10-26T00:00:00-06:00,594.5 kWh
2017-10-27T00:00:00-06:00,601 kWh
2017-10-28T00:00:00-06:00,503.5 kWh
2017-10-29T00:00:00-06:00,495.5 kWh
2017-10-30T00:00:00-06:00,606.5 kWh
2017-10-31T00:00:00-06:00,560.5 kWh
2017-11-01T00:00:00-06:00,599 kWh
2017-11-02T00:00:00-06:00,574.5 kWh
2017-11-03T00:00:00-06:00,557 kWh
2017-11-04T00:00:00-06:00,505 kWh
2017-11-05T00:00:00-06:00,543.5 kWh
2017-11-06T00:00:00-07:00,640 kWh
2017-11-07T00:00:00-07:00,644 kWh
2017-11-08T00:00:00-07:00,637.5 kWh
2017-11-09T00:00:00-07:00,610 kWh
2017-11-10T00:00:00-07:00,612 kWh
2017-11-11T00:00:00-07:00,524 kWh
2017-11-12T00:00:00-07:00,533 kWh
2017-11-13T00:00:00-07:00,613.5 kWh
2017-11-14T00:00:00-07:00,606.5 kWh
2017-11-15T00:00:00-07:00,618.5 kWh
2017-11-16T00:00:00-07:00,600 kWh
2017-11-17T00:00:00-07:00,639 kWh
2017-11-18T00:00:00-07:00,548.5 kWh
2017-11-19T00:00:00-07:00,555 kWh
2017-11-20T00:00:00-07:00,644 kWh
2017-11-21T00:00:00-07:00,592 kWh
2017-11-22T00:00:00-07:00,552.5 kWh
2017-11-23T00:00:00-07:00,482 kWh
2017-11-24T00:00:00-07:00,489 kWh
2017-11-25T00:00:00-07:00,507 kWh
2017-11-26T00:00:00-07:00,508.5 kWh
2017-11-27T00:00:00-07:00,612 kWh
2017-11-28T00:00:00-07:00,640.5 kWh
2017-11-29T00:00:00-07:00,645.5 kWh
2017-11-30T00:00:00-07:00,637.5 kWh
2017-12-01T00:00:00-07:00,633.5 kWh
2017-12-02T00:00:00-07:00,544 kWh
2017-12-03T00:00:00-07:00,545 kWh
2017-12-04T00:00:00-07:00,706.5 kWh
2017-12-05T00:00:00-07:00,679.5 kWh
2017-12-06T00:00:00-07:00,682.5 kWh
2017-12-07T00:00:00-07:00,689 kWh
2017-12-08T00:00:00-07:00,650.5 kWh
2017-12-09T00:00:00-07:00,557 kWh
2017-12-10T00:00:00-07:00,560.5 kWh
2017-12-11T00:00:00-07:00,653.5 kWh
2017-12-12T00:00:00-07:00,639 kWh
2017-12-13T00:00:00-07:00,641 kWh
2017-12-14T00:00:00-07:00,624 kWh
2017-12-15T00:00:00-07:00,604.5 kWh
2017-12-16T00:00:00-07:00,526.5 kWh
2017-12-17T00:00:00-07:00,534 kWh
2017-12-18T00:00:00-07:00,537.5 kWh
2017-12-19T00:00:00-07:00,515.5 kWh
2017-12-20T00:00:00-07:00,546.5 kWh
2017-12-21T00:00:00-07:00,553 kWh
2017-12-22T00:00:00-07:00,554.5 kWh
2017-12-23T00:00:00-07:00,515.5 kWh
2017-12-24T00:00:00-07:00,527 kWh
2017-12-25T00:00:00-07:00,519.5 kWh
2017-12-26T00:00:00-07:00,508.5 kWh
2017-12-27T00:00:00-07:00,519 kWh
2017-12-28T00:00:00-07:00,515.5 kWh
2017-12-29T00:00:00-07:00,500.5 kWh
2017-12-30T00:00:00-07:00,485.5 kWh
2017-12-31T00:00:00-07:00,503.5 kWh
