Timestamp,['1cd555c4-edde8e4f 0026-COLLEGE OF SOCIAL WORK Power Meter KWH Received']
2017-07-02T00:00:00-06:00,739.1875 kWh
2017-07-03T00:00:00-06:00,840.5 kWh
2017-07-04T00:00:00-06:00,805.875 kWh
2017-07-05T00:00:00-06:00,920 kWh
2017-07-06T00:00:00-06:00,1074.0625 kWh
2017-07-07T00:00:00-06:00,960.75 kWh
2017-07-08T00:00:00-06:00,868.4375 kWh
2017-07-09T00:00:00-06:00,836.25 kWh
2017-07-10T00:00:00-06:00,883.75 kWh
2017-07-11T00:00:00-06:00,892.8125 kWh
2017-07-12T00:00:00-06:00,889.9375 kWh
2017-07-13T00:00:00-06:00,892.9375 kWh
2017-07-14T00:00:00-06:00,864.3125 kWh
2017-07-15T00:00:00-06:00,835.8125 kWh
2017-07-16T00:00:00-06:00,846.8125 kWh
2017-07-17T00:00:00-06:00,886.6875 kWh
2017-07-18T00:00:00-06:00,1003.875 kWh
2017-07-19T00:00:00-06:00,939.6875 kWh
2017-07-20T00:00:00-06:00,855.875 kWh
2017-07-21T00:00:00-06:00,863.1875 kWh
2017-07-22T00:00:00-06:00,746.9375 kWh
2017-07-23T00:00:00-06:00,760.4375 kWh
2017-07-24T00:00:00-06:00,765.5 kWh
2017-07-25T00:00:00-06:00,830.875 kWh
2017-07-26T00:00:00-06:00,917.875 kWh
2017-07-27T00:00:00-06:00,813 kWh
2017-07-28T00:00:00-06:00,761.8125 kWh
2017-07-29T00:00:00-06:00,744.1875 kWh
2017-07-30T00:00:00-06:00,762.625 kWh
2017-07-31T00:00:00-06:00,888 kWh
2017-08-01T00:00:00-06:00,911.8125 kWh
2017-08-02T00:00:00-06:00,880.0625 kWh
2017-08-03T00:00:00-06:00,886.25 kWh
2017-08-04T00:00:00-06:00,832.0625 kWh
2017-08-05T00:00:00-06:00,779 kWh
2017-08-06T00:00:00-06:00,716.25 kWh
2017-08-07T00:00:00-06:00,670.1875 kWh
2017-08-08T00:00:00-06:00,627 kWh
2017-08-09T00:00:00-06:00,665.125 kWh
2017-08-10T00:00:00-06:00,657.125 kWh
2017-08-11T00:00:00-06:00,676.1875 kWh
2017-08-12T00:00:00-06:00,702.625 kWh
2017-08-13T00:00:00-06:00,613.625 kWh
2017-08-14T00:00:00-06:00,673.9375 kWh
2017-08-15T00:00:00-06:00,666.3125 kWh
2017-08-16T00:00:00-06:00,679.5 kWh
2017-08-17T00:00:00-06:00,677.75 kWh
2017-08-18T00:00:00-06:00,702.375 kWh
2017-08-19T00:00:00-06:00,618.25 kWh
2017-08-20T00:00:00-06:00,641.375 kWh
2017-08-21T00:00:00-06:00,830.5 kWh
2017-08-22T00:00:00-06:00,752.0625 kWh
2017-08-23T00:00:00-06:00,744.0625 kWh
2017-08-24T00:00:00-06:00,768.3125 kWh
2017-08-25T00:00:00-06:00,786.375 kWh
2017-08-26T00:00:00-06:00,693.25 kWh
2017-08-27T00:00:00-06:00,630.125 kWh
2017-08-28T00:00:00-06:00,780.25 kWh
2017-08-29T00:00:00-06:00,789.625 kWh
2017-08-30T00:00:00-06:00,833.875 kWh
2017-08-31T00:00:00-06:00,713.9375 kWh
2017-09-01T00:00:00-06:00,673.875 kWh
2017-09-02T00:00:00-06:00,573.625 kWh
2017-09-03T00:00:00-06:00,587.1875 kWh
2017-09-04T00:00:00-06:00,607.875 kWh
2017-09-05T00:00:00-06:00,753.8125 kWh
2017-09-06T00:00:00-06:00,699.5625 kWh
2017-09-07T00:00:00-06:00,734.75 kWh
2017-09-08T00:00:00-06:00,48153.1875 kWh
2017-12-18T00:00:00-07:00,352.8125 kWh
2017-12-19T00:00:00-07:00,416.25 kWh
2017-12-20T00:00:00-07:00,429.625 kWh
2017-12-21T00:00:00-07:00,443.625 kWh
2017-12-22T00:00:00-07:00,442 kWh
2017-12-23T00:00:00-07:00,394.4375 kWh
2017-12-24T00:00:00-07:00,380.3125 kWh
2017-12-25T00:00:00-07:00,379 kWh
2017-12-26T00:00:00-07:00,387.25 kWh
2017-12-27T00:00:00-07:00,433.1875 kWh
2017-12-28T00:00:00-07:00,434.5 kWh
2017-12-29T00:00:00-07:00,415 kWh
2017-12-30T00:00:00-07:00,405.4375 kWh
2017-12-31T00:00:00-07:00,398.9375 kWh
