Timestamp,['1fd1b113-7e02106c 0082-SKAGGS BIOLOGY BLDG Power Meter kWh del']
2017-06-25T00:00:00-06:00,13628 kWh
2017-06-26T00:00:00-06:00,15104 kWh
2017-06-27T00:00:00-06:00,14756 kWh
2017-06-28T00:00:00-06:00,13968 kWh
2017-06-29T00:00:00-06:00,13340 kWh
2017-06-30T00:00:00-06:00,13428 kWh
2017-07-01T00:00:00-06:00,12760 kWh
2017-07-02T00:00:00-06:00,12812 kWh
2017-07-03T00:00:00-06:00,13672 kWh
2017-07-04T00:00:00-06:00,13404 kWh
2017-07-05T00:00:00-06:00,14776 kWh
2017-07-06T00:00:00-06:00,15204 kWh
2017-07-07T00:00:00-06:00,15616 kWh
2017-07-08T00:00:00-06:00,15332 kWh
2017-07-09T00:00:00-06:00,15444 kWh
2017-07-10T00:00:00-06:00,16356 kWh
2017-07-11T00:00:00-06:00,15776 kWh
2017-07-12T00:00:00-06:00,15084 kWh
2017-07-13T00:00:00-06:00,15232 kWh
2017-07-14T00:00:00-06:00,15980 kWh
2017-07-15T00:00:00-06:00,15260 kWh
2017-07-16T00:00:00-06:00,15152 kWh
2017-07-17T00:00:00-06:00,16436 kWh
2017-07-18T00:00:00-06:00,16016 kWh
2017-07-19T00:00:00-06:00,16436 kWh
2017-07-20T00:00:00-06:00,16116 kWh
2017-07-21T00:00:00-06:00,15540 kWh
2017-07-22T00:00:00-06:00,14764 kWh
2017-07-23T00:00:00-06:00,14024 kWh
2017-07-24T00:00:00-06:00,14896 kWh
2017-07-25T00:00:00-06:00,16064 kWh
2017-07-26T00:00:00-06:00,15044 kWh
2017-07-27T00:00:00-06:00,14164 kWh
2017-07-28T00:00:00-06:00,13968 kWh
2017-07-29T00:00:00-06:00,13088 kWh
2017-07-30T00:00:00-06:00,13288 kWh
2017-07-31T00:00:00-06:00,14276 kWh
2017-08-01T00:00:00-06:00,15096 kWh
2017-08-02T00:00:00-06:00,15712 kWh
2017-08-03T00:00:00-06:00,15828 kWh
2017-08-04T00:00:00-06:00,14996 kWh
2017-08-05T00:00:00-06:00,13420 kWh
2017-08-06T00:00:00-06:00,12864 kWh
2017-08-07T00:00:00-06:00,14040 kWh
2017-08-08T00:00:00-06:00,14268 kWh
2017-08-09T00:00:00-06:00,14324 kWh
2017-08-10T00:00:00-06:00,14264 kWh
2017-08-11T00:00:00-06:00,14136 kWh
2017-08-12T00:00:00-06:00,13440 kWh
2017-08-13T00:00:00-06:00,13512 kWh
2017-08-14T00:00:00-06:00,14216 kWh
2017-08-15T00:00:00-06:00,13880 kWh
2017-08-16T00:00:00-06:00,14312 kWh
2017-08-17T00:00:00-06:00,14988 kWh
2017-08-18T00:00:00-06:00,15312 kWh
2017-08-19T00:00:00-06:00,15036 kWh
2017-08-20T00:00:00-06:00,15208 kWh
2017-08-21T00:00:00-06:00,15240 kWh
2017-08-22T00:00:00-06:00,15252 kWh
2017-08-23T00:00:00-06:00,15388 kWh
2017-08-24T00:00:00-06:00,15204 kWh
2017-08-25T00:00:00-06:00,15016 kWh
2017-08-26T00:00:00-06:00,14328 kWh
2017-08-27T00:00:00-06:00,14224 kWh
2017-08-28T00:00:00-06:00,15020 kWh
2017-08-29T00:00:00-06:00,15408 kWh
2017-08-30T00:00:00-06:00,16196 kWh
2017-08-31T00:00:00-06:00,16076 kWh
2017-09-01T00:00:00-06:00,15740 kWh
2017-09-02T00:00:00-06:00,14224 kWh
2017-09-03T00:00:00-06:00,13700 kWh
2017-09-04T00:00:00-06:00,13320 kWh
2017-09-05T00:00:00-06:00,14544 kWh
2017-09-06T00:00:00-06:00,15020 kWh
2017-09-07T00:00:00-06:00,14892 kWh
2017-09-08T00:00:00-06:00,14520 kWh
2017-09-09T00:00:00-06:00,13904 kWh
2017-09-10T00:00:00-06:00,13976 kWh
2017-09-11T00:00:00-06:00,15764 kWh
2017-09-12T00:00:00-06:00,15800 kWh
2017-09-13T00:00:00-06:00,15528 kWh
2017-09-14T00:00:00-06:00,15224 kWh
2017-09-15T00:00:00-06:00,12184 kWh
2017-09-16T00:00:00-06:00,9900 kWh
2017-09-17T00:00:00-06:00,10444 kWh
2017-09-18T00:00:00-06:00,13432 kWh
2017-09-19T00:00:00-06:00,11600 kWh
2017-09-20T00:00:00-06:00,12004 kWh
2017-09-21T00:00:00-06:00,10824 kWh
2017-09-22T00:00:00-06:00,9652 kWh
2017-09-23T00:00:00-06:00,8596 kWh
2017-09-24T00:00:00-06:00,8328 kWh
2017-09-25T00:00:00-06:00,9928 kWh
2017-09-26T00:00:00-06:00,10292 kWh
2017-09-27T00:00:00-06:00,10996 kWh
2017-09-28T00:00:00-06:00,11916 kWh
2017-09-29T00:00:00-06:00,11412 kWh
2017-09-30T00:00:00-06:00,10104 kWh
2017-10-01T00:00:00-06:00,9304 kWh
2017-10-02T00:00:00-06:00,9572 kWh
2017-10-03T00:00:00-06:00,10056 kWh
2017-10-04T00:00:00-06:00,10892 kWh
2017-10-05T00:00:00-06:00,9968 kWh
2017-10-06T00:00:00-06:00,9700 kWh
2017-10-07T00:00:00-06:00,10796 kWh
2017-10-08T00:00:00-06:00,9252 kWh
2017-10-09T00:00:00-06:00,9492 kWh
2017-10-10T00:00:00-06:00,10296 kWh
2017-10-11T00:00:00-06:00,11688 kWh
2017-10-12T00:00:00-06:00,10256 kWh
2017-10-13T00:00:00-06:00,10136 kWh
2017-10-14T00:00:00-06:00,8528 kWh
2017-10-15T00:00:00-06:00,8992 kWh
2017-10-16T00:00:00-06:00,10308 kWh
2017-10-17T00:00:00-06:00,10932 kWh
2017-10-18T00:00:00-06:00,11448 kWh
2017-10-19T00:00:00-06:00,12632 kWh
2017-10-20T00:00:00-06:00,12044 kWh
2017-10-21T00:00:00-06:00,9096 kWh
2017-10-22T00:00:00-06:00,9680 kWh
2017-10-23T00:00:00-06:00,10544 kWh
2017-10-24T00:00:00-06:00,10488 kWh
2017-10-25T00:00:00-06:00,10952 kWh
2017-10-26T00:00:00-06:00,10888 kWh
2017-10-27T00:00:00-06:00,10584 kWh
2017-10-28T00:00:00-06:00,9876 kWh
2017-10-29T00:00:00-06:00,10680 kWh
2017-10-30T00:00:00-06:00,10824 kWh
2017-10-31T00:00:00-06:00,10300 kWh
2017-11-01T00:00:00-06:00,11428 kWh
2017-11-02T00:00:00-06:00,12200 kWh
2017-11-03T00:00:00-06:00,12360 kWh
2017-11-04T00:00:00-06:00,9648 kWh
2017-11-05T00:00:00-06:00,9108 kWh
2017-11-06T00:00:00-07:00,9520 kWh
2017-11-07T00:00:00-07:00,9900 kWh
2017-11-08T00:00:00-07:00,9608 kWh
2017-11-09T00:00:00-07:00,10488 kWh
2017-11-10T00:00:00-07:00,9676 kWh
2017-11-11T00:00:00-07:00,9192 kWh
2017-11-12T00:00:00-07:00,9444 kWh
2017-11-13T00:00:00-07:00,10340 kWh
2017-11-14T00:00:00-07:00,10248 kWh
2017-11-15T00:00:00-07:00,10004 kWh
2017-11-16T00:00:00-07:00,10244 kWh
2017-11-17T00:00:00-07:00,9792 kWh
2017-11-18T00:00:00-07:00,9084 kWh
2017-11-19T00:00:00-07:00,9104 kWh
2017-11-20T00:00:00-07:00,9776 kWh
2017-11-21T00:00:00-07:00,10760 kWh
2017-11-22T00:00:00-07:00,11488 kWh
2017-11-23T00:00:00-07:00,10800 kWh
2017-11-24T00:00:00-07:00,10760 kWh
2017-11-25T00:00:00-07:00,9440 kWh
2017-11-26T00:00:00-07:00,10224 kWh
2017-11-27T00:00:00-07:00,11504 kWh
2017-11-28T00:00:00-07:00,10020 kWh
2017-11-29T00:00:00-07:00,9900 kWh
2017-11-30T00:00:00-07:00,9616 kWh
2017-12-01T00:00:00-07:00,9532 kWh
2017-12-02T00:00:00-07:00,8920 kWh
2017-12-03T00:00:00-07:00,9204 kWh
2017-12-04T00:00:00-07:00,8304 kWh
2017-12-05T00:00:00-07:00,9072 kWh
2017-12-06T00:00:00-07:00,9836 kWh
2017-12-07T00:00:00-07:00,9680 kWh
2017-12-08T00:00:00-07:00,9712 kWh
2017-12-09T00:00:00-07:00,9252 kWh
2017-12-10T00:00:00-07:00,9196 kWh
2017-12-11T00:00:00-07:00,10012 kWh
2017-12-12T00:00:00-07:00,10052 kWh
2017-12-13T00:00:00-07:00,10028 kWh
2017-12-14T00:00:00-07:00,9928 kWh
2017-12-15T00:00:00-07:00,9992 kWh
2017-12-16T00:00:00-07:00,9012 kWh
2017-12-17T00:00:00-07:00,8880 kWh
2017-12-18T00:00:00-07:00,9712 kWh
2017-12-19T00:00:00-07:00,9392 kWh
2017-12-20T00:00:00-07:00,9772 kWh
2017-12-21T00:00:00-07:00,8108 kWh
2017-12-22T00:00:00-07:00,8340 kWh
2017-12-23T00:00:00-07:00,6960 kWh
2017-12-24T00:00:00-07:00,8916 kWh
2017-12-25T00:00:00-07:00,8688 kWh
2017-12-26T00:00:00-07:00,8784 kWh
2017-12-27T00:00:00-07:00,9084 kWh
2017-12-28T00:00:00-07:00,9376 kWh
2017-12-29T00:00:00-07:00,9420 kWh
2017-12-30T00:00:00-07:00,9404 kWh
2017-12-31T00:00:00-07:00,9104 kWh
