Timestamp,"['20c1f039-8c0c40f5 0090-HUNTSMAN CNTR Power Meter 1(301447) W-hours, Received']"
2017-07-22T00:00:00-06:00,203.8125 kWh
2017-07-23T00:00:00-06:00,203.625 kWh
2017-07-24T00:00:00-06:00,205.6875 kWh
2017-07-25T00:00:00-06:00,211.5625 kWh
2017-07-26T00:00:00-06:00,210.5625 kWh
2017-07-27T00:00:00-06:00,206 kWh
2017-07-28T00:00:00-06:00,200.25 kWh
2017-07-29T00:00:00-06:00,198.25 kWh
2017-07-30T00:00:00-06:00,198.25 kWh
2017-07-31T00:00:00-06:00,202.75 kWh
2017-08-01T00:00:00-06:00,202.75 kWh
2017-08-02T00:00:00-06:00,203.5625 kWh
2017-08-03T00:00:00-06:00,204.0625 kWh
2017-08-04T00:00:00-06:00,203.4375 kWh
2017-08-05T00:00:00-06:00,198.8125 kWh
2017-08-06T00:00:00-06:00,199.6875 kWh
2017-08-07T00:00:00-06:00,204.75 kWh
2017-08-08T00:00:00-06:00,203.875 kWh
2017-08-09T00:00:00-06:00,204.625 kWh
2017-08-10T00:00:00-06:00,204.75 kWh
2017-08-11T00:00:00-06:00,203.3125 kWh
2017-08-12T00:00:00-06:00,198.0625 kWh
2017-08-13T00:00:00-06:00,198.9375 kWh
2017-08-14T00:00:00-06:00,206.5 kWh
2017-08-15T00:00:00-06:00,204.6875 kWh
2017-08-16T00:00:00-06:00,206.6875 kWh
2017-08-17T00:00:00-06:00,232.1875 kWh
2017-08-18T00:00:00-06:00,203.9375 kWh
2017-08-19T00:00:00-06:00,221.5 kWh
2017-08-20T00:00:00-06:00,199.375 kWh
2017-08-21T00:00:00-06:00,203.6875 kWh
2017-08-22T00:00:00-06:00,205.8125 kWh
2017-08-23T00:00:00-06:00,203.9375 kWh
2017-08-24T00:00:00-06:00,207.125 kWh
2017-08-25T00:00:00-06:00,207.4375 kWh
2017-08-26T00:00:00-06:00,206.75 kWh
2017-08-27T00:00:00-06:00,205.375 kWh
2017-08-28T00:00:00-06:00,213.3125 kWh
2017-08-29T00:00:00-06:00,205.125 kWh
2017-08-30T00:00:00-06:00,208.875 kWh
2017-08-31T00:00:00-06:00,210.5625 kWh
2017-09-01T00:00:00-06:00,201.875 kWh
2017-09-02T00:00:00-06:00,199.5 kWh
2017-09-03T00:00:00-06:00,200.0625 kWh
2017-09-04T00:00:00-06:00,199.625 kWh
2017-09-05T00:00:00-06:00,206 kWh
2017-09-06T00:00:00-06:00,212.375 kWh
2017-09-07T00:00:00-06:00,211.875 kWh
2017-09-08T00:00:00-06:00,318 kWh
2017-09-09T00:00:00-06:00,488.5625 kWh
2017-09-10T00:00:00-06:00,208.25 kWh
2017-09-11T00:00:00-06:00,213.625 kWh
2017-09-12T00:00:00-06:00,207.9375 kWh
2017-09-13T00:00:00-06:00,210.6875 kWh
2017-09-14T00:00:00-06:00,346.5 kWh
2017-09-15T00:00:00-06:00,236.625 kWh
2017-09-16T00:00:00-06:00,206.875 kWh
2017-09-17T00:00:00-06:00,203.8125 kWh
2017-09-18T00:00:00-06:00,200.625 kWh
2017-09-19T00:00:00-06:00,208.25 kWh
2017-09-20T00:00:00-06:00,206.6875 kWh
2017-09-21T00:00:00-06:00,219 kWh
2017-09-22T00:00:00-06:00,334.25 kWh
2017-09-23T00:00:00-06:00,204.0625 kWh
2017-09-24T00:00:00-06:00,313.375 kWh
2017-09-25T00:00:00-06:00,203.4375 kWh
2017-09-26T00:00:00-06:00,228 kWh
2017-09-27T00:00:00-06:00,240.25 kWh
2017-09-28T00:00:00-06:00,240.8125 kWh
2017-09-29T00:00:00-06:00,314.125 kWh
2017-09-30T00:00:00-06:00,293.5625 kWh
2017-10-01T00:00:00-06:00,203.6875 kWh
2017-10-02T00:00:00-06:00,200.6875 kWh
2017-10-03T00:00:00-06:00,188.9375 kWh
2017-10-04T00:00:00-06:00,204.375 kWh
2017-10-05T00:00:00-06:00,185.9375 kWh
2017-10-06T00:00:00-06:00,178 kWh
2017-10-07T00:00:00-06:00,226.0625 kWh
2017-10-08T00:00:00-06:00,171.1875 kWh
2017-10-09T00:00:00-06:00,174.5625 kWh
2017-10-10T00:00:00-06:00,178.5 kWh
2017-10-11T00:00:00-06:00,178.3125 kWh
2017-10-12T00:00:00-06:00,181.8125 kWh
2017-10-13T00:00:00-06:00,211.75 kWh
2017-10-14T00:00:00-06:00,214.25 kWh
2017-10-15T00:00:00-06:00,205.5625 kWh
2017-10-16T00:00:00-06:00,204.375 kWh
2017-10-17T00:00:00-06:00,288.0625 kWh
2017-10-18T00:00:00-06:00,266.625 kWh
2017-10-19T00:00:00-06:00,238.9375 kWh
2017-10-20T00:00:00-06:00,432.1875 kWh
2017-10-21T00:00:00-06:00,249.75 kWh
2017-10-22T00:00:00-06:00,337.75 kWh
2017-10-23T00:00:00-06:00,218.9375 kWh
2017-10-24T00:00:00-06:00,208.125 kWh
2017-10-25T00:00:00-06:00,212.75 kWh
2017-10-26T00:00:00-06:00,205.3125 kWh
2017-10-27T00:00:00-06:00,201.625 kWh
2017-10-28T00:00:00-06:00,202.875 kWh
2017-10-29T00:00:00-06:00,202 kWh
2017-10-30T00:00:00-06:00,210.875 kWh
2017-10-31T00:00:00-06:00,221.25 kWh
2017-11-01T00:00:00-06:00,309 kWh
2017-11-02T00:00:00-06:00,603 kWh
2017-11-03T00:00:00-06:00,367.1875 kWh
2017-11-04T00:00:00-06:00,372.875 kWh
2017-11-05T00:00:00-06:00,317.0625 kWh
2017-11-06T00:00:00-07:00,273.6875 kWh
2017-11-07T00:00:00-07:00,288.875 kWh
2017-11-08T00:00:00-07:00,245.875 kWh
2017-11-09T00:00:00-07:00,227.75 kWh
2017-11-10T00:00:00-07:00,465.875 kWh
2017-11-11T00:00:00-07:00,282.8125 kWh
2017-11-12T00:00:00-07:00,214.3125 kWh
2017-11-13T00:00:00-07:00,297.4375 kWh
2017-11-14T00:00:00-07:00,239.625 kWh
2017-11-15T00:00:00-07:00,234.5625 kWh
2017-11-16T00:00:00-07:00,317.75 kWh
2017-11-17T00:00:00-07:00,380.0625 kWh
2017-11-18T00:00:00-07:00,372.5625 kWh
2017-11-19T00:00:00-07:00,228.8125 kWh
2017-11-20T00:00:00-07:00,364.875 kWh
2017-11-21T00:00:00-07:00,238.875 kWh
2017-11-22T00:00:00-07:00,234.625 kWh
2017-11-23T00:00:00-07:00,225.125 kWh
2017-11-24T00:00:00-07:00,468.75 kWh
2017-11-25T00:00:00-07:00,223.75 kWh
2017-11-26T00:00:00-07:00,224.6875 kWh
2017-11-27T00:00:00-07:00,392.5 kWh
2017-11-28T00:00:00-07:00,236.125 kWh
2017-11-29T00:00:00-07:00,284.75 kWh
2017-11-30T00:00:00-07:00,853 kWh
2017-12-02T00:00:00-07:00,445.375 kWh
2017-12-03T00:00:00-07:00,1320 kWh
2017-12-08T00:00:00-07:00,3762.25 kWh
2017-12-22T00:00:00-07:00,696.0625 kWh
2017-12-25T00:00:00-07:00,225.25 kWh
2017-12-26T00:00:00-07:00,436.75 kWh
2017-12-28T00:00:00-07:00,1657.4375 kWh
