Timestamp,"['206e9ee7-05271eb2 0046-LASSONDE STUDIOS Power Meter 316259 W-hours, Received']"
2017-08-31T00:00:00-06:00,3222.4375 kWh
2017-09-01T00:00:00-06:00,3254.0625 kWh
2017-09-02T00:00:00-06:00,3173.625 kWh
2017-09-03T00:00:00-06:00,3236.25 kWh
2017-09-04T00:00:00-06:00,3160.875 kWh
2017-09-05T00:00:00-06:00,3249.125 kWh
2017-09-06T00:00:00-06:00,3236.125 kWh
2017-09-07T00:00:00-06:00,3075.4375 kWh
2017-09-08T00:00:00-06:00,2809.25 kWh
2017-09-09T00:00:00-06:00,2748.5625 kWh
2017-09-10T00:00:00-06:00,2797 kWh
2017-09-11T00:00:00-06:00,2791.75 kWh
2017-09-12T00:00:00-06:00,2753.9375 kWh
2017-09-13T00:00:00-06:00,2789.3125 kWh
2017-09-14T00:00:00-06:00,2779 kWh
2017-09-15T00:00:00-06:00,2681.9375 kWh
2017-09-16T00:00:00-06:00,2643.625 kWh
2017-09-17T00:00:00-06:00,2697 kWh
2017-09-18T00:00:00-06:00,2726.760009765625 kWh
2017-09-19T00:00:00-06:00,2576.699951171875 kWh
2017-09-20T00:00:00-06:00,2574.2900390625 kWh
2017-09-21T00:00:00-06:00,2698.2900390625 kWh
2017-09-22T00:00:00-06:00,2600.1298828125 kWh
2017-09-23T00:00:00-06:00,2542.7802734375 kWh
2017-09-24T00:00:00-06:00,2659.9697265625 kWh
2017-09-25T00:00:00-06:00,2576.9609375 kWh
2017-09-26T00:00:00-06:00,2508.478515625 kWh
2017-09-27T00:00:00-06:00,2503.91015625 kWh
2017-09-28T00:00:00-06:00,2513.310546875 kWh
2017-09-29T00:00:00-06:00,2579.560546875 kWh
2017-09-30T00:00:00-06:00,2570.05078125 kWh
2017-10-01T00:00:00-06:00,2578.80859375 kWh
2017-10-02T00:00:00-06:00,2588.21875 kWh
2017-10-03T00:00:00-06:00,2629.47265625 kWh
2017-10-04T00:00:00-06:00,2651.1796875 kWh
2017-10-05T00:00:00-06:00,2672.7578125 kWh
2017-10-06T00:00:00-06:00,2715.9296875 kWh
2017-10-07T00:00:00-06:00,2636.9296875 kWh
2017-10-08T00:00:00-06:00,2695.6015625 kWh
2017-10-09T00:00:00-06:00,2583.78125 kWh
2017-10-10T00:00:00-06:00,2591.578125 kWh
2017-10-11T00:00:00-06:00,2614.390625 kWh
2017-10-12T00:00:00-06:00,2538.48046875 kWh
2017-10-13T00:00:00-06:00,2309.5859375 kWh
2017-10-14T00:00:00-06:00,2594.59375 kWh
2017-10-15T00:00:00-06:00,2688.4609375 kWh
2017-10-16T00:00:00-06:00,2170.5625 kWh
2017-10-17T00:00:00-06:00,2395.9296875 kWh
2017-10-18T00:00:00-06:00,2695.3203125 kWh
2017-10-19T00:00:00-06:00,2702.0078125 kWh
2017-10-20T00:00:00-06:00,2745.3125 kWh
2017-10-21T00:00:00-06:00,2683.9765625 kWh
2017-10-22T00:00:00-06:00,2748.859375 kWh
2017-10-23T00:00:00-06:00,2590.390625 kWh
2017-10-24T00:00:00-06:00,2632.8828125 kWh
2017-10-25T00:00:00-06:00,2637.2890625 kWh
2017-10-26T00:00:00-06:00,2614.4296875 kWh
2017-10-27T00:00:00-06:00,2659.7890625 kWh
2017-10-28T00:00:00-06:00,2619.71875 kWh
2017-10-29T00:00:00-06:00,2677.1796875 kWh
2017-10-30T00:00:00-06:00,2624.359375 kWh
2017-10-31T00:00:00-06:00,2651.109375 kWh
2017-11-01T00:00:00-06:00,2765.3515625 kWh
2017-11-02T00:00:00-06:00,2668.4375 kWh
2017-11-03T00:00:00-06:00,2715.671875 kWh
2017-11-04T00:00:00-06:00,2662.21875 kWh
2017-11-05T00:00:00-06:00,2203.9609375 kWh
2017-11-06T00:00:00-07:00,2383.0234375 kWh
2017-11-07T00:00:00-07:00,2648.8671875 kWh
2017-11-08T00:00:00-07:00,2663.6875 kWh
2017-11-09T00:00:00-07:00,2656.4375 kWh
2017-11-10T00:00:00-07:00,2671.734375 kWh
2017-11-11T00:00:00-07:00,2636.875 kWh
2017-11-12T00:00:00-07:00,2714.875 kWh
2017-11-13T00:00:00-07:00,2698.171875 kWh
2017-11-14T00:00:00-07:00,2960.984375 kWh
2017-11-15T00:00:00-07:00,2898.21875 kWh
2017-11-16T00:00:00-07:00,2654.484375 kWh
2017-11-17T00:00:00-07:00,2674.296875 kWh
2017-11-18T00:00:00-07:00,2002.453125 kWh
2017-11-19T00:00:00-07:00,1891.078125 kWh
2017-11-20T00:00:00-07:00,2405.9375 kWh
2017-11-21T00:00:00-07:00,2653.03125 kWh
2017-11-22T00:00:00-07:00,2536.921875 kWh
2017-11-23T00:00:00-07:00,2323.5 kWh
2017-11-24T00:00:00-07:00,2361.046875 kWh
2017-11-25T00:00:00-07:00,1863.671875 kWh
2017-11-26T00:00:00-07:00,1454.109375 kWh
2017-11-27T00:00:00-07:00,2153 kWh
2017-11-28T00:00:00-07:00,2625.828125 kWh
2017-11-29T00:00:00-07:00,2426.96875 kWh
2017-11-30T00:00:00-07:00,2629.34375 kWh
2017-12-01T00:00:00-07:00,2647.859375 kWh
2017-12-02T00:00:00-07:00,2629.09375 kWh
2017-12-03T00:00:00-07:00,2702.34375 kWh
2017-12-04T00:00:00-07:00,2615.65625 kWh
2017-12-05T00:00:00-07:00,2615.75 kWh
2017-12-06T00:00:00-07:00,2636.65625 kWh
2017-12-07T00:00:00-07:00,2651.21875 kWh
2017-12-08T00:00:00-07:00,2654.140625 kWh
2017-12-09T00:00:00-07:00,2580.78125 kWh
2017-12-10T00:00:00-07:00,2658.578125 kWh
2017-12-11T00:00:00-07:00,2643.84375 kWh
2017-12-12T00:00:00-07:00,2691.25 kWh
2017-12-13T00:00:00-07:00,2705.59375 kWh
2017-12-14T00:00:00-07:00,2668.265625 kWh
2017-12-15T00:00:00-07:00,2691.015625 kWh
2017-12-16T00:00:00-07:00,2641.125 kWh
2017-12-17T00:00:00-07:00,2661.734375 kWh
2017-12-18T00:00:00-07:00,2663.34375 kWh
2017-12-19T00:00:00-07:00,2663.765625 kWh
2017-12-20T00:00:00-07:00,2657.234375 kWh
2017-12-21T00:00:00-07:00,2477.78125 kWh
2017-12-22T00:00:00-07:00,2498.203125 kWh
2017-12-23T00:00:00-07:00,2471.125 kWh
2017-12-24T00:00:00-07:00,2546.671875 kWh
2017-12-25T00:00:00-07:00,2437.484375 kWh
2017-12-26T00:00:00-07:00,2465.890625 kWh
2017-12-27T00:00:00-07:00,2501.890625 kWh
2017-12-28T00:00:00-07:00,2442.765625 kWh
2017-12-29T00:00:00-07:00,2511.390625 kWh
2017-12-30T00:00:00-07:00,2540.125 kWh
2017-12-31T00:00:00-07:00,2574.8125 kWh
