Timestamp,"['1cf8d69c-892eedd9 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) KWH Received']"
2017-03-31T00:00:00-06:00,125.75 kWh
2017-04-01T00:00:00-06:00,120.3125 kWh
2017-04-02T00:00:00-06:00,112.8125 kWh
2017-04-03T00:00:00-06:00,125 kWh
2017-04-04T00:00:00-06:00,124.125 kWh
2017-04-05T00:00:00-06:00,131.0625 kWh
2017-04-06T00:00:00-06:00,139.9375 kWh
2017-04-07T00:00:00-06:00,143.6875 kWh
2017-04-08T00:00:00-06:00,119.6875 kWh
2017-04-09T00:00:00-06:00,113.625 kWh
2017-04-10T00:00:00-06:00,130.6875 kWh
2017-04-11T00:00:00-06:00,136.625 kWh
2017-04-12T00:00:00-06:00,146.875 kWh
2017-04-13T00:00:00-06:00,156.75 kWh
2017-04-14T00:00:00-06:00,128.125 kWh
2017-04-15T00:00:00-06:00,119.5 kWh
2017-04-16T00:00:00-06:00,127.8125 kWh
2017-04-17T00:00:00-06:00,145.125 kWh
2017-04-18T00:00:00-06:00,136.125 kWh
2017-04-19T00:00:00-06:00,131.375 kWh
2017-04-20T00:00:00-06:00,130.625 kWh
2017-04-21T00:00:00-06:00,127.3125 kWh
2017-04-22T00:00:00-06:00,122.125 kWh
2017-04-23T00:00:00-06:00,125.75 kWh
2017-04-24T00:00:00-06:00,129.625 kWh
2017-04-25T00:00:00-06:00,127.9375 kWh
2017-04-26T00:00:00-06:00,128.75 kWh
2017-04-27T00:00:00-06:00,126.625 kWh
2017-04-28T00:00:00-06:00,123.9375 kWh
2017-04-29T00:00:00-06:00,118.875 kWh
2017-04-30T00:00:00-06:00,121.5625 kWh
2017-05-01T00:00:00-06:00,136.9375 kWh
2017-05-02T00:00:00-06:00,136.8125 kWh
2017-05-03T00:00:00-06:00,139.6875 kWh
2017-05-04T00:00:00-06:00,146.5 kWh
2017-05-05T00:00:00-06:00,152 kWh
2017-05-06T00:00:00-06:00,136.8125 kWh
2017-05-07T00:00:00-06:00,135.875 kWh
2017-05-08T00:00:00-06:00,140.875 kWh
2017-05-09T00:00:00-06:00,143.8125 kWh
2017-05-10T00:00:00-06:00,142.625 kWh
2017-05-11T00:00:00-06:00,147.1875 kWh
2017-05-12T00:00:00-06:00,147.9375 kWh
2017-05-13T00:00:00-06:00,117.9375 kWh
2017-05-14T00:00:00-06:00,122.625 kWh
2017-05-15T00:00:00-06:00,132.875 kWh
2017-05-16T00:00:00-06:00,128.3125 kWh
2017-05-17T00:00:00-06:00,118.9375 kWh
2017-05-18T00:00:00-06:00,119.0625 kWh
2017-05-19T00:00:00-06:00,123.0625 kWh
2017-05-20T00:00:00-06:00,123.4375 kWh
2017-05-21T00:00:00-06:00,122.3125 kWh
2017-05-22T00:00:00-06:00,137.0625 kWh
2017-05-23T00:00:00-06:00,145.5 kWh
2017-05-24T00:00:00-06:00,147.6875 kWh
2017-05-25T00:00:00-06:00,139.3125 kWh
2017-05-26T00:00:00-06:00,130.4375 kWh
2017-05-27T00:00:00-06:00,123.875 kWh
2017-05-28T00:00:00-06:00,127.8125 kWh
2017-05-29T00:00:00-06:00,135.4375 kWh
2017-05-30T00:00:00-06:00,148.875 kWh
2017-05-31T00:00:00-06:00,153.1875 kWh
2017-06-01T00:00:00-06:00,147.75 kWh
2017-06-02T00:00:00-06:00,149.25 kWh
2017-06-03T00:00:00-06:00,147.3125 kWh
2017-06-04T00:00:00-06:00,149.625 kWh
2017-06-05T00:00:00-06:00,154 kWh
2017-06-06T00:00:00-06:00,160.125 kWh
2017-06-07T00:00:00-06:00,164.6875 kWh
2017-06-08T00:00:00-06:00,160.9375 kWh
2017-06-09T00:00:00-06:00,155.125 kWh
2017-06-10T00:00:00-06:00,134 kWh
2017-06-11T00:00:00-06:00,143.75 kWh
2017-06-12T00:00:00-06:00,137.75 kWh
2017-06-13T00:00:00-06:00,135.5625 kWh
2017-06-14T00:00:00-06:00,144.9375 kWh
2017-06-15T00:00:00-06:00,153.125 kWh
2017-06-16T00:00:00-06:00,157.125 kWh
2017-06-17T00:00:00-06:00,140.375 kWh
2017-06-18T00:00:00-06:00,141.75 kWh
2017-06-19T00:00:00-06:00,157 kWh
2017-06-20T00:00:00-06:00,162.1875 kWh
2017-06-21T00:00:00-06:00,151.4375 kWh
2017-06-22T00:00:00-06:00,144.4375 kWh
2017-06-23T00:00:00-06:00,142.4375 kWh
2017-06-24T00:00:00-06:00,135.9375 kWh
2017-06-25T00:00:00-06:00,139 kWh
2017-06-26T00:00:00-06:00,158.875 kWh
2017-06-27T00:00:00-06:00,153.1875 kWh
2017-06-28T00:00:00-06:00,147.0625 kWh
2017-06-29T00:00:00-06:00,142.6875 kWh
2017-06-30T00:00:00-06:00,141.4375 kWh
2017-07-01T00:00:00-06:00,138.375 kWh
2017-07-02T00:00:00-06:00,142.375 kWh
2017-07-03T00:00:00-06:00,155.625 kWh
2017-07-04T00:00:00-06:00,153.1875 kWh
2017-07-05T00:00:00-06:00,161.875 kWh
2017-07-06T00:00:00-06:00,170.75 kWh
2017-07-07T00:00:00-06:00,170.4375 kWh
2017-07-08T00:00:00-06:00,155.8125 kWh
2017-07-09T00:00:00-06:00,149.25 kWh
2017-07-10T00:00:00-06:00,162.1875 kWh
2017-07-11T00:00:00-06:00,156.4375 kWh
2017-07-12T00:00:00-06:00,158 kWh
2017-07-13T00:00:00-06:00,157.3125 kWh
2017-07-14T00:00:00-06:00,144.8125 kWh
2017-07-15T00:00:00-06:00,140.5 kWh
2017-07-16T00:00:00-06:00,138.375 kWh
2017-07-17T00:00:00-06:00,146.0625 kWh
2017-07-18T00:00:00-06:00,152.5 kWh
2017-07-19T00:00:00-06:00,150.9375 kWh
2017-07-20T00:00:00-06:00,147.9375 kWh
2017-07-21T00:00:00-06:00,143.875 kWh
2017-07-22T00:00:00-06:00,133.625 kWh
2017-07-23T00:00:00-06:00,130.4375 kWh
2017-07-24T00:00:00-06:00,134.25 kWh
2017-07-25T00:00:00-06:00,132.6875 kWh
2017-07-26T00:00:00-06:00,138.3125 kWh
2017-07-27T00:00:00-06:00,137.1875 kWh
2017-07-28T00:00:00-06:00,137.25 kWh
2017-07-29T00:00:00-06:00,129.4375 kWh
2017-07-30T00:00:00-06:00,129.375 kWh
2017-07-31T00:00:00-06:00,144.4375 kWh
2017-08-01T00:00:00-06:00,150.5 kWh
2017-08-02T00:00:00-06:00,147.1875 kWh
2017-08-03T00:00:00-06:00,157 kWh
2017-08-04T00:00:00-06:00,146.9375 kWh
2017-08-05T00:00:00-06:00,135.0625 kWh
2017-08-06T00:00:00-06:00,128.625 kWh
2017-08-07T00:00:00-06:00,133.625 kWh
2017-08-08T00:00:00-06:00,132.875 kWh
2017-08-09T00:00:00-06:00,134.1875 kWh
2017-08-10T00:00:00-06:00,130.375 kWh
2017-08-11T00:00:00-06:00,134.0625 kWh
2017-08-12T00:00:00-06:00,129.0625 kWh
2017-08-13T00:00:00-06:00,123.3125 kWh
2017-08-14T00:00:00-06:00,123.625 kWh
2017-08-15T00:00:00-06:00,121 kWh
2017-08-16T00:00:00-06:00,130.5 kWh
2017-08-17T00:00:00-06:00,134.1875 kWh
2017-08-18T00:00:00-06:00,136.75 kWh
2017-08-19T00:00:00-06:00,130.8125 kWh
2017-08-20T00:00:00-06:00,129.5 kWh
2017-08-21T00:00:00-06:00,140 kWh
2017-08-22T00:00:00-06:00,138.625 kWh
2017-08-23T00:00:00-06:00,137.5625 kWh
2017-08-24T00:00:00-06:00,140.75 kWh
2017-08-25T00:00:00-06:00,141.1875 kWh
2017-08-26T00:00:00-06:00,133.5625 kWh
2017-08-27T00:00:00-06:00,128.25 kWh
2017-08-28T00:00:00-06:00,147.8125 kWh
2017-08-29T00:00:00-06:00,146.5 kWh
2017-08-30T00:00:00-06:00,144.75 kWh
2017-08-31T00:00:00-06:00,135.75 kWh
2017-09-01T00:00:00-06:00,138.0625 kWh
2017-09-02T00:00:00-06:00,130.5 kWh
2017-09-03T00:00:00-06:00,132.25 kWh
2017-09-04T00:00:00-06:00,135.9375 kWh
2017-09-05T00:00:00-06:00,148.5625 kWh
2017-09-06T00:00:00-06:00,151.75 kWh
2017-09-07T00:00:00-06:00,149.9375 kWh
2017-09-08T00:00:00-06:00,144.625 kWh
2017-09-09T00:00:00-06:00,128.75 kWh
2017-09-10T00:00:00-06:00,130.75 kWh
2017-09-11T00:00:00-06:00,145.3125 kWh
2017-09-12T00:00:00-06:00,145.3125 kWh
2017-09-13T00:00:00-06:00,149 kWh
2017-09-14T00:00:00-06:00,141.1875 kWh
2017-09-15T00:00:00-06:00,129.875 kWh
2017-09-16T00:00:00-06:00,117.5625 kWh
2017-09-17T00:00:00-06:00,120.625 kWh
2017-09-18T00:00:00-06:00,143.625 kWh
2017-09-19T00:00:00-06:00,131.8125 kWh
2017-09-20T00:00:00-06:00,130 kWh
2017-09-21T00:00:00-06:00,123 kWh
2017-09-22T00:00:00-06:00,118.8125 kWh
2017-09-23T00:00:00-06:00,108.9375 kWh
2017-09-24T00:00:00-06:00,108.4375 kWh
2017-09-25T00:00:00-06:00,128.0625 kWh
2017-09-26T00:00:00-06:00,134.8125 kWh
2017-09-27T00:00:00-06:00,141.375 kWh
2017-09-28T00:00:00-06:00,139.75 kWh
2017-09-29T00:00:00-06:00,142.4375 kWh
2017-09-30T00:00:00-06:00,129.375 kWh
2017-10-01T00:00:00-06:00,120.25 kWh
2017-10-02T00:00:00-06:00,126.1875 kWh
2017-10-03T00:00:00-06:00,128.4375 kWh
2017-10-04T00:00:00-06:00,134.375 kWh
2017-10-05T00:00:00-06:00,130.875 kWh
2017-10-06T00:00:00-06:00,128.4375 kWh
2017-10-07T00:00:00-06:00,122.8125 kWh
2017-10-08T00:00:00-06:00,113.4375 kWh
2017-10-09T00:00:00-06:00,121.75 kWh
2017-10-10T00:00:00-06:00,125.0625 kWh
2017-10-11T00:00:00-06:00,130.875 kWh
2017-10-12T00:00:00-06:00,125 kWh
2017-10-13T00:00:00-06:00,125.8125 kWh
2017-10-14T00:00:00-06:00,114.6875 kWh
2017-10-15T00:00:00-06:00,114.5625 kWh
2017-10-16T00:00:00-06:00,129.9375 kWh
2017-10-17T00:00:00-06:00,135.1875 kWh
2017-10-18T00:00:00-06:00,132.875 kWh
2017-10-19T00:00:00-06:00,134.75 kWh
2017-10-20T00:00:00-06:00,128 kWh
2017-10-21T00:00:00-06:00,109.8125 kWh
2017-10-22T00:00:00-06:00,115.4375 kWh
2017-10-23T00:00:00-06:00,128.3125 kWh
2017-10-24T00:00:00-06:00,127.125 kWh
2017-10-25T00:00:00-06:00,127.5 kWh
2017-10-26T00:00:00-06:00,128 kWh
2017-10-27T00:00:00-06:00,124.0625 kWh
2017-10-28T00:00:00-06:00,114.5 kWh
2017-10-29T00:00:00-06:00,111.4375 kWh
2017-10-30T00:00:00-06:00,117.125 kWh
2017-10-31T00:00:00-06:00,121.8125 kWh
2017-11-01T00:00:00-06:00,131.5625 kWh
2017-11-02T00:00:00-06:00,133.125 kWh
2017-11-03T00:00:00-06:00,129.875 kWh
2017-11-04T00:00:00-06:00,115.625 kWh
2017-11-05T00:00:00-06:00,115.125 kWh
2017-11-06T00:00:00-07:00,126.0625 kWh
2017-11-07T00:00:00-07:00,127.625 kWh
2017-11-08T00:00:00-07:00,128.8125 kWh
2017-11-09T00:00:00-07:00,132.4375 kWh
2017-11-10T00:00:00-07:00,128.375 kWh
2017-11-11T00:00:00-07:00,117.25 kWh
2017-11-12T00:00:00-07:00,115.75 kWh
2017-11-13T00:00:00-07:00,129.4375 kWh
2017-11-14T00:00:00-07:00,131.0625 kWh
2017-11-15T00:00:00-07:00,131.875 kWh
2017-11-16T00:00:00-07:00,138.6875 kWh
2017-11-17T00:00:00-07:00,125.75 kWh
2017-11-18T00:00:00-07:00,114.3125 kWh
2017-11-19T00:00:00-07:00,113 kWh
2017-11-20T00:00:00-07:00,125.375 kWh
2017-11-21T00:00:00-07:00,129.4375 kWh
2017-11-22T00:00:00-07:00,130.0625 kWh
2017-11-23T00:00:00-07:00,120.6875 kWh
2017-11-24T00:00:00-07:00,119.6875 kWh
2017-11-25T00:00:00-07:00,115.9375 kWh
2017-11-26T00:00:00-07:00,118.25 kWh
2017-11-27T00:00:00-07:00,131.375 kWh
2017-11-28T00:00:00-07:00,123.875 kWh
2017-11-29T00:00:00-07:00,125.8125 kWh
2017-11-30T00:00:00-07:00,124.625 kWh
2017-12-01T00:00:00-07:00,124.1875 kWh
2017-12-02T00:00:00-07:00,115.5 kWh
2017-12-03T00:00:00-07:00,117.0625 kWh
2017-12-04T00:00:00-07:00,124.5 kWh
2017-12-05T00:00:00-07:00,127.3125 kWh
2017-12-06T00:00:00-07:00,126.9375 kWh
2017-12-07T00:00:00-07:00,125.5 kWh
2017-12-08T00:00:00-07:00,125.625 kWh
2017-12-09T00:00:00-07:00,114.75 kWh
2017-12-10T00:00:00-07:00,110.9375 kWh
2017-12-11T00:00:00-07:00,121.875 kWh
2017-12-12T00:00:00-07:00,122.6875 kWh
2017-12-13T00:00:00-07:00,122.375 kWh
2017-12-14T00:00:00-07:00,115.5625 kWh
2017-12-15T00:00:00-07:00,105.1875 kWh
2017-12-16T00:00:00-07:00,95.8125 kWh
2017-12-17T00:00:00-07:00,95.875 kWh
2017-12-18T00:00:00-07:00,115.375 kWh
2017-12-19T00:00:00-07:00,122.875 kWh
2017-12-20T00:00:00-07:00,123.6875 kWh
2017-12-21T00:00:00-07:00,117.9375 kWh
2017-12-22T00:00:00-07:00,116.625 kWh
2017-12-23T00:00:00-07:00,109.5 kWh
2017-12-24T00:00:00-07:00,104.125 kWh
2017-12-25T00:00:00-07:00,103.4375 kWh
2017-12-26T00:00:00-07:00,105.3125 kWh
2017-12-27T00:00:00-07:00,111 kWh
2017-12-28T00:00:00-07:00,117.625 kWh
2017-12-29T00:00:00-07:00,118.625 kWh
2017-12-30T00:00:00-07:00,117.125 kWh
2017-12-31T00:00:00-07:00,111.4375 kWh
