Timestamp,"['206e9e83-0b6f326c 0046-LASSONDE STUDIOS Power Meter 316258 W-hours, Received']"
2017-07-27T00:00:00-06:00,1067.84375 kWh
2017-07-28T00:00:00-06:00,1040.03125 kWh
2017-07-29T00:00:00-06:00,1019.8125 kWh
2017-07-30T00:00:00-06:00,1051.28125 kWh
2017-07-31T00:00:00-06:00,1050.875 kWh
2017-08-01T00:00:00-06:00,1033.9375 kWh
2017-08-02T00:00:00-06:00,1004.625 kWh
2017-08-03T00:00:00-06:00,1006.71875 kWh
2017-08-04T00:00:00-06:00,1071.78125 kWh
2017-08-05T00:00:00-06:00,1015.3125 kWh
2017-08-06T00:00:00-06:00,985.6875 kWh
2017-08-07T00:00:00-06:00,1009.84375 kWh
2017-08-08T00:00:00-06:00,1022.09375 kWh
2017-08-09T00:00:00-06:00,1020.5 kWh
2017-08-10T00:00:00-06:00,1026.03125 kWh
2017-08-11T00:00:00-06:00,1033.3125 kWh
2017-08-12T00:00:00-06:00,1023.125 kWh
2017-08-13T00:00:00-06:00,1044.625 kWh
2017-08-14T00:00:00-06:00,1039.78125 kWh
2017-08-15T00:00:00-06:00,1029.875 kWh
2017-08-16T00:00:00-06:00,1056.03125 kWh
2017-08-17T00:00:00-06:00,1287.21875 kWh
2017-08-18T00:00:00-06:00,1373.46875 kWh
2017-08-19T00:00:00-06:00,1384.6875 kWh
2017-08-20T00:00:00-06:00,1435 kWh
2017-08-21T00:00:00-06:00,1477.6875 kWh
2017-08-22T00:00:00-06:00,1516.46875 kWh
2017-08-23T00:00:00-06:00,1541.15625 kWh
2017-08-24T00:00:00-06:00,1526.25 kWh
2017-08-25T00:00:00-06:00,1476.6875 kWh
2017-08-26T00:00:00-06:00,1484.3125 kWh
2017-08-27T00:00:00-06:00,1550.5 kWh
2017-08-28T00:00:00-06:00,1587.21875 kWh
2017-08-29T00:00:00-06:00,1552.40625 kWh
2017-08-30T00:00:00-06:00,1583.125 kWh
2017-08-31T00:00:00-06:00,1533.5625 kWh
2017-09-01T00:00:00-06:00,1511.25 kWh
2017-09-02T00:00:00-06:00,1497.9375 kWh
2017-09-03T00:00:00-06:00,1477.75 kWh
2017-09-04T00:00:00-06:00,1570.9375 kWh
2017-09-05T00:00:00-06:00,1577 kWh
2017-09-06T00:00:00-06:00,1572.875 kWh
2017-09-07T00:00:00-06:00,1550.5 kWh
2017-09-08T00:00:00-06:00,1595.25 kWh
2017-09-09T00:00:00-06:00,1526.5 kWh
2017-09-10T00:00:00-06:00,1554.4375 kWh
2017-09-11T00:00:00-06:00,1610 kWh
2017-09-12T00:00:00-06:00,1558.5625 kWh
2017-09-13T00:00:00-06:00,1598.8125 kWh
2017-09-14T00:00:00-06:00,1582.8125 kWh
2017-09-15T00:00:00-06:00,1597.125 kWh
2017-09-16T00:00:00-06:00,1495.6875 kWh
2017-09-17T00:00:00-06:00,1538.4375 kWh
2017-09-18T00:00:00-06:00,1576.8125 kWh
2017-09-19T00:00:00-06:00,1614.6875 kWh
2017-09-20T00:00:00-06:00,1637.4375 kWh
2017-09-21T00:00:00-06:00,1619.1875 kWh
2017-09-22T00:00:00-06:00,1551.8125 kWh
2017-09-23T00:00:00-06:00,1507.3125 kWh
2017-09-24T00:00:00-06:00,1533 kWh
2017-09-25T00:00:00-06:00,1586.375 kWh
2017-09-26T00:00:00-06:00,1587.1875 kWh
2017-09-27T00:00:00-06:00,1610 kWh
2017-09-28T00:00:00-06:00,1554.4375 kWh
2017-09-29T00:00:00-06:00,1572.9375 kWh
2017-09-30T00:00:00-06:00,1552.25 kWh
2017-10-01T00:00:00-06:00,1563.5625 kWh
2017-10-02T00:00:00-06:00,1604.5625 kWh
2017-10-03T00:00:00-06:00,1636.6875 kWh
2017-10-04T00:00:00-06:00,1619.375 kWh
2017-10-05T00:00:00-06:00,1610.5 kWh
2017-10-06T00:00:00-06:00,1542.0625 kWh
2017-10-07T00:00:00-06:00,1429.125 kWh
2017-10-08T00:00:00-06:00,1435.5625 kWh
2017-10-09T00:00:00-06:00,1397.375 kWh
2017-10-10T00:00:00-06:00,1377.25 kWh
2017-10-11T00:00:00-06:00,1329.9375 kWh
2017-10-12T00:00:00-06:00,1355.1875 kWh
2017-10-13T00:00:00-06:00,1380.8125 kWh
2017-10-14T00:00:00-06:00,1391.375 kWh
2017-10-15T00:00:00-06:00,1467.0625 kWh
2017-10-16T00:00:00-06:00,1610.1875 kWh
2017-10-17T00:00:00-06:00,1603.3125 kWh
2017-10-18T00:00:00-06:00,1596.1875 kWh
2017-10-19T00:00:00-06:00,1593.4375 kWh
2017-10-20T00:00:00-06:00,1592.9375 kWh
2017-10-21T00:00:00-06:00,1502.1875 kWh
2017-10-22T00:00:00-06:00,1569.3125 kWh
2017-10-23T00:00:00-06:00,1573.375 kWh
2017-10-24T00:00:00-06:00,1594.75 kWh
2017-10-25T00:00:00-06:00,1591.9375 kWh
2017-10-26T00:00:00-06:00,1572.125 kWh
2017-10-27T00:00:00-06:00,1542.375 kWh
2017-10-28T00:00:00-06:00,1517.5625 kWh
2017-10-29T00:00:00-06:00,1556.5 kWh
2017-10-30T00:00:00-06:00,1579.6875 kWh
2017-10-31T00:00:00-06:00,1602.6875 kWh
2017-11-01T00:00:00-06:00,1623.1875 kWh
2017-11-02T00:00:00-06:00,1621.25 kWh
2017-11-03T00:00:00-06:00,1605.25 kWh
2017-11-04T00:00:00-06:00,1568.6875 kWh
2017-11-05T00:00:00-06:00,1688.625 kWh
2017-11-06T00:00:00-07:00,1646.9375 kWh
2017-11-07T00:00:00-07:00,1659.125 kWh
2017-11-08T00:00:00-07:00,1676 kWh
2017-11-09T00:00:00-07:00,1619.5625 kWh
2017-11-10T00:00:00-07:00,1617.625 kWh
2017-11-11T00:00:00-07:00,1609.875 kWh
2017-11-12T00:00:00-07:00,1638.5625 kWh
2017-11-13T00:00:00-07:00,1674.875 kWh
2017-11-14T00:00:00-07:00,1685.1875 kWh
2017-11-15T00:00:00-07:00,1720.25 kWh
2017-11-16T00:00:00-07:00,1658.5625 kWh
2017-11-17T00:00:00-07:00,1659.75 kWh
2017-11-18T00:00:00-07:00,1608.4375 kWh
2017-11-19T00:00:00-07:00,1622.9375 kWh
2017-11-20T00:00:00-07:00,1734.5 kWh
2017-11-21T00:00:00-07:00,1684.3125 kWh
2017-11-22T00:00:00-07:00,1499.375 kWh
2017-11-23T00:00:00-07:00,1197.125 kWh
2017-11-24T00:00:00-07:00,1181.625 kWh
2017-11-25T00:00:00-07:00,1246.5 kWh
2017-11-26T00:00:00-07:00,1471.4375 kWh
2017-11-27T00:00:00-07:00,1638.875 kWh
2017-11-28T00:00:00-07:00,1647.875 kWh
2017-11-29T00:00:00-07:00,1698.5 kWh
2017-11-30T00:00:00-07:00,1714.625 kWh
2017-12-01T00:00:00-07:00,1664.875 kWh
2017-12-02T00:00:00-07:00,1666.1875 kWh
2017-12-03T00:00:00-07:00,1663.875 kWh
2017-12-04T00:00:00-07:00,1721 kWh
2017-12-05T00:00:00-07:00,1734.875 kWh
2017-12-06T00:00:00-07:00,1798 kWh
2017-12-07T00:00:00-07:00,1796.375 kWh
2017-12-08T00:00:00-07:00,1770.6875 kWh
2017-12-09T00:00:00-07:00,1708.0625 kWh
2017-12-10T00:00:00-07:00,1670.6875 kWh
2017-12-11T00:00:00-07:00,1709.5 kWh
2017-12-12T00:00:00-07:00,1732.125 kWh
2017-12-13T00:00:00-07:00,1757.4375 kWh
2017-12-14T00:00:00-07:00,1649.4375 kWh
2017-12-15T00:00:00-07:00,1599.125 kWh
2017-12-16T00:00:00-07:00,1384.375 kWh
2017-12-17T00:00:00-07:00,1212.625 kWh
2017-12-18T00:00:00-07:00,1196.4375 kWh
2017-12-19T00:00:00-07:00,1097.6875 kWh
2017-12-20T00:00:00-07:00,1111.75 kWh
2017-12-21T00:00:00-07:00,1120.125 kWh
2017-12-22T00:00:00-07:00,1065.625 kWh
2017-12-23T00:00:00-07:00,1055.875 kWh
2017-12-24T00:00:00-07:00,1063.6875 kWh
2017-12-25T00:00:00-07:00,1023.3125 kWh
2017-12-26T00:00:00-07:00,1046.875 kWh
2017-12-27T00:00:00-07:00,1060.125 kWh
2017-12-28T00:00:00-07:00,1067.5625 kWh
2017-12-29T00:00:00-07:00,1088.6875 kWh
2017-12-30T00:00:00-07:00,1085.25 kWh
2017-12-31T00:00:00-07:00,1062 kWh
