Timestamp,['1ebcfb66-442dc362 0105-ANNEX GENERAL OFFICE  Power Meter KWH Received']
2017-05-11T00:00:00-06:00,1167.84375 kWh
2017-05-12T00:00:00-06:00,1144.59375 kWh
2017-05-13T00:00:00-06:00,800.5 kWh
2017-05-14T00:00:00-06:00,795.75 kWh
2017-05-15T00:00:00-06:00,1174.4375 kWh
2017-05-16T00:00:00-06:00,1147.6875 kWh
2017-05-17T00:00:00-06:00,1066.0625 kWh
2017-05-18T00:00:00-06:00,1141.9375 kWh
2017-05-19T00:00:00-06:00,1025.9375 kWh
2017-05-20T00:00:00-06:00,704.65625 kWh
2017-05-21T00:00:00-06:00,700.28125 kWh
2017-05-22T00:00:00-06:00,1026.5 kWh
2017-05-23T00:00:00-06:00,1160.34375 kWh
2017-05-24T00:00:00-06:00,1229.8125 kWh
2017-05-25T00:00:00-06:00,1178.3125 kWh
2017-05-26T00:00:00-06:00,1079.5625 kWh
2017-05-27T00:00:00-06:00,824.65625 kWh
2017-05-28T00:00:00-06:00,830.53125 kWh
2017-05-29T00:00:00-06:00,864.40625 kWh
2017-05-30T00:00:00-06:00,1283.96875 kWh
2017-05-31T00:00:00-06:00,1337.25 kWh
2017-06-01T00:00:00-06:00,1279.84375 kWh
2017-06-02T00:00:00-06:00,1093.25 kWh
2017-06-03T00:00:00-06:00,856.125 kWh
2017-06-04T00:00:00-06:00,893.03125 kWh
2017-06-05T00:00:00-06:00,1426.78125 kWh
2017-06-06T00:00:00-06:00,1499.59375 kWh
2017-06-07T00:00:00-06:00,1545.125 kWh
2017-06-08T00:00:00-06:00,1490.09375 kWh
2017-06-09T00:00:00-06:00,1155.71875 kWh
2017-06-10T00:00:00-06:00,867.78125 kWh
2017-06-11T00:00:00-06:00,892.90625 kWh
2017-06-12T00:00:00-06:00,1247.96875 kWh
2017-06-13T00:00:00-06:00,1256.84375 kWh
2017-06-14T00:00:00-06:00,1240.96875 kWh
2017-06-15T00:00:00-06:00,1251.59375 kWh
2017-06-16T00:00:00-06:00,1236.65625 kWh
2017-06-17T00:00:00-06:00,938.65625 kWh
2017-06-18T00:00:00-06:00,906.78125 kWh
2017-06-19T00:00:00-06:00,1470.6875 kWh
2017-06-20T00:00:00-06:00,1624.96875 kWh
2017-06-21T00:00:00-06:00,1593.65625 kWh
2017-06-22T00:00:00-06:00,1507.09375 kWh
2017-06-23T00:00:00-06:00,1195 kWh
2017-06-24T00:00:00-06:00,901.15625 kWh
2017-06-25T00:00:00-06:00,899.5 kWh
2017-06-26T00:00:00-06:00,1628.8125 kWh
2017-06-27T00:00:00-06:00,1629.84375 kWh
2017-06-28T00:00:00-06:00,1482.21875 kWh
2017-06-29T00:00:00-06:00,1369.8125 kWh
2017-06-30T00:00:00-06:00,1218.46875 kWh
2017-07-01T00:00:00-06:00,926.25 kWh
2017-07-02T00:00:00-06:00,937.375 kWh
2017-07-03T00:00:00-06:00,1448.3125 kWh
2017-07-04T00:00:00-06:00,1033.6875 kWh
2017-07-05T00:00:00-06:00,1852.71875 kWh
2017-07-06T00:00:00-06:00,1814.28125 kWh
2017-07-07T00:00:00-06:00,1591.34375 kWh
2017-07-08T00:00:00-06:00,1168.71875 kWh
2017-07-09T00:00:00-06:00,1130.84375 kWh
2017-07-10T00:00:00-06:00,1758.03125 kWh
2017-07-11T00:00:00-06:00,1695.59375 kWh
2017-07-12T00:00:00-06:00,1588.3125 kWh
2017-07-13T00:00:00-06:00,1499.59375 kWh
2017-07-14T00:00:00-06:00,1380.25 kWh
2017-07-15T00:00:00-06:00,1071 kWh
2017-07-16T00:00:00-06:00,1022.34375 kWh
2017-07-17T00:00:00-06:00,1691.5625 kWh
2017-07-18T00:00:00-06:00,1792.125 kWh
2017-07-19T00:00:00-06:00,1706.375 kWh
2017-07-20T00:00:00-06:00,1569.96875 kWh
2017-07-21T00:00:00-06:00,1385.6875 kWh
2017-07-22T00:00:00-06:00,990.15625 kWh
2017-07-23T00:00:00-06:00,951.5 kWh
2017-07-24T00:00:00-06:00,999.84375 kWh
2017-07-25T00:00:00-06:00,1520.78125 kWh
2017-07-26T00:00:00-06:00,1595.21875 kWh
2017-07-27T00:00:00-06:00,1542.3125 kWh
2017-07-28T00:00:00-06:00,1437.78125 kWh
2017-07-29T00:00:00-06:00,1060.375 kWh
2017-07-30T00:00:00-06:00,1028.0625 kWh
2017-07-31T00:00:00-06:00,1595.78125 kWh
2017-08-01T00:00:00-06:00,1647.96875 kWh
2017-08-02T00:00:00-06:00,1627.875 kWh
2017-08-03T00:00:00-06:00,1584.5625 kWh
2017-08-04T00:00:00-06:00,1410.40625 kWh
2017-08-05T00:00:00-06:00,1058.71875 kWh
2017-08-06T00:00:00-06:00,955.90625 kWh
2017-08-07T00:00:00-06:00,1357.65625 kWh
2017-08-08T00:00:00-06:00,1392.9375 kWh
2017-08-09T00:00:00-06:00,1408.9375 kWh
2017-08-10T00:00:00-06:00,1377.65625 kWh
2017-08-11T00:00:00-06:00,1327.75 kWh
2017-08-12T00:00:00-06:00,1070.4375 kWh
2017-08-13T00:00:00-06:00,1044.03125 kWh
2017-08-14T00:00:00-06:00,1396.25 kWh
2017-08-15T00:00:00-06:00,1377.3125 kWh
2017-08-16T00:00:00-06:00,1333 kWh
2017-08-17T00:00:00-06:00,1342.59375 kWh
2017-08-18T00:00:00-06:00,1384.8125 kWh
2017-08-19T00:00:00-06:00,992.3125 kWh
2017-08-20T00:00:00-06:00,1045.40625 kWh
2017-08-21T00:00:00-06:00,1716.5 kWh
2017-08-22T00:00:00-06:00,1728.09375 kWh
2017-08-23T00:00:00-06:00,1745.96875 kWh
2017-08-24T00:00:00-06:00,1721.59375 kWh
2017-08-25T00:00:00-06:00,1565.53125 kWh
2017-08-26T00:00:00-06:00,1146.53125 kWh
2017-08-27T00:00:00-06:00,1118.21875 kWh
2017-08-28T00:00:00-06:00,1860.375 kWh
2017-08-29T00:00:00-06:00,1784.84375 kWh
2017-08-30T00:00:00-06:00,1867.1875 kWh
2017-08-31T00:00:00-06:00,1676.125 kWh
2017-09-01T00:00:00-06:00,1395.1875 kWh
2017-09-02T00:00:00-06:00,1042.59375 kWh
2017-09-03T00:00:00-06:00,1054.78125 kWh
2017-09-04T00:00:00-06:00,1059.03125 kWh
2017-09-05T00:00:00-06:00,1844.78125 kWh
2017-09-06T00:00:00-06:00,1790.15625 kWh
2017-09-07T00:00:00-06:00,1685.5 kWh
2017-09-08T00:00:00-06:00,1444.4375 kWh
2017-09-09T00:00:00-06:00,970.59375 kWh
2017-09-10T00:00:00-06:00,967.9375 kWh
2017-09-11T00:00:00-06:00,1580.34375 kWh
2017-09-12T00:00:00-06:00,1682.34375 kWh
2017-09-13T00:00:00-06:00,1599.75 kWh
2017-09-14T00:00:00-06:00,1445.96875 kWh
2017-09-15T00:00:00-06:00,1136.78125 kWh
2017-09-16T00:00:00-06:00,918.375 kWh
2017-09-17T00:00:00-06:00,878.71875 kWh
2017-09-18T00:00:00-06:00,1334.84375 kWh
2017-09-19T00:00:00-06:00,1267.84375 kWh
2017-09-20T00:00:00-06:00,1154.6875 kWh
2017-09-21T00:00:00-06:00,1181.875 kWh
2017-09-22T00:00:00-06:00,979.8125 kWh
2017-09-23T00:00:00-06:00,678.4375 kWh
2017-09-24T00:00:00-06:00,651.90625 kWh
2017-09-25T00:00:00-06:00,1229.53125 kWh
2017-09-26T00:00:00-06:00,1157.9375 kWh
2017-09-27T00:00:00-06:00,1122.84375 kWh
2017-09-28T00:00:00-06:00,1056.03125 kWh
2017-09-29T00:00:00-06:00,947.53125 kWh
2017-09-30T00:00:00-06:00,676.3125 kWh
2017-10-01T00:00:00-06:00,654.71875 kWh
2017-10-02T00:00:00-06:00,1226.15625 kWh
2017-10-03T00:00:00-06:00,1338.4375 kWh
2017-10-04T00:00:00-06:00,1283.90625 kWh
2017-10-05T00:00:00-06:00,1242.78125 kWh
2017-10-06T00:00:00-06:00,1156.90625 kWh
2017-10-07T00:00:00-06:00,949.53125 kWh
2017-10-08T00:00:00-06:00,864.59375 kWh
2017-10-09T00:00:00-06:00,1183.125 kWh
2017-10-10T00:00:00-06:00,1177.375 kWh
2017-10-11T00:00:00-06:00,1186.3125 kWh
2017-10-12T00:00:00-06:00,1094.1875 kWh
2017-10-13T00:00:00-06:00,1010.1875 kWh
2017-10-14T00:00:00-06:00,784.375 kWh
2017-10-15T00:00:00-06:00,788.78125 kWh
2017-10-16T00:00:00-06:00,1138.8125 kWh
2017-10-17T00:00:00-06:00,1161.78125 kWh
2017-10-18T00:00:00-06:00,1187.625 kWh
2017-10-19T00:00:00-06:00,1207.5 kWh
2017-10-20T00:00:00-06:00,1105.53125 kWh
2017-10-21T00:00:00-06:00,849.53125 kWh
2017-10-22T00:00:00-06:00,856.75 kWh
2017-10-23T00:00:00-06:00,1258.9375 kWh
2017-10-24T00:00:00-06:00,1240.8125 kWh
2017-10-25T00:00:00-06:00,1308.96875 kWh
2017-10-26T00:00:00-06:00,1287.21875 kWh
2017-10-27T00:00:00-06:00,1142.59375 kWh
2017-10-28T00:00:00-06:00,869.15625 kWh
2017-10-29T00:00:00-06:00,837.25 kWh
2017-10-30T00:00:00-06:00,1225 kWh
2017-10-31T00:00:00-06:00,1036.1875 kWh
2017-11-01T00:00:00-06:00,1252.53125 kWh
2017-11-02T00:00:00-06:00,1220.71875 kWh
2017-11-03T00:00:00-06:00,1132.5 kWh
2017-11-04T00:00:00-06:00,893.4375 kWh
2017-11-05T00:00:00-06:00,885.8125 kWh
2017-11-06T00:00:00-07:00,1209.3125 kWh
2017-11-07T00:00:00-07:00,1205.75 kWh
2017-11-08T00:00:00-07:00,1224.125 kWh
2017-11-09T00:00:00-07:00,1202.9375 kWh
2017-11-10T00:00:00-07:00,1090.1875 kWh
2017-11-11T00:00:00-07:00,863.375 kWh
2017-11-12T00:00:00-07:00,824.875 kWh
2017-11-13T00:00:00-07:00,1151.9375 kWh
2017-11-14T00:00:00-07:00,1228.5625 kWh
2017-11-15T00:00:00-07:00,1232.4375 kWh
2017-11-16T00:00:00-07:00,1205.75 kWh
2017-11-17T00:00:00-07:00,1159.25 kWh
2017-11-18T00:00:00-07:00,854.1875 kWh
2017-11-19T00:00:00-07:00,816.3125 kWh
2017-11-20T00:00:00-07:00,1232.5 kWh
2017-11-21T00:00:00-07:00,1210.8125 kWh
2017-11-22T00:00:00-07:00,1085.8125 kWh
2017-11-23T00:00:00-07:00,772.75 kWh
2017-11-24T00:00:00-07:00,781.5625 kWh
2017-11-25T00:00:00-07:00,815.875 kWh
2017-11-26T00:00:00-07:00,759.4375 kWh
2017-11-27T00:00:00-07:00,1144.8125 kWh
2017-11-28T00:00:00-07:00,1190.25 kWh
2017-11-29T00:00:00-07:00,1151.4375 kWh
2017-11-30T00:00:00-07:00,1206.625 kWh
2017-12-01T00:00:00-07:00,1089.0625 kWh
2017-12-02T00:00:00-07:00,846.3125 kWh
2017-12-03T00:00:00-07:00,841.5625 kWh
2017-12-04T00:00:00-07:00,1169.3125 kWh
2017-12-05T00:00:00-07:00,1219.3125 kWh
2017-12-06T00:00:00-07:00,1248.5625 kWh
2017-12-07T00:00:00-07:00,1286.75 kWh
2017-12-08T00:00:00-07:00,1120.125 kWh
2017-12-09T00:00:00-07:00,819.0625 kWh
2017-12-10T00:00:00-07:00,809 kWh
2017-12-11T00:00:00-07:00,1178.1875 kWh
2017-12-12T00:00:00-07:00,1201.625 kWh
2017-12-13T00:00:00-07:00,1205.75 kWh
2017-12-14T00:00:00-07:00,1160.9375 kWh
2017-12-15T00:00:00-07:00,1055.5 kWh
2017-12-16T00:00:00-07:00,819.375 kWh
2017-12-17T00:00:00-07:00,813.875 kWh
2017-12-18T00:00:00-07:00,1012.125 kWh
2017-12-19T00:00:00-07:00,1076.5625 kWh
2017-12-20T00:00:00-07:00,1044.75 kWh
2017-12-21T00:00:00-07:00,1011 kWh
2017-12-22T00:00:00-07:00,907.0625 kWh
2017-12-23T00:00:00-07:00,710.3125 kWh
2017-12-24T00:00:00-07:00,706.875 kWh
2017-12-25T00:00:00-07:00,725.4375 kWh
2017-12-26T00:00:00-07:00,738.5625 kWh
2017-12-27T00:00:00-07:00,901.3125 kWh
2017-12-28T00:00:00-07:00,925.0625 kWh
2017-12-29T00:00:00-07:00,822.8125 kWh
2017-12-30T00:00:00-07:00,822.1875 kWh
2017-12-31T00:00:00-07:00,789.0625 kWh
