Timestamp,['1ed62995-b9682041 0012-SUTTON BLDG POWER METER 208V (316602) Real Energy In']
2017-04-04T00:00:00-06:00,1249.5 kWh
2017-04-05T00:00:00-06:00,1272.25 kWh
2017-04-06T00:00:00-06:00,1308 kWh
2017-04-07T00:00:00-06:00,1313 kWh
2017-04-08T00:00:00-06:00,1153.5 kWh
2017-04-09T00:00:00-06:00,1159 kWh
2017-04-10T00:00:00-06:00,1239.5 kWh
2017-04-11T00:00:00-06:00,1258 kWh
2017-04-12T00:00:00-06:00,1334 kWh
2017-04-13T00:00:00-06:00,1333.75 kWh
2017-04-14T00:00:00-06:00,1297.25 kWh
2017-04-15T00:00:00-06:00,1140 kWh
2017-04-16T00:00:00-06:00,1111 kWh
2017-04-17T00:00:00-06:00,1232 kWh
2017-04-18T00:00:00-06:00,1298.75 kWh
2017-04-19T00:00:00-06:00,1275 kWh
2017-04-20T00:00:00-06:00,1251.5 kWh
2017-04-21T00:00:00-06:00,1297 kWh
2017-04-22T00:00:00-06:00,1133.25 kWh
2017-04-23T00:00:00-06:00,1127.5 kWh
2017-04-24T00:00:00-06:00,1269.25 kWh
2017-04-25T00:00:00-06:00,1264 kWh
2017-04-26T00:00:00-06:00,1215.25 kWh
2017-04-27T00:00:00-06:00,1281.75 kWh
2017-04-28T00:00:00-06:00,1242.5 kWh
2017-04-29T00:00:00-06:00,1157 kWh
2017-04-30T00:00:00-06:00,1174.5 kWh
2017-05-01T00:00:00-06:00,1237.25 kWh
2017-05-02T00:00:00-06:00,1252.5 kWh
2017-05-03T00:00:00-06:00,1290.75 kWh
2017-05-04T00:00:00-06:00,1287.5 kWh
2017-05-05T00:00:00-06:00,1194 kWh
2017-05-06T00:00:00-06:00,988.25 kWh
2017-05-07T00:00:00-06:00,982.5 kWh
2017-05-08T00:00:00-06:00,1214.5 kWh
2017-05-09T00:00:00-06:00,1293.5 kWh
2017-05-10T00:00:00-06:00,1294 kWh
2017-05-11T00:00:00-06:00,1286.25 kWh
2017-05-12T00:00:00-06:00,1268 kWh
2017-05-13T00:00:00-06:00,1170 kWh
2017-05-14T00:00:00-06:00,1161.75 kWh
2017-05-15T00:00:00-06:00,1240.75 kWh
2017-05-16T00:00:00-06:00,1286.5 kWh
2017-05-17T00:00:00-06:00,1281 kWh
2017-05-18T00:00:00-06:00,1315 kWh
2017-05-19T00:00:00-06:00,1314.75 kWh
2017-05-20T00:00:00-06:00,1177.25 kWh
2017-05-21T00:00:00-06:00,1167.25 kWh
2017-05-22T00:00:00-06:00,1287.25 kWh
2017-05-23T00:00:00-06:00,1338.25 kWh
2017-05-24T00:00:00-06:00,1326.5 kWh
2017-05-25T00:00:00-06:00,1309.75 kWh
2017-05-26T00:00:00-06:00,1202.5 kWh
2017-05-27T00:00:00-06:00,977 kWh
2017-05-28T00:00:00-06:00,970.25 kWh
2017-05-29T00:00:00-06:00,968 kWh
2017-05-30T00:00:00-06:00,1188.25 kWh
2017-05-31T00:00:00-06:00,1294.75 kWh
2017-06-01T00:00:00-06:00,1255.75 kWh
2017-06-02T00:00:00-06:00,1224.25 kWh
2017-06-03T00:00:00-06:00,1109.5 kWh
2017-06-04T00:00:00-06:00,1103.25 kWh
2017-06-05T00:00:00-06:00,1177.5 kWh
2017-06-06T00:00:00-06:00,1238.5 kWh
2017-06-07T00:00:00-06:00,1300 kWh
2017-06-08T00:00:00-06:00,1335.5 kWh
2017-06-09T00:00:00-06:00,1275.75 kWh
2017-06-10T00:00:00-06:00,1179 kWh
2017-06-11T00:00:00-06:00,1192.25 kWh
2017-06-12T00:00:00-06:00,1327.5 kWh
2017-06-13T00:00:00-06:00,1325 kWh
2017-06-14T00:00:00-06:00,1287.5 kWh
2017-06-15T00:00:00-06:00,1262.5 kWh
2017-06-16T00:00:00-06:00,1236.25 kWh
2017-06-17T00:00:00-06:00,1242 kWh
2017-06-18T00:00:00-06:00,1188.5 kWh
2017-06-19T00:00:00-06:00,1260 kWh
2017-06-20T00:00:00-06:00,1325.75 kWh
2017-06-21T00:00:00-06:00,1336.5 kWh
2017-06-22T00:00:00-06:00,1353.75 kWh
2017-06-23T00:00:00-06:00,1330 kWh
2017-06-24T00:00:00-06:00,1188.25 kWh
2017-06-25T00:00:00-06:00,1141.5 kWh
2017-06-26T00:00:00-06:00,1263.25 kWh
2017-06-27T00:00:00-06:00,1308.5 kWh
2017-06-28T00:00:00-06:00,1279 kWh
2017-06-29T00:00:00-06:00,1256.5 kWh
2017-06-30T00:00:00-06:00,1244.5 kWh
2017-07-01T00:00:00-06:00,997.5 kWh
2017-07-02T00:00:00-06:00,949.25 kWh
2017-07-03T00:00:00-06:00,1124.75 kWh
2017-07-04T00:00:00-06:00,1180.5 kWh
2017-07-05T00:00:00-06:00,1170.5 kWh
2017-07-06T00:00:00-06:00,1223 kWh
2017-07-07T00:00:00-06:00,1225 kWh
2017-07-08T00:00:00-06:00,1125.75 kWh
2017-07-09T00:00:00-06:00,1122.75 kWh
2017-07-10T00:00:00-06:00,1237.5 kWh
2017-07-11T00:00:00-06:00,1250.75 kWh
2017-07-12T00:00:00-06:00,1239 kWh
2017-07-13T00:00:00-06:00,1232.5 kWh
2017-07-14T00:00:00-06:00,1126.75 kWh
2017-07-15T00:00:00-06:00,1038.25 kWh
2017-07-16T00:00:00-06:00,1018 kWh
2017-07-17T00:00:00-06:00,1097 kWh
2017-07-18T00:00:00-06:00,1133 kWh
2017-07-19T00:00:00-06:00,1174.5 kWh
2017-07-20T00:00:00-06:00,1270.25 kWh
2017-07-21T00:00:00-06:00,1293 kWh
2017-07-22T00:00:00-06:00,1166.25 kWh
2017-07-23T00:00:00-06:00,1161.5 kWh
2017-07-24T00:00:00-06:00,1170.75 kWh
2017-07-25T00:00:00-06:00,1242 kWh
2017-07-26T00:00:00-06:00,1232.75 kWh
2017-07-27T00:00:00-06:00,1258 kWh
2017-07-28T00:00:00-06:00,1230.5 kWh
2017-07-29T00:00:00-06:00,969.5 kWh
2017-07-30T00:00:00-06:00,974.5 kWh
2017-07-31T00:00:00-06:00,1120 kWh
2017-08-01T00:00:00-06:00,1169.5 kWh
2017-08-02T00:00:00-06:00,1198.75 kWh
2017-08-03T00:00:00-06:00,1364.75 kWh
2017-08-04T00:00:00-06:00,1340.25 kWh
2017-08-05T00:00:00-06:00,1154.75 kWh
2017-08-06T00:00:00-06:00,1164.75 kWh
2017-08-07T00:00:00-06:00,1245.5 kWh
2017-08-08T00:00:00-06:00,1258.5 kWh
2017-08-09T00:00:00-06:00,1264 kWh
2017-08-10T00:00:00-06:00,1176 kWh
2017-08-11T00:00:00-06:00,1038.25 kWh
2017-08-12T00:00:00-06:00,944.75 kWh
2017-08-13T00:00:00-06:00,948.5 kWh
2017-08-14T00:00:00-06:00,1234.25 kWh
2017-08-15T00:00:00-06:00,1314.75 kWh
2017-08-16T00:00:00-06:00,1290.75 kWh
2017-08-17T00:00:00-06:00,1273.75 kWh
2017-08-18T00:00:00-06:00,1265.25 kWh
2017-08-19T00:00:00-06:00,1103.5 kWh
2017-08-20T00:00:00-06:00,1103 kWh
2017-08-21T00:00:00-06:00,1267.75 kWh
2017-08-22T00:00:00-06:00,1317.75 kWh
2017-08-23T00:00:00-06:00,1261.75 kWh
2017-08-24T00:00:00-06:00,1307.25 kWh
2017-08-25T00:00:00-06:00,1211 kWh
2017-08-26T00:00:00-06:00,920.5 kWh
2017-08-27T00:00:00-06:00,912.25 kWh
2017-08-28T00:00:00-06:00,1192 kWh
2017-08-29T00:00:00-06:00,1242.25 kWh
2017-08-30T00:00:00-06:00,1262.75 kWh
2017-08-31T00:00:00-06:00,1263.75 kWh
2017-09-01T00:00:00-06:00,1265.5 kWh
2017-09-02T00:00:00-06:00,1114 kWh
2017-09-03T00:00:00-06:00,1153.25 kWh
2017-09-04T00:00:00-06:00,1209.5 kWh
2017-09-05T00:00:00-06:00,1315.5 kWh
2017-09-06T00:00:00-06:00,1332 kWh
2017-09-07T00:00:00-06:00,1304.5 kWh
2017-09-08T00:00:00-06:00,1303.75 kWh
2017-09-09T00:00:00-06:00,1131.5 kWh
2017-09-10T00:00:00-06:00,1113.75 kWh
2017-09-11T00:00:00-06:00,1249 kWh
2017-09-12T00:00:00-06:00,1266 kWh
2017-09-13T00:00:00-06:00,1272.75 kWh
2017-09-14T00:00:00-06:00,1295 kWh
2017-09-15T00:00:00-06:00,1263.5 kWh
2017-09-16T00:00:00-06:00,1095.5 kWh
2017-09-17T00:00:00-06:00,1092.75 kWh
2017-09-18T00:00:00-06:00,1249.25 kWh
2017-09-19T00:00:00-06:00,1295.25 kWh
2017-09-20T00:00:00-06:00,1316 kWh
2017-09-21T00:00:00-06:00,1219.75 kWh
2017-09-22T00:00:00-06:00,1249 kWh
2017-09-23T00:00:00-06:00,1123 kWh
2017-09-24T00:00:00-06:00,1096.25 kWh
2017-09-25T00:00:00-06:00,1227.25 kWh
2017-09-26T00:00:00-06:00,1295 kWh
2017-09-27T00:00:00-06:00,1291 kWh
2017-09-28T00:00:00-06:00,1225.75 kWh
2017-09-29T00:00:00-06:00,1182.5 kWh
2017-09-30T00:00:00-06:00,940.5 kWh
2017-10-01T00:00:00-06:00,939.25 kWh
2017-10-02T00:00:00-06:00,1054.5 kWh
2017-10-03T00:00:00-06:00,1150.5 kWh
2017-10-04T00:00:00-06:00,1173.5 kWh
2017-10-05T00:00:00-06:00,1126.75 kWh
2017-10-06T00:00:00-06:00,1073 kWh
2017-10-07T00:00:00-06:00,959.75 kWh
2017-10-08T00:00:00-06:00,974.75 kWh
2017-10-09T00:00:00-06:00,1059.25 kWh
2017-10-10T00:00:00-06:00,1065.75 kWh
2017-10-11T00:00:00-06:00,1125 kWh
2017-10-12T00:00:00-06:00,1159.5 kWh
2017-10-13T00:00:00-06:00,1043.75 kWh
2017-10-14T00:00:00-06:00,951 kWh
2017-10-15T00:00:00-06:00,951 kWh
2017-10-16T00:00:00-06:00,1057 kWh
2017-10-17T00:00:00-06:00,1189.75 kWh
2017-10-18T00:00:00-06:00,1285.5 kWh
2017-10-19T00:00:00-06:00,1282.75 kWh
2017-10-20T00:00:00-06:00,1209.25 kWh
2017-10-21T00:00:00-06:00,965.25 kWh
2017-10-22T00:00:00-06:00,946 kWh
2017-10-23T00:00:00-06:00,1134.25 kWh
2017-10-24T00:00:00-06:00,1135.5 kWh
2017-10-25T00:00:00-06:00,1154.5 kWh
2017-10-26T00:00:00-06:00,1266 kWh
2017-10-27T00:00:00-06:00,1221.25 kWh
2017-10-28T00:00:00-06:00,1033.25 kWh
2017-10-29T00:00:00-06:00,1029.25 kWh
2017-10-30T00:00:00-06:00,1168.75 kWh
2017-10-31T00:00:00-06:00,1113.75 kWh
2017-11-01T00:00:00-06:00,1258.5 kWh
2017-11-02T00:00:00-06:00,1223 kWh
2017-11-03T00:00:00-06:00,1168.5 kWh
2017-11-04T00:00:00-06:00,1048 kWh
2017-11-05T00:00:00-06:00,1096.25 kWh
2017-11-06T00:00:00-07:00,1231.25 kWh
2017-11-07T00:00:00-07:00,1176.5 kWh
2017-11-08T00:00:00-07:00,1196.75 kWh
2017-11-09T00:00:00-07:00,1230.5 kWh
2017-11-10T00:00:00-07:00,1226 kWh
2017-11-11T00:00:00-07:00,1107.25 kWh
2017-11-12T00:00:00-07:00,1107.25 kWh
2017-11-13T00:00:00-07:00,1260.75 kWh
2017-11-14T00:00:00-07:00,1288.25 kWh
2017-11-15T00:00:00-07:00,1286.25 kWh
2017-11-16T00:00:00-07:00,1230.75 kWh
2017-11-17T00:00:00-07:00,1195.5 kWh
2017-11-18T00:00:00-07:00,1074 kWh
2017-11-19T00:00:00-07:00,1072.25 kWh
2017-11-20T00:00:00-07:00,1158.25 kWh
2017-11-21T00:00:00-07:00,1197 kWh
2017-11-22T00:00:00-07:00,1171.25 kWh
2017-11-23T00:00:00-07:00,1048.5 kWh
2017-11-24T00:00:00-07:00,949 kWh
2017-11-25T00:00:00-07:00,887 kWh
2017-11-26T00:00:00-07:00,880.5 kWh
2017-11-27T00:00:00-07:00,1142.75 kWh
2017-11-28T00:00:00-07:00,1249 kWh
2017-11-29T00:00:00-07:00,1226.25 kWh
2017-11-30T00:00:00-07:00,1151.5 kWh
2017-12-01T00:00:00-07:00,1121.25 kWh
2017-12-02T00:00:00-07:00,1036.75 kWh
2017-12-03T00:00:00-07:00,1025 kWh
2017-12-04T00:00:00-07:00,1194.5 kWh
2017-12-05T00:00:00-07:00,1180.5 kWh
2017-12-06T00:00:00-07:00,1205.5 kWh
2017-12-07T00:00:00-07:00,1211.25 kWh
2017-12-08T00:00:00-07:00,1202 kWh
2017-12-09T00:00:00-07:00,1114.75 kWh
2017-12-10T00:00:00-07:00,1093.5 kWh
2017-12-11T00:00:00-07:00,1186.5 kWh
2017-12-12T00:00:00-07:00,1184.5 kWh
2017-12-13T00:00:00-07:00,1161.75 kWh
2017-12-14T00:00:00-07:00,1138.25 kWh
2017-12-15T00:00:00-07:00,1110.75 kWh
2017-12-16T00:00:00-07:00,1045.5 kWh
2017-12-17T00:00:00-07:00,1052.25 kWh
2017-12-18T00:00:00-07:00,1126.75 kWh
2017-12-19T00:00:00-07:00,1188.5 kWh
2017-12-20T00:00:00-07:00,1192.25 kWh
2017-12-21T00:00:00-07:00,1190.25 kWh
2017-12-22T00:00:00-07:00,1111.5 kWh
2017-12-23T00:00:00-07:00,1007 kWh
2017-12-24T00:00:00-07:00,906.25 kWh
2017-12-25T00:00:00-07:00,855.5 kWh
2017-12-26T00:00:00-07:00,867 kWh
2017-12-27T00:00:00-07:00,999.25 kWh
2017-12-28T00:00:00-07:00,1052 kWh
2017-12-29T00:00:00-07:00,1030.5 kWh
2017-12-30T00:00:00-07:00,1018.75 kWh
2017-12-31T00:00:00-07:00,1016.75 kWh
