Timestamp,['1cc3faeb-05f3e699 0008-EMERY BLDG Power Meter 300026 KWH Received']
2017-02-23T00:00:00-07:00,956.75 kWh
2017-02-24T00:00:00-07:00,868.75 kWh
2017-02-25T00:00:00-07:00,666 kWh
2017-02-26T00:00:00-07:00,650.5 kWh
2017-02-27T00:00:00-07:00,921 kWh
2017-02-28T00:00:00-07:00,999.75 kWh
2017-03-01T00:00:00-07:00,1000.5 kWh
2017-03-02T00:00:00-07:00,977.5 kWh
2017-03-03T00:00:00-07:00,956.75 kWh
2017-03-04T00:00:00-07:00,813.5 kWh
2017-03-05T00:00:00-07:00,787 kWh
2017-03-06T00:00:00-07:00,1034.5 kWh
2017-03-07T00:00:00-07:00,1029 kWh
2017-03-08T00:00:00-07:00,1052 kWh
2017-03-09T00:00:00-07:00,1024.75 kWh
2017-03-10T00:00:00-07:00,981.25 kWh
2017-03-11T00:00:00-07:00,819.25 kWh
2017-03-12T00:00:00-07:00,765.25 kWh
2017-03-13T00:00:00-06:00,914.5 kWh
2017-03-14T00:00:00-06:00,930.5 kWh
2017-03-15T00:00:00-06:00,893.75 kWh
2017-03-16T00:00:00-06:00,753.75 kWh
2017-03-17T00:00:00-06:00,796.75 kWh
2017-03-18T00:00:00-06:00,597 kWh
2017-03-19T00:00:00-06:00,636 kWh
2017-03-20T00:00:00-06:00,776.5 kWh
2017-03-21T00:00:00-06:00,785.75 kWh
2017-03-22T00:00:00-06:00,838.25 kWh
2017-03-23T00:00:00-06:00,882.5 kWh
2017-03-24T00:00:00-06:00,778 kWh
2017-03-25T00:00:00-06:00,644.5 kWh
2017-03-26T00:00:00-06:00,612.25 kWh
2017-03-27T00:00:00-06:00,848.5 kWh
2017-03-28T00:00:00-06:00,835.25 kWh
2017-03-29T00:00:00-06:00,1286 kWh
2017-03-30T00:00:00-06:00,444 kWh
2017-03-31T00:00:00-06:00,788.5 kWh
2017-04-01T00:00:00-06:00,601.75 kWh
2017-04-02T00:00:00-06:00,617 kWh
2017-04-03T00:00:00-06:00,843 kWh
2017-04-04T00:00:00-06:00,839.75 kWh
2017-04-05T00:00:00-06:00,817.75 kWh
2017-04-06T00:00:00-06:00,801.75 kWh
2017-04-07T00:00:00-06:00,747.25 kWh
2017-04-08T00:00:00-06:00,722.25 kWh
2017-04-09T00:00:00-06:00,709.75 kWh
2017-04-10T00:00:00-06:00,804.5 kWh
2017-04-11T00:00:00-06:00,793 kWh
2017-04-12T00:00:00-06:00,776.75 kWh
2017-04-13T00:00:00-06:00,777.75 kWh
2017-04-14T00:00:00-06:00,771.5 kWh
2017-04-15T00:00:00-06:00,650.75 kWh
2017-04-16T00:00:00-06:00,630.75 kWh
2017-04-17T00:00:00-06:00,801.25 kWh
2017-04-18T00:00:00-06:00,812.75 kWh
2017-04-19T00:00:00-06:00,847 kWh
2017-04-20T00:00:00-06:00,824 kWh
2017-04-21T00:00:00-06:00,792.25 kWh
2017-04-22T00:00:00-06:00,634.75 kWh
2017-04-23T00:00:00-06:00,668.5 kWh
2017-04-24T00:00:00-06:00,927.25 kWh
2017-04-25T00:00:00-06:00,937.75 kWh
2017-04-26T00:00:00-06:00,877.5 kWh
2017-04-27T00:00:00-06:00,862 kWh
2017-04-28T00:00:00-06:00,848 kWh
2017-04-29T00:00:00-06:00,674.5 kWh
2017-04-30T00:00:00-06:00,656.25 kWh
2017-05-01T00:00:00-06:00,854.25 kWh
2017-05-02T00:00:00-06:00,883.5 kWh
2017-05-03T00:00:00-06:00,877.75 kWh
2017-05-04T00:00:00-06:00,851.25 kWh
2017-05-05T00:00:00-06:00,757 kWh
2017-05-06T00:00:00-06:00,638 kWh
2017-05-07T00:00:00-06:00,684.75 kWh
2017-05-08T00:00:00-06:00,793.5 kWh
2017-05-09T00:00:00-06:00,825.25 kWh
2017-05-10T00:00:00-06:00,862 kWh
2017-05-11T00:00:00-06:00,866.25 kWh
2017-05-12T00:00:00-06:00,843.75 kWh
2017-05-13T00:00:00-06:00,584.75 kWh
2017-05-14T00:00:00-06:00,525.5 kWh
2017-05-15T00:00:00-06:00,637 kWh
2017-05-16T00:00:00-06:00,666.75 kWh
2017-05-17T00:00:00-06:00,676.75 kWh
2017-05-18T00:00:00-06:00,630 kWh
2017-05-19T00:00:00-06:00,574.75 kWh
2017-05-20T00:00:00-06:00,480.75 kWh
2017-05-21T00:00:00-06:00,507.75 kWh
2017-05-22T00:00:00-06:00,653.75 kWh
2017-05-23T00:00:00-06:00,705.5 kWh
2017-05-24T00:00:00-06:00,700.5 kWh
2017-05-25T00:00:00-06:00,674.25 kWh
2017-05-26T00:00:00-06:00,667.5 kWh
2017-05-27T00:00:00-06:00,585.5 kWh
2017-05-28T00:00:00-06:00,575.25 kWh
2017-05-29T00:00:00-06:00,547 kWh
2017-05-30T00:00:00-06:00,684 kWh
2017-05-31T00:00:00-06:00,716.25 kWh
2017-06-01T00:00:00-06:00,696 kWh
2017-06-02T00:00:00-06:00,667.25 kWh
2017-06-03T00:00:00-06:00,534.75 kWh
2017-06-04T00:00:00-06:00,521.75 kWh
2017-06-05T00:00:00-06:00,665 kWh
2017-06-06T00:00:00-06:00,694.75 kWh
2017-06-07T00:00:00-06:00,684.25 kWh
2017-06-08T00:00:00-06:00,697.75 kWh
2017-06-09T00:00:00-06:00,670.75 kWh
2017-06-10T00:00:00-06:00,533.75 kWh
2017-06-11T00:00:00-06:00,512.75 kWh
2017-06-12T00:00:00-06:00,643.75 kWh
2017-06-13T00:00:00-06:00,660.5 kWh
2017-06-14T00:00:00-06:00,689.5 kWh
2017-06-15T00:00:00-06:00,698.75 kWh
2017-06-16T00:00:00-06:00,676.5 kWh
2017-06-17T00:00:00-06:00,538.5 kWh
2017-06-18T00:00:00-06:00,532.25 kWh
2017-06-19T00:00:00-06:00,685 kWh
2017-06-20T00:00:00-06:00,692.75 kWh
2017-06-21T00:00:00-06:00,686 kWh
2017-06-22T00:00:00-06:00,694.25 kWh
2017-06-23T00:00:00-06:00,644 kWh
2017-06-24T00:00:00-06:00,520.75 kWh
2017-06-25T00:00:00-06:00,522.5 kWh
2017-06-26T00:00:00-06:00,690.5 kWh
2017-06-27T00:00:00-06:00,698.25 kWh
2017-06-28T00:00:00-06:00,668 kWh
2017-06-29T00:00:00-06:00,672.75 kWh
2017-06-30T00:00:00-06:00,635.25 kWh
2017-07-01T00:00:00-06:00,510 kWh
2017-07-02T00:00:00-06:00,512.25 kWh
2017-07-03T00:00:00-06:00,630.25 kWh
2017-07-04T00:00:00-06:00,504 kWh
2017-07-05T00:00:00-06:00,653.5 kWh
2017-07-06T00:00:00-06:00,678.5 kWh
2017-07-07T00:00:00-06:00,676 kWh
2017-07-08T00:00:00-06:00,583.5 kWh
2017-07-09T00:00:00-06:00,571.25 kWh
2017-07-10T00:00:00-06:00,681.75 kWh
2017-07-11T00:00:00-06:00,704.25 kWh
2017-07-12T00:00:00-06:00,695.5 kWh
2017-07-13T00:00:00-06:00,709.25 kWh
2017-07-14T00:00:00-06:00,687.5 kWh
2017-07-15T00:00:00-06:00,595.5 kWh
2017-07-16T00:00:00-06:00,573.25 kWh
2017-07-17T00:00:00-06:00,691.75 kWh
2017-07-18T00:00:00-06:00,712.75 kWh
2017-07-19T00:00:00-06:00,697.25 kWh
2017-07-20T00:00:00-06:00,698.25 kWh
2017-07-21T00:00:00-06:00,693.75 kWh
2017-07-22T00:00:00-06:00,554.5 kWh
2017-07-23T00:00:00-06:00,538.25 kWh
2017-07-24T00:00:00-06:00,543.25 kWh
2017-07-25T00:00:00-06:00,705 kWh
2017-07-26T00:00:00-06:00,691.25 kWh
2017-07-27T00:00:00-06:00,712.75 kWh
2017-07-28T00:00:00-06:00,672 kWh
2017-07-29T00:00:00-06:00,543.75 kWh
2017-07-30T00:00:00-06:00,541.25 kWh
2017-07-31T00:00:00-06:00,671 kWh
2017-08-01T00:00:00-06:00,694 kWh
2017-08-02T00:00:00-06:00,682.5 kWh
2017-08-03T00:00:00-06:00,682.5 kWh
2017-08-04T00:00:00-06:00,693.5 kWh
2017-08-05T00:00:00-06:00,534.75 kWh
2017-08-06T00:00:00-06:00,521.25 kWh
2017-08-07T00:00:00-06:00,673 kWh
2017-08-08T00:00:00-06:00,687.5 kWh
2017-08-09T00:00:00-06:00,640.75 kWh
2017-08-10T00:00:00-06:00,647 kWh
2017-08-11T00:00:00-06:00,636.25 kWh
2017-08-12T00:00:00-06:00,530.5 kWh
2017-08-13T00:00:00-06:00,525 kWh
2017-08-14T00:00:00-06:00,668.25 kWh
2017-08-15T00:00:00-06:00,675.75 kWh
2017-08-16T00:00:00-06:00,660.25 kWh
2017-08-17T00:00:00-06:00,680.75 kWh
2017-08-18T00:00:00-06:00,659 kWh
2017-08-19T00:00:00-06:00,562.5 kWh
2017-08-20T00:00:00-06:00,570.25 kWh
2017-08-21T00:00:00-06:00,735.75 kWh
2017-08-22T00:00:00-06:00,775.75 kWh
2017-08-23T00:00:00-06:00,789.75 kWh
2017-08-24T00:00:00-06:00,750.25 kWh
2017-08-25T00:00:00-06:00,733.5 kWh
2017-08-26T00:00:00-06:00,612.25 kWh
2017-08-27T00:00:00-06:00,603.5 kWh
2017-08-28T00:00:00-06:00,776.25 kWh
2017-08-29T00:00:00-06:00,782.5 kWh
2017-08-30T00:00:00-06:00,831.25 kWh
2017-08-31T00:00:00-06:00,787.25 kWh
2017-09-01T00:00:00-06:00,766.5 kWh
2017-09-02T00:00:00-06:00,646.25 kWh
2017-09-03T00:00:00-06:00,642.25 kWh
2017-09-04T00:00:00-06:00,644.25 kWh
2017-09-05T00:00:00-06:00,792.75 kWh
2017-09-06T00:00:00-06:00,803.75 kWh
2017-09-07T00:00:00-06:00,775.25 kWh
2017-09-08T00:00:00-06:00,752.75 kWh
2017-09-09T00:00:00-06:00,581.75 kWh
2017-09-10T00:00:00-06:00,584.25 kWh
2017-09-11T00:00:00-06:00,784.75 kWh
2017-09-12T00:00:00-06:00,789.5 kWh
2017-09-13T00:00:00-06:00,784.25 kWh
2017-09-14T00:00:00-06:00,739 kWh
2017-09-15T00:00:00-06:00,712.5 kWh
2017-09-16T00:00:00-06:00,587.25 kWh
2017-09-17T00:00:00-06:00,599.25 kWh
2017-09-18T00:00:00-06:00,782.5 kWh
2017-09-19T00:00:00-06:00,833.25 kWh
2017-09-20T00:00:00-06:00,874 kWh
2017-09-21T00:00:00-06:00,829.5 kWh
2017-09-22T00:00:00-06:00,1011.25 kWh
2017-09-23T00:00:00-06:00,722.5 kWh
2017-09-24T00:00:00-06:00,655.75 kWh
2017-09-25T00:00:00-06:00,809 kWh
2017-09-26T00:00:00-06:00,807.75 kWh
2017-09-27T00:00:00-06:00,826.25 kWh
2017-09-28T00:00:00-06:00,743.75 kWh
2017-09-29T00:00:00-06:00,713.5 kWh
2017-09-30T00:00:00-06:00,591.75 kWh
2017-10-01T00:00:00-06:00,517 kWh
2017-10-02T00:00:00-06:00,668.25 kWh
2017-10-03T00:00:00-06:00,682.5 kWh
2017-10-04T00:00:00-06:00,727.75 kWh
2017-10-05T00:00:00-06:00,667.5 kWh
2017-10-06T00:00:00-06:00,680.25 kWh
2017-10-07T00:00:00-06:00,601.75 kWh
2017-10-08T00:00:00-06:00,576.75 kWh
2017-10-09T00:00:00-06:00,612.75 kWh
2017-10-10T00:00:00-06:00,609 kWh
2017-10-11T00:00:00-06:00,595.75 kWh
2017-10-12T00:00:00-06:00,624.75 kWh
2017-10-13T00:00:00-06:00,577 kWh
2017-10-14T00:00:00-06:00,485.5 kWh
2017-10-15T00:00:00-06:00,490.25 kWh
2017-10-16T00:00:00-06:00,707.5 kWh
2017-10-17T00:00:00-06:00,718.25 kWh
2017-10-18T00:00:00-06:00,752.25 kWh
2017-10-19T00:00:00-06:00,721.75 kWh
2017-10-20T00:00:00-06:00,707.25 kWh
2017-10-21T00:00:00-06:00,480.5 kWh
2017-10-22T00:00:00-06:00,531.25 kWh
2017-10-23T00:00:00-06:00,758.5 kWh
2017-10-24T00:00:00-06:00,745.25 kWh
2017-10-25T00:00:00-06:00,730.25 kWh
2017-10-26T00:00:00-06:00,703.75 kWh
2017-10-27T00:00:00-06:00,698 kWh
2017-10-28T00:00:00-06:00,550 kWh
2017-10-29T00:00:00-06:00,586.75 kWh
2017-10-30T00:00:00-06:00,765.75 kWh
2017-10-31T00:00:00-06:00,688.5 kWh
2017-11-01T00:00:00-06:00,743.75 kWh
2017-11-02T00:00:00-06:00,753.75 kWh
2017-11-03T00:00:00-06:00,772.25 kWh
2017-11-04T00:00:00-06:00,568.5 kWh
2017-11-05T00:00:00-06:00,541.75 kWh
2017-11-06T00:00:00-07:00,715.5 kWh
2017-11-07T00:00:00-07:00,750 kWh
2017-11-08T00:00:00-07:00,770.5 kWh
2017-11-09T00:00:00-07:00,815.5 kWh
2017-11-10T00:00:00-07:00,781.25 kWh
2017-11-11T00:00:00-07:00,709.25 kWh
2017-11-12T00:00:00-07:00,710.25 kWh
2017-11-13T00:00:00-07:00,832 kWh
2017-11-14T00:00:00-07:00,800 kWh
2017-11-15T00:00:00-07:00,810 kWh
2017-11-16T00:00:00-07:00,832.75 kWh
2017-11-17T00:00:00-07:00,788 kWh
2017-11-18T00:00:00-07:00,552.5 kWh
2017-11-19T00:00:00-07:00,573.75 kWh
2017-11-20T00:00:00-07:00,743.5 kWh
2017-11-21T00:00:00-07:00,772 kWh
2017-11-22T00:00:00-07:00,750.5 kWh
2017-11-23T00:00:00-07:00,568.75 kWh
2017-11-24T00:00:00-07:00,582.25 kWh
2017-11-25T00:00:00-07:00,547.5 kWh
2017-11-26T00:00:00-07:00,567.25 kWh
2017-11-27T00:00:00-07:00,838.75 kWh
2017-11-28T00:00:00-07:00,764.5 kWh
2017-11-29T00:00:00-07:00,743 kWh
2017-11-30T00:00:00-07:00,747.5 kWh
2017-12-01T00:00:00-07:00,701.25 kWh
2017-12-02T00:00:00-07:00,550.5 kWh
2017-12-03T00:00:00-07:00,569.75 kWh
2017-12-04T00:00:00-07:00,761.25 kWh
2017-12-05T00:00:00-07:00,757 kWh
2017-12-06T00:00:00-07:00,765 kWh
2017-12-07T00:00:00-07:00,757.25 kWh
2017-12-08T00:00:00-07:00,715.25 kWh
2017-12-09T00:00:00-07:00,573.75 kWh
2017-12-10T00:00:00-07:00,565.75 kWh
2017-12-11T00:00:00-07:00,687.75 kWh
2017-12-12T00:00:00-07:00,698.75 kWh
2017-12-13T00:00:00-07:00,736 kWh
2017-12-14T00:00:00-07:00,705 kWh
2017-12-15T00:00:00-07:00,658 kWh
2017-12-16T00:00:00-07:00,541.75 kWh
2017-12-17T00:00:00-07:00,541.75 kWh
2017-12-18T00:00:00-07:00,643.75 kWh
2017-12-19T00:00:00-07:00,633.75 kWh
2017-12-20T00:00:00-07:00,635.25 kWh
2017-12-21T00:00:00-07:00,646.5 kWh
2017-12-22T00:00:00-07:00,632.25 kWh
2017-12-23T00:00:00-07:00,601.25 kWh
2017-12-24T00:00:00-07:00,585.5 kWh
2017-12-25T00:00:00-07:00,585 kWh
2017-12-26T00:00:00-07:00,554.5 kWh
2017-12-27T00:00:00-07:00,616.25 kWh
2017-12-28T00:00:00-07:00,612 kWh
2017-12-29T00:00:00-07:00,598 kWh
2017-12-30T00:00:00-07:00,579.75 kWh
2017-12-31T00:00:00-07:00,552.25 kWh
