Timestamp,['1cac619c-4b576858 0009-WIDTSOE BLDG Power Meter 1(300028) KWH Received']
2017-02-19T00:00:00-07:00,727.625 kWh
2017-02-20T00:00:00-07:00,762.375 kWh
2017-02-21T00:00:00-07:00,902.6875 kWh
2017-02-22T00:00:00-07:00,918.875 kWh
2017-02-23T00:00:00-07:00,824.90625 kWh
2017-02-24T00:00:00-07:00,288656.90625 kWh
2017-02-25T00:00:00-07:00,650.3125 kWh
2017-02-26T00:00:00-07:00,658.34375 kWh
2017-02-27T00:00:00-07:00,760.125 kWh
2017-02-28T00:00:00-07:00,709.34375 kWh
2017-03-01T00:00:00-07:00,734.8125 kWh
2017-03-02T00:00:00-07:00,743.40625 kWh
2017-03-03T00:00:00-07:00,769.21875 kWh
2017-03-04T00:00:00-07:00,660.09375 kWh
2017-03-05T00:00:00-07:00,624.8125 kWh
2017-03-06T00:00:00-07:00,717 kWh
2017-03-07T00:00:00-07:00,716.8125 kWh
2017-03-08T00:00:00-07:00,760.5625 kWh
2017-03-09T00:00:00-07:00,791.25 kWh
2017-03-10T00:00:00-07:00,826.65625 kWh
2017-03-11T00:00:00-07:00,626.03125 kWh
2017-03-12T00:00:00-07:00,604.625 kWh
2017-03-13T00:00:00-06:00,775.78125 kWh
2017-03-14T00:00:00-06:00,937.84375 kWh
2017-03-15T00:00:00-06:00,1067.28125 kWh
2017-03-16T00:00:00-06:00,979.4375 kWh
2017-03-17T00:00:00-06:00,995.96875 kWh
2017-03-18T00:00:00-06:00,1100.4375 kWh
2017-03-19T00:00:00-06:00,986.5625 kWh
2017-03-20T00:00:00-06:00,1161.375 kWh
2017-03-21T00:00:00-06:00,1276.15625 kWh
2017-03-22T00:00:00-06:00,800.65625 kWh
2017-03-23T00:00:00-06:00,754.96875 kWh
2017-03-24T00:00:00-06:00,738.90625 kWh
2017-03-25T00:00:00-06:00,596.6875 kWh
2017-03-26T00:00:00-06:00,636.34375 kWh
2017-03-27T00:00:00-06:00,737.25 kWh
2017-03-28T00:00:00-06:00,734.03125 kWh
2017-03-29T00:00:00-06:00,1138.84375 kWh
2017-03-30T00:00:00-06:00,346.75 kWh
2017-03-31T00:00:00-06:00,724.8125 kWh
2017-04-01T00:00:00-06:00,631.15625 kWh
2017-04-02T00:00:00-06:00,598.625 kWh
2017-04-03T00:00:00-06:00,733.375 kWh
2017-04-04T00:00:00-06:00,728.125 kWh
2017-04-05T00:00:00-06:00,765.34375 kWh
2017-04-06T00:00:00-06:00,1120.78125 kWh
2017-04-07T00:00:00-06:00,1303.5625 kWh
2017-04-08T00:00:00-06:00,612.84375 kWh
2017-04-09T00:00:00-06:00,628.125 kWh
2017-04-10T00:00:00-06:00,731.75 kWh
2017-04-11T00:00:00-06:00,757.75 kWh
2017-04-12T00:00:00-06:00,1183.9375 kWh
2017-04-13T00:00:00-06:00,1119.84375 kWh
2017-04-14T00:00:00-06:00,736.34375 kWh
2017-04-15T00:00:00-06:00,604.5625 kWh
2017-04-16T00:00:00-06:00,865 kWh
2017-04-17T00:00:00-06:00,1014.65625 kWh
2017-04-18T00:00:00-06:00,829.84375 kWh
2017-04-19T00:00:00-06:00,870.96875 kWh
2017-04-20T00:00:00-06:00,843.84375 kWh
2017-04-21T00:00:00-06:00,788.15625 kWh
2017-04-22T00:00:00-06:00,712.8125 kWh
2017-04-23T00:00:00-06:00,867.15625 kWh
2017-04-24T00:00:00-06:00,816.40625 kWh
2017-04-25T00:00:00-06:00,798.71875 kWh
2017-04-26T00:00:00-06:00,780.59375 kWh
2017-04-27T00:00:00-06:00,766.8125 kWh
2017-04-28T00:00:00-06:00,779.90625 kWh
2017-04-29T00:00:00-06:00,686.28125 kWh
2017-04-30T00:00:00-06:00,695.75 kWh
2017-05-01T00:00:00-06:00,846.5 kWh
2017-05-02T00:00:00-06:00,865.75 kWh
2017-05-03T00:00:00-06:00,1027.46875 kWh
2017-05-04T00:00:00-06:00,960.53125 kWh
2017-05-05T00:00:00-06:00,1682.59375 kWh
2017-05-06T00:00:00-06:00,1600.9375 kWh
2017-05-07T00:00:00-06:00,1387.875 kWh
2017-05-08T00:00:00-06:00,1038.53125 kWh
2017-05-09T00:00:00-06:00,1131.59375 kWh
2017-05-10T00:00:00-06:00,1214.4375 kWh
2017-05-11T00:00:00-06:00,1362.875 kWh
2017-05-12T00:00:00-06:00,1524.90625 kWh
2017-05-13T00:00:00-06:00,450.1875 kWh
2017-05-14T00:00:00-06:00,867.6875 kWh
2017-05-15T00:00:00-06:00,819.5625 kWh
2017-05-16T00:00:00-06:00,576.15625 kWh
2017-05-17T00:00:00-06:00,580.9375 kWh
2017-05-18T00:00:00-06:00,548 kWh
2017-05-19T00:00:00-06:00,559.15625 kWh
2017-05-20T00:00:00-06:00,965.4375 kWh
2017-05-21T00:00:00-06:00,796.9375 kWh
2017-05-22T00:00:00-06:00,1058.28125 kWh
2017-05-23T00:00:00-06:00,1289.8125 kWh
2017-05-24T00:00:00-06:00,1499.09375 kWh
2017-05-25T00:00:00-06:00,1041.625 kWh
2017-05-26T00:00:00-06:00,771.3125 kWh
2017-05-27T00:00:00-06:00,954.90625 kWh
2017-05-28T00:00:00-06:00,1162.0625 kWh
2017-05-29T00:00:00-06:00,1453.84375 kWh
2017-05-30T00:00:00-06:00,1802.25 kWh
2017-05-31T00:00:00-06:00,1949.8125 kWh
2017-06-01T00:00:00-06:00,1591.03125 kWh
2017-06-02T00:00:00-06:00,1463.40625 kWh
2017-06-03T00:00:00-06:00,1222.5 kWh
2017-06-04T00:00:00-06:00,1277.8125 kWh
2017-06-05T00:00:00-06:00,1658.71875 kWh
2017-06-06T00:00:00-06:00,1704.21875 kWh
2017-06-07T00:00:00-06:00,1947.1875 kWh
2017-06-08T00:00:00-06:00,1685.90625 kWh
2017-06-09T00:00:00-06:00,1485.53125 kWh
2017-06-10T00:00:00-06:00,1260.9375 kWh
2017-06-11T00:00:00-06:00,1266.03125 kWh
2017-06-12T00:00:00-06:00,1203.375 kWh
2017-06-13T00:00:00-06:00,855.90625 kWh
2017-06-14T00:00:00-06:00,1384.3125 kWh
2017-06-15T00:00:00-06:00,1899.90625 kWh
2017-06-16T00:00:00-06:00,1691.90625 kWh
2017-06-17T00:00:00-06:00,1323.71875 kWh
2017-06-18T00:00:00-06:00,1250.46875 kWh
2017-06-19T00:00:00-06:00,2048.34375 kWh
2017-06-20T00:00:00-06:00,2277.65625 kWh
2017-06-21T00:00:00-06:00,1712.5625 kWh
2017-06-22T00:00:00-06:00,1652.84375 kWh
2017-06-23T00:00:00-06:00,1540.4375 kWh
2017-06-24T00:00:00-06:00,1230.59375 kWh
2017-06-25T00:00:00-06:00,1256.375 kWh
2017-06-26T00:00:00-06:00,1478.40625 kWh
2017-06-27T00:00:00-06:00,1749.59375 kWh
2017-06-28T00:00:00-06:00,1723.28125 kWh
2017-06-29T00:00:00-06:00,1619.15625 kWh
2017-06-30T00:00:00-06:00,1546.25 kWh
2017-07-01T00:00:00-06:00,1485.03125 kWh
2017-07-02T00:00:00-06:00,1533.875 kWh
2017-07-03T00:00:00-06:00,1663.21875 kWh
2017-07-04T00:00:00-06:00,1637.875 kWh
2017-07-05T00:00:00-06:00,1844.40625 kWh
2017-07-06T00:00:00-06:00,1747.1875 kWh
2017-07-07T00:00:00-06:00,1827.46875 kWh
2017-07-08T00:00:00-06:00,2023.46875 kWh
2017-07-09T00:00:00-06:00,2065.5625 kWh
2017-07-10T00:00:00-06:00,2158.96875 kWh
2017-07-11T00:00:00-06:00,1675.5 kWh
2017-07-12T00:00:00-06:00,1666.75 kWh
2017-07-13T00:00:00-06:00,1675.875 kWh
2017-07-14T00:00:00-06:00,1800.15625 kWh
2017-07-15T00:00:00-06:00,1340.34375 kWh
2017-07-16T00:00:00-06:00,1532.875 kWh
2017-07-17T00:00:00-06:00,1824.1875 kWh
2017-07-18T00:00:00-06:00,1833.90625 kWh
2017-07-19T00:00:00-06:00,1746.0625 kWh
2017-07-20T00:00:00-06:00,1683.4375 kWh
2017-07-21T00:00:00-06:00,1680.25 kWh
2017-07-22T00:00:00-06:00,1331 kWh
2017-07-23T00:00:00-06:00,1350.0625 kWh
2017-07-24T00:00:00-06:00,1779.9375 kWh
2017-07-25T00:00:00-06:00,1620.5625 kWh
2017-07-26T00:00:00-06:00,1605.71875 kWh
2017-07-27T00:00:00-06:00,1575.03125 kWh
2017-07-28T00:00:00-06:00,1516.0625 kWh
2017-07-29T00:00:00-06:00,1291.28125 kWh
2017-07-30T00:00:00-06:00,1306.53125 kWh
2017-07-31T00:00:00-06:00,1781.125 kWh
2017-08-01T00:00:00-06:00,1770.09375 kWh
2017-08-02T00:00:00-06:00,1735.375 kWh
2017-08-03T00:00:00-06:00,1676.25 kWh
2017-08-04T00:00:00-06:00,1674.40625 kWh
2017-08-05T00:00:00-06:00,1330.4375 kWh
2017-08-06T00:00:00-06:00,1282.375 kWh
2017-08-07T00:00:00-06:00,1660.34375 kWh
2017-08-08T00:00:00-06:00,1700.53125 kWh
2017-08-09T00:00:00-06:00,2011.6875 kWh
2017-08-10T00:00:00-06:00,2289.15625 kWh
2017-08-11T00:00:00-06:00,2374.5 kWh
2017-08-12T00:00:00-06:00,1971.8125 kWh
2017-08-13T00:00:00-06:00,1993.625 kWh
2017-08-14T00:00:00-06:00,2304.46875 kWh
2017-08-15T00:00:00-06:00,2060.78125 kWh
2017-08-16T00:00:00-06:00,2102.5 kWh
2017-08-17T00:00:00-06:00,2186.09375 kWh
2017-08-18T00:00:00-06:00,1732.375 kWh
2017-08-19T00:00:00-06:00,1560.28125 kWh
2017-08-20T00:00:00-06:00,1573.6875 kWh
2017-08-21T00:00:00-06:00,2057.34375 kWh
2017-08-22T00:00:00-06:00,1897.15625 kWh
2017-08-23T00:00:00-06:00,2051.75 kWh
2017-08-24T00:00:00-06:00,1956.125 kWh
2017-08-25T00:00:00-06:00,2119.6875 kWh
2017-08-26T00:00:00-06:00,1670.4375 kWh
2017-08-27T00:00:00-06:00,1658.21875 kWh
2017-08-28T00:00:00-06:00,2259.46875 kWh
2017-08-29T00:00:00-06:00,1977.1875 kWh
2017-08-30T00:00:00-06:00,1808.125 kWh
2017-08-31T00:00:00-06:00,1658.3125 kWh
2017-09-01T00:00:00-06:00,1422.0625 kWh
2017-09-02T00:00:00-06:00,1233.5625 kWh
2017-09-03T00:00:00-06:00,1268.875 kWh
2017-09-04T00:00:00-06:00,1341.9375 kWh
2017-09-05T00:00:00-06:00,1509.875 kWh
2017-09-06T00:00:00-06:00,1474.8125 kWh
2017-09-07T00:00:00-06:00,1718.75 kWh
2017-09-08T00:00:00-06:00,1798.75 kWh
2017-09-09T00:00:00-06:00,1434 kWh
2017-09-10T00:00:00-06:00,1862.25 kWh
2017-09-11T00:00:00-06:00,2205.125 kWh
2017-09-12T00:00:00-06:00,2142.75 kWh
2017-09-13T00:00:00-06:00,2099.1875 kWh
2017-09-14T00:00:00-06:00,1829.0625 kWh
2017-09-15T00:00:00-06:00,651.1875 kWh
2017-09-16T00:00:00-06:00,662.6875 kWh
2017-09-17T00:00:00-06:00,929.4375 kWh
2017-09-18T00:00:00-06:00,1595.9375 kWh
2017-09-19T00:00:00-06:00,603.8125 kWh
2017-09-20T00:00:00-06:00,1264.8125 kWh
2017-09-21T00:00:00-06:00,570.0625 kWh
2017-09-22T00:00:00-06:00,524.125 kWh
2017-09-23T00:00:00-06:00,347 kWh
2017-09-24T00:00:00-06:00,332.0625 kWh
2017-09-25T00:00:00-06:00,548.1875 kWh
2017-09-26T00:00:00-06:00,564.625 kWh
2017-09-27T00:00:00-06:00,943.9375 kWh
2017-09-28T00:00:00-06:00,838.625 kWh
2017-09-29T00:00:00-06:00,1187.875 kWh
2017-09-30T00:00:00-06:00,684.625 kWh
2017-10-01T00:00:00-06:00,356.6875 kWh
2017-10-02T00:00:00-06:00,536.125 kWh
2017-10-03T00:00:00-06:00,515.8125 kWh
2017-10-04T00:00:00-06:00,572.125 kWh
2017-10-05T00:00:00-06:00,573.6875 kWh
2017-10-06T00:00:00-06:00,553.8125 kWh
2017-10-07T00:00:00-06:00,844.125 kWh
2017-10-08T00:00:00-06:00,360.25 kWh
2017-10-09T00:00:00-06:00,469.75 kWh
2017-10-10T00:00:00-06:00,475.625 kWh
2017-10-11T00:00:00-06:00,957.3125 kWh
2017-10-12T00:00:00-06:00,479.5625 kWh
2017-10-13T00:00:00-06:00,461.25 kWh
2017-10-14T00:00:00-06:00,344.5625 kWh
2017-10-15T00:00:00-06:00,339.3125 kWh
2017-10-16T00:00:00-06:00,552.9375 kWh
2017-10-17T00:00:00-06:00,689.5625 kWh
2017-10-18T00:00:00-06:00,773.4375 kWh
2017-10-19T00:00:00-06:00,1179.1875 kWh
2017-10-20T00:00:00-06:00,798.125 kWh
2017-10-21T00:00:00-06:00,355.9375 kWh
2017-10-22T00:00:00-06:00,642.625 kWh
2017-10-23T00:00:00-06:00,551.625 kWh
2017-10-24T00:00:00-06:00,546.1875 kWh
2017-10-25T00:00:00-06:00,695.0625 kWh
2017-10-26T00:00:00-06:00,602.8125 kWh
2017-10-27T00:00:00-06:00,555.1875 kWh
2017-10-28T00:00:00-06:00,385.3125 kWh
2017-10-29T00:00:00-06:00,642.6875 kWh
2017-10-30T00:00:00-06:00,561.9375 kWh
2017-10-31T00:00:00-06:00,471.25 kWh
2017-11-01T00:00:00-06:00,887.5 kWh
2017-11-02T00:00:00-06:00,1013.75 kWh
2017-11-03T00:00:00-06:00,617.75 kWh
2017-11-04T00:00:00-06:00,357 kWh
2017-11-05T00:00:00-06:00,356.0625 kWh
2017-11-06T00:00:00-07:00,531.625 kWh
2017-11-07T00:00:00-07:00,485.875 kWh
2017-11-08T00:00:00-07:00,510.4375 kWh
2017-11-09T00:00:00-07:00,509.5 kWh
2017-11-10T00:00:00-07:00,480.9375 kWh
2017-11-11T00:00:00-07:00,344.3125 kWh
2017-11-12T00:00:00-07:00,330.1875 kWh
2017-11-13T00:00:00-07:00,499.3125 kWh
2017-11-14T00:00:00-07:00,505.3125 kWh
2017-11-15T00:00:00-07:00,537.6875 kWh
2017-11-16T00:00:00-07:00,555.6875 kWh
2017-11-17T00:00:00-07:00,526.875 kWh
2017-11-18T00:00:00-07:00,396.3125 kWh
2017-11-19T00:00:00-07:00,377.0625 kWh
2017-11-20T00:00:00-07:00,529.75 kWh
2017-11-21T00:00:00-07:00,520.875 kWh
2017-11-22T00:00:00-07:00,575.875 kWh
2017-11-23T00:00:00-07:00,585.6875 kWh
2017-11-24T00:00:00-07:00,428.625 kWh
2017-11-25T00:00:00-07:00,345.6875 kWh
2017-11-26T00:00:00-07:00,696.25 kWh
2017-11-27T00:00:00-07:00,893.375 kWh
2017-11-28T00:00:00-07:00,508.9375 kWh
2017-11-29T00:00:00-07:00,524.5 kWh
2017-11-30T00:00:00-07:00,521.125 kWh
2017-12-01T00:00:00-07:00,505.625 kWh
2017-12-02T00:00:00-07:00,343.875 kWh
2017-12-03T00:00:00-07:00,349.3125 kWh
2017-12-04T00:00:00-07:00,520.6875 kWh
2017-12-05T00:00:00-07:00,530.375 kWh
2017-12-06T00:00:00-07:00,523.25 kWh
2017-12-07T00:00:00-07:00,502.3125 kWh
2017-12-08T00:00:00-07:00,468.0625 kWh
2017-12-09T00:00:00-07:00,324.875 kWh
2017-12-10T00:00:00-07:00,332.25 kWh
2017-12-11T00:00:00-07:00,518.125 kWh
2017-12-12T00:00:00-07:00,520.625 kWh
2017-12-13T00:00:00-07:00,610.625 kWh
2017-12-14T00:00:00-07:00,633.25 kWh
2017-12-15T00:00:00-07:00,683.0625 kWh
2017-12-16T00:00:00-07:00,569.75 kWh
2017-12-17T00:00:00-07:00,591.625 kWh
2017-12-18T00:00:00-07:00,625.4375 kWh
2017-12-19T00:00:00-07:00,622.6875 kWh
2017-12-20T00:00:00-07:00,619.3125 kWh
2017-12-21T00:00:00-07:00,592 kWh
2017-12-22T00:00:00-07:00,532.125 kWh
2017-12-23T00:00:00-07:00,536.1875 kWh
2017-12-24T00:00:00-07:00,518.125 kWh
2017-12-25T00:00:00-07:00,517.9375 kWh
2017-12-26T00:00:00-07:00,546.875 kWh
2017-12-27T00:00:00-07:00,554.25 kWh
2017-12-28T00:00:00-07:00,558.75 kWh
2017-12-29T00:00:00-07:00,549.3125 kWh
2017-12-30T00:00:00-07:00,561.625 kWh
2017-12-31T00:00:00-07:00,530.9375 kWh
