Timestamp,['1cac6e3b-e8a7ca9a 0011-BROWNING BLDG Power Meter 311945 Kwh Received']
2017-02-17T00:00:00-07:00,1530.59375 kWh
2017-02-18T00:00:00-07:00,1245.1875 kWh
2017-02-19T00:00:00-07:00,1226.40625 kWh
2017-02-20T00:00:00-07:00,1276.78125 kWh
2017-02-21T00:00:00-07:00,1455.28125 kWh
2017-02-22T00:00:00-07:00,1410.65625 kWh
2017-02-23T00:00:00-07:00,1453.21875 kWh
2017-02-24T00:00:00-07:00,458988.65625 kWh
2017-02-25T00:00:00-07:00,1372.90625 kWh
2017-02-26T00:00:00-07:00,1338.3125 kWh
2017-02-27T00:00:00-07:00,1360.15625 kWh
2017-02-28T00:00:00-07:00,1404.46875 kWh
2017-03-01T00:00:00-07:00,1528.25 kWh
2017-03-02T00:00:00-07:00,1401.78125 kWh
2017-03-03T00:00:00-07:00,1361.40625 kWh
2017-03-04T00:00:00-07:00,1109.34375 kWh
2017-03-05T00:00:00-07:00,1134.90625 kWh
2017-03-06T00:00:00-07:00,1311.9375 kWh
2017-03-07T00:00:00-07:00,1333.65625 kWh
2017-03-08T00:00:00-07:00,1498.9375 kWh
2017-03-09T00:00:00-07:00,1416.21875 kWh
2017-03-10T00:00:00-07:00,1341.75 kWh
2017-03-11T00:00:00-07:00,1094.34375 kWh
2017-03-12T00:00:00-07:00,1057.65625 kWh
2017-03-13T00:00:00-06:00,1256.25 kWh
2017-03-14T00:00:00-06:00,1283.0625 kWh
2017-03-15T00:00:00-06:00,1268.25 kWh
2017-03-16T00:00:00-06:00,1322.46875 kWh
2017-03-17T00:00:00-06:00,1308.03125 kWh
2017-03-18T00:00:00-06:00,1219.9375 kWh
2017-03-19T00:00:00-06:00,1295.5625 kWh
2017-03-20T00:00:00-06:00,1345.125 kWh
2017-03-21T00:00:00-06:00,1368.75 kWh
2017-03-22T00:00:00-06:00,1355.34375 kWh
2017-03-23T00:00:00-06:00,1453.78125 kWh
2017-03-24T00:00:00-06:00,1372.84375 kWh
2017-03-25T00:00:00-06:00,1218.5625 kWh
2017-03-26T00:00:00-06:00,1307.34375 kWh
2017-03-27T00:00:00-06:00,1319.75 kWh
2017-03-28T00:00:00-06:00,1185.59375 kWh
2017-03-29T00:00:00-06:00,1970.15625 kWh
2017-03-30T00:00:00-06:00,660.5 kWh
2017-03-31T00:00:00-06:00,1321.25 kWh
2017-04-01T00:00:00-06:00,1086.0625 kWh
2017-04-02T00:00:00-06:00,1105.25 kWh
2017-04-03T00:00:00-06:00,1239.3125 kWh
2017-04-04T00:00:00-06:00,1279.65625 kWh
2017-04-05T00:00:00-06:00,1278.03125 kWh
2017-04-06T00:00:00-06:00,1212.5625 kWh
2017-04-07T00:00:00-06:00,1136.84375 kWh
2017-04-08T00:00:00-06:00,1054.40625 kWh
2017-04-09T00:00:00-06:00,1051.8125 kWh
2017-04-10T00:00:00-06:00,1228.1875 kWh
2017-04-11T00:00:00-06:00,1260.09375 kWh
2017-04-12T00:00:00-06:00,1297.96875 kWh
2017-04-13T00:00:00-06:00,1336.21875 kWh
2017-04-14T00:00:00-06:00,1221.5 kWh
2017-04-15T00:00:00-06:00,1123.375 kWh
2017-04-16T00:00:00-06:00,1054.1875 kWh
2017-04-17T00:00:00-06:00,1267.09375 kWh
2017-04-18T00:00:00-06:00,1388 kWh
2017-04-19T00:00:00-06:00,1351.875 kWh
2017-04-20T00:00:00-06:00,1277.25 kWh
2017-04-21T00:00:00-06:00,1231.3125 kWh
2017-04-22T00:00:00-06:00,1057.25 kWh
2017-04-23T00:00:00-06:00,1078.5 kWh
2017-04-24T00:00:00-06:00,1183.8125 kWh
2017-04-25T00:00:00-06:00,1219.625 kWh
2017-04-26T00:00:00-06:00,1211.5625 kWh
2017-04-27T00:00:00-06:00,1229.625 kWh
2017-04-28T00:00:00-06:00,1263.1875 kWh
2017-04-29T00:00:00-06:00,1088.375 kWh
2017-04-30T00:00:00-06:00,1070.875 kWh
2017-05-01T00:00:00-06:00,1275.8125 kWh
2017-05-02T00:00:00-06:00,1243.0625 kWh
2017-05-03T00:00:00-06:00,1279 kWh
2017-05-04T00:00:00-06:00,1252.5625 kWh
2017-05-05T00:00:00-06:00,1242.0625 kWh
2017-05-06T00:00:00-06:00,1077.25 kWh
2017-05-07T00:00:00-06:00,1096.3125 kWh
2017-05-08T00:00:00-06:00,1232.8125 kWh
2017-05-09T00:00:00-06:00,1203.875 kWh
2017-05-10T00:00:00-06:00,1216.75 kWh
2017-05-11T00:00:00-06:00,1339.3125 kWh
2017-05-12T00:00:00-06:00,1310.5 kWh
2017-05-13T00:00:00-06:00,1067.75 kWh
2017-05-14T00:00:00-06:00,1065.625 kWh
2017-05-15T00:00:00-06:00,1249 kWh
2017-05-16T00:00:00-06:00,1288 kWh
2017-05-17T00:00:00-06:00,1296.875 kWh
2017-05-18T00:00:00-06:00,1276.9375 kWh
2017-05-19T00:00:00-06:00,1275.1875 kWh
2017-05-20T00:00:00-06:00,1214.375 kWh
2017-05-21T00:00:00-06:00,1125.625 kWh
2017-05-22T00:00:00-06:00,1275.9375 kWh
2017-05-23T00:00:00-06:00,1295.25 kWh
2017-05-24T00:00:00-06:00,1303.75 kWh
2017-05-25T00:00:00-06:00,1400.3125 kWh
2017-05-26T00:00:00-06:00,1312.75 kWh
2017-05-27T00:00:00-06:00,1178.9375 kWh
2017-05-28T00:00:00-06:00,1130.6875 kWh
2017-05-29T00:00:00-06:00,1127.9375 kWh
2017-05-30T00:00:00-06:00,1274.3125 kWh
2017-05-31T00:00:00-06:00,1279.125 kWh
2017-06-01T00:00:00-06:00,1279.625 kWh
2017-06-02T00:00:00-06:00,1344.5 kWh
2017-06-03T00:00:00-06:00,1098.875 kWh
2017-06-04T00:00:00-06:00,1059.125 kWh
2017-06-05T00:00:00-06:00,1179.75 kWh
2017-06-06T00:00:00-06:00,1180.875 kWh
2017-06-07T00:00:00-06:00,1316.0625 kWh
2017-06-08T00:00:00-06:00,1275.875 kWh
2017-06-09T00:00:00-06:00,1278.125 kWh
2017-06-10T00:00:00-06:00,1150.5 kWh
2017-06-11T00:00:00-06:00,1250.375 kWh
2017-06-12T00:00:00-06:00,1266.375 kWh
2017-06-13T00:00:00-06:00,1281.5625 kWh
2017-06-14T00:00:00-06:00,1358.4375 kWh
2017-06-15T00:00:00-06:00,1394.5625 kWh
2017-06-16T00:00:00-06:00,1292 kWh
2017-06-17T00:00:00-06:00,1158.5625 kWh
2017-06-18T00:00:00-06:00,1142.5 kWh
2017-06-19T00:00:00-06:00,1260.0625 kWh
2017-06-20T00:00:00-06:00,1282.125 kWh
2017-06-21T00:00:00-06:00,1261.1875 kWh
2017-06-22T00:00:00-06:00,1222.375 kWh
2017-06-23T00:00:00-06:00,1357.75 kWh
2017-06-24T00:00:00-06:00,1155.625 kWh
2017-06-25T00:00:00-06:00,1087 kWh
2017-06-26T00:00:00-06:00,1326.375 kWh
2017-06-27T00:00:00-06:00,1317.0625 kWh
2017-06-28T00:00:00-06:00,1317 kWh
2017-06-29T00:00:00-06:00,1260.625 kWh
2017-06-30T00:00:00-06:00,1243.4375 kWh
2017-07-01T00:00:00-06:00,1101.875 kWh
2017-07-02T00:00:00-06:00,1031.375 kWh
2017-07-03T00:00:00-06:00,1165.9375 kWh
2017-07-04T00:00:00-06:00,1089.3125 kWh
2017-07-05T00:00:00-06:00,1202.375 kWh
2017-07-06T00:00:00-06:00,1288.875 kWh
2017-07-07T00:00:00-06:00,1197.875 kWh
2017-07-08T00:00:00-06:00,1154.8125 kWh
2017-07-09T00:00:00-06:00,1145.0625 kWh
2017-07-10T00:00:00-06:00,1271.625 kWh
2017-07-11T00:00:00-06:00,1269.125 kWh
2017-07-12T00:00:00-06:00,1224 kWh
2017-07-13T00:00:00-06:00,1200.6875 kWh
2017-07-14T00:00:00-06:00,1248.75 kWh
2017-07-15T00:00:00-06:00,1087.5625 kWh
2017-07-16T00:00:00-06:00,1068.8125 kWh
2017-07-17T00:00:00-06:00,1162.4375 kWh
2017-07-18T00:00:00-06:00,1173.25 kWh
2017-07-19T00:00:00-06:00,1222.3125 kWh
2017-07-20T00:00:00-06:00,1159.1875 kWh
2017-07-21T00:00:00-06:00,1214.1875 kWh
2017-07-22T00:00:00-06:00,1087.0625 kWh
2017-07-23T00:00:00-06:00,1052.4375 kWh
2017-07-24T00:00:00-06:00,1041.4375 kWh
2017-07-25T00:00:00-06:00,1316.625 kWh
2017-07-26T00:00:00-06:00,1199.875 kWh
2017-07-27T00:00:00-06:00,1274 kWh
2017-07-28T00:00:00-06:00,1199.125 kWh
2017-07-29T00:00:00-06:00,1065.375 kWh
2017-07-30T00:00:00-06:00,1045.4375 kWh
2017-07-31T00:00:00-06:00,1192 kWh
2017-08-01T00:00:00-06:00,1296.4375 kWh
2017-08-02T00:00:00-06:00,1364.9375 kWh
2017-08-03T00:00:00-06:00,1364.875 kWh
2017-08-04T00:00:00-06:00,1343.5625 kWh
2017-08-05T00:00:00-06:00,1170.75 kWh
2017-08-06T00:00:00-06:00,1119.875 kWh
2017-08-07T00:00:00-06:00,1329.8125 kWh
2017-08-08T00:00:00-06:00,1463.6875 kWh
2017-08-09T00:00:00-06:00,1220.3125 kWh
2017-08-10T00:00:00-06:00,1376.125 kWh
2017-08-11T00:00:00-06:00,1322.8125 kWh
2017-08-12T00:00:00-06:00,1091.5 kWh
2017-08-13T00:00:00-06:00,1020.3125 kWh
2017-08-14T00:00:00-06:00,1174.75 kWh
2017-08-15T00:00:00-06:00,1244.5625 kWh
2017-08-16T00:00:00-06:00,1250.375 kWh
2017-08-17T00:00:00-06:00,1259.1875 kWh
2017-08-18T00:00:00-06:00,1277.25 kWh
2017-08-19T00:00:00-06:00,1091.8125 kWh
2017-08-20T00:00:00-06:00,1068.375 kWh
2017-08-21T00:00:00-06:00,1195.9375 kWh
2017-08-22T00:00:00-06:00,1283.1875 kWh
2017-08-23T00:00:00-06:00,1330.375 kWh
2017-08-24T00:00:00-06:00,1420.625 kWh
2017-08-25T00:00:00-06:00,1484.5625 kWh
2017-08-26T00:00:00-06:00,1127.5625 kWh
2017-08-27T00:00:00-06:00,1064 kWh
2017-08-28T00:00:00-06:00,1564.75 kWh
2017-08-29T00:00:00-06:00,1407.625 kWh
2017-08-30T00:00:00-06:00,1258.5625 kWh
2017-08-31T00:00:00-06:00,1254.8125 kWh
2017-09-01T00:00:00-06:00,1292.875 kWh
2017-09-02T00:00:00-06:00,1063.625 kWh
2017-09-03T00:00:00-06:00,1097.875 kWh
2017-09-04T00:00:00-06:00,1106.6875 kWh
2017-09-05T00:00:00-06:00,1291.875 kWh
2017-09-06T00:00:00-06:00,1295.9375 kWh
2017-09-07T00:00:00-06:00,1374.25 kWh
2017-09-08T00:00:00-06:00,1250.6875 kWh
2017-09-09T00:00:00-06:00,1115.3125 kWh
2017-09-10T00:00:00-06:00,1055.625 kWh
2017-09-11T00:00:00-06:00,1312.5625 kWh
2017-09-12T00:00:00-06:00,1261 kWh
2017-09-13T00:00:00-06:00,1244.8125 kWh
2017-09-14T00:00:00-06:00,1204.5625 kWh
2017-09-15T00:00:00-06:00,1274.1875 kWh
2017-09-16T00:00:00-06:00,1083.8125 kWh
2017-09-17T00:00:00-06:00,1045.3125 kWh
2017-09-18T00:00:00-06:00,1209.9375 kWh
2017-09-19T00:00:00-06:00,1221.75 kWh
2017-09-20T00:00:00-06:00,1255.8125 kWh
2017-09-21T00:00:00-06:00,1355.6875 kWh
2017-09-22T00:00:00-06:00,1215.6875 kWh
2017-09-23T00:00:00-06:00,1074.375 kWh
2017-09-24T00:00:00-06:00,1025.9375 kWh
2017-09-25T00:00:00-06:00,1321.0625 kWh
2017-09-26T00:00:00-06:00,1361.8125 kWh
2017-09-27T00:00:00-06:00,1300.6875 kWh
2017-09-28T00:00:00-06:00,1390.625 kWh
2017-09-29T00:00:00-06:00,1335.5 kWh
2017-09-30T00:00:00-06:00,1164.875 kWh
2017-10-01T00:00:00-06:00,1073.9375 kWh
2017-10-02T00:00:00-06:00,1339.6875 kWh
2017-10-03T00:00:00-06:00,1354.4375 kWh
2017-10-04T00:00:00-06:00,1375.1875 kWh
2017-10-05T00:00:00-06:00,1381.0625 kWh
2017-10-06T00:00:00-06:00,1363.9375 kWh
2017-10-07T00:00:00-06:00,1159.75 kWh
2017-10-08T00:00:00-06:00,1112.625 kWh
2017-10-09T00:00:00-06:00,1244.5625 kWh
2017-10-10T00:00:00-06:00,1289.3125 kWh
2017-10-11T00:00:00-06:00,1318.9375 kWh
2017-10-12T00:00:00-06:00,1358.9375 kWh
2017-10-13T00:00:00-06:00,1353.4375 kWh
2017-10-14T00:00:00-06:00,1238.3125 kWh
2017-10-15T00:00:00-06:00,1078.0625 kWh
2017-10-16T00:00:00-06:00,1196.4375 kWh
2017-10-17T00:00:00-06:00,1219.625 kWh
2017-10-18T00:00:00-06:00,1233.0625 kWh
2017-10-19T00:00:00-06:00,1186.625 kWh
2017-10-20T00:00:00-06:00,1166.875 kWh
2017-10-21T00:00:00-06:00,1050.9375 kWh
2017-10-22T00:00:00-06:00,1096.5625 kWh
2017-10-23T00:00:00-06:00,1294.125 kWh
2017-10-24T00:00:00-06:00,1346.0625 kWh
2017-10-25T00:00:00-06:00,1331.5 kWh
2017-10-26T00:00:00-06:00,1449.8125 kWh
2017-10-27T00:00:00-06:00,1384.5625 kWh
2017-10-28T00:00:00-06:00,1154.8125 kWh
2017-10-29T00:00:00-06:00,1125.75 kWh
2017-10-30T00:00:00-06:00,1431.625 kWh
2017-10-31T00:00:00-06:00,1277 kWh
2017-11-01T00:00:00-06:00,1262.125 kWh
2017-11-02T00:00:00-06:00,1212.25 kWh
2017-11-03T00:00:00-06:00,1295.3125 kWh
2017-11-04T00:00:00-06:00,1052.25 kWh
2017-11-05T00:00:00-06:00,1093.1875 kWh
2017-11-06T00:00:00-07:00,1217.625 kWh
2017-11-07T00:00:00-07:00,1373.6875 kWh
2017-11-08T00:00:00-07:00,1304.875 kWh
2017-11-09T00:00:00-07:00,1290.8125 kWh
2017-11-10T00:00:00-07:00,1244.8125 kWh
2017-11-11T00:00:00-07:00,1123.9375 kWh
2017-11-12T00:00:00-07:00,1125.75 kWh
2017-11-13T00:00:00-07:00,1267.6875 kWh
2017-11-14T00:00:00-07:00,1270.4375 kWh
2017-11-15T00:00:00-07:00,1333.625 kWh
2017-11-16T00:00:00-07:00,1370.5625 kWh
2017-11-17T00:00:00-07:00,1340.6875 kWh
2017-11-18T00:00:00-07:00,1154.5 kWh
2017-11-19T00:00:00-07:00,1118.875 kWh
2017-11-20T00:00:00-07:00,1317.0625 kWh
2017-11-21T00:00:00-07:00,1508.0625 kWh
2017-11-22T00:00:00-07:00,1264.8125 kWh
2017-11-23T00:00:00-07:00,1158.375 kWh
2017-11-24T00:00:00-07:00,1092.875 kWh
2017-11-25T00:00:00-07:00,1197.0625 kWh
2017-11-26T00:00:00-07:00,1173.75 kWh
2017-11-27T00:00:00-07:00,1431 kWh
2017-11-28T00:00:00-07:00,1458.8125 kWh
2017-11-29T00:00:00-07:00,1353.125 kWh
2017-11-30T00:00:00-07:00,1299.9375 kWh
2017-12-01T00:00:00-07:00,1246.375 kWh
2017-12-02T00:00:00-07:00,1060.5625 kWh
2017-12-03T00:00:00-07:00,1142.5625 kWh
2017-12-04T00:00:00-07:00,1330.625 kWh
2017-12-05T00:00:00-07:00,1366.9375 kWh
2017-12-06T00:00:00-07:00,1412.625 kWh
2017-12-07T00:00:00-07:00,1299.8125 kWh
2017-12-08T00:00:00-07:00,1165.1875 kWh
2017-12-09T00:00:00-07:00,1094 kWh
2017-12-10T00:00:00-07:00,1046.375 kWh
2017-12-11T00:00:00-07:00,1154.125 kWh
2017-12-12T00:00:00-07:00,1161.75 kWh
2017-12-13T00:00:00-07:00,1120.125 kWh
2017-12-14T00:00:00-07:00,1153.875 kWh
2017-12-15T00:00:00-07:00,1109.5625 kWh
2017-12-16T00:00:00-07:00,984.9375 kWh
2017-12-17T00:00:00-07:00,957.9375 kWh
2017-12-18T00:00:00-07:00,1117.5 kWh
2017-12-19T00:00:00-07:00,1145.375 kWh
2017-12-20T00:00:00-07:00,1107.5 kWh
2017-12-21T00:00:00-07:00,1113.9375 kWh
2017-12-22T00:00:00-07:00,1107 kWh
2017-12-23T00:00:00-07:00,992.25 kWh
2017-12-24T00:00:00-07:00,987.0625 kWh
2017-12-25T00:00:00-07:00,987 kWh
2017-12-26T00:00:00-07:00,1013.1875 kWh
2017-12-27T00:00:00-07:00,1077.375 kWh
2017-12-28T00:00:00-07:00,1048.9375 kWh
2017-12-29T00:00:00-07:00,1021.4375 kWh
2017-12-30T00:00:00-07:00,973.125 kWh
2017-12-31T00:00:00-07:00,962.125 kWh
