Timestamp,"['1e68924b-f7a5f56d 0004-KINGSBURY HALL Power Meter 2 (301209) W-hours, Received']"
2017-03-14T00:00:00-06:00,1132.9375 kWh
2017-03-15T00:00:00-06:00,784.9375 kWh
2017-03-16T00:00:00-06:00,631.75 kWh
2017-03-17T00:00:00-06:00,766.625 kWh
2017-03-18T00:00:00-06:00,706.8125 kWh
2017-03-19T00:00:00-06:00,410.0625 kWh
2017-03-20T00:00:00-06:00,513.8125 kWh
2017-03-21T00:00:00-06:00,468.8125 kWh
2017-03-22T00:00:00-06:00,643.75 kWh
2017-03-23T00:00:00-06:00,530.75 kWh
2017-03-24T00:00:00-06:00,367.6875 kWh
2017-03-25T00:00:00-06:00,194.5625 kWh
2017-03-26T00:00:00-06:00,192.4375 kWh
2017-03-27T00:00:00-06:00,670.8125 kWh
2017-03-28T00:00:00-06:00,1004.4375 kWh
2017-03-29T00:00:00-06:00,1772.125 kWh
2017-03-30T00:00:00-06:00,815.25 kWh
2017-03-31T00:00:00-06:00,1128.6875 kWh
2017-04-01T00:00:00-06:00,842 kWh
2017-04-02T00:00:00-06:00,246.875 kWh
2017-04-03T00:00:00-06:00,795.4375 kWh
2017-04-04T00:00:00-06:00,912.875 kWh
2017-04-05T00:00:00-06:00,744.0625 kWh
2017-04-06T00:00:00-06:00,718.1875 kWh
2017-04-07T00:00:00-06:00,783.8125 kWh
2017-04-08T00:00:00-06:00,963.25 kWh
2017-04-09T00:00:00-06:00,184.6875 kWh
2017-04-10T00:00:00-06:00,368.875 kWh
2017-04-11T00:00:00-06:00,494.0625 kWh
2017-04-12T00:00:00-06:00,401.4375 kWh
2017-04-13T00:00:00-06:00,431.125 kWh
2017-04-14T00:00:00-06:00,539.375 kWh
2017-04-15T00:00:00-06:00,410.5625 kWh
2017-04-16T00:00:00-06:00,189.6875 kWh
2017-04-17T00:00:00-06:00,911.9375 kWh
2017-04-18T00:00:00-06:00,886.75 kWh
2017-04-19T00:00:00-06:00,782.0625 kWh
2017-04-20T00:00:00-06:00,720.4375 kWh
2017-04-21T00:00:00-06:00,709.5 kWh
2017-04-22T00:00:00-06:00,738.5625 kWh
2017-04-23T00:00:00-06:00,202.625 kWh
2017-04-24T00:00:00-06:00,416.6875 kWh
2017-04-25T00:00:00-06:00,394 kWh
2017-04-26T00:00:00-06:00,446.0625 kWh
2017-04-27T00:00:00-06:00,646.0625 kWh
2017-04-28T00:00:00-06:00,1359.25 kWh
2017-04-29T00:00:00-06:00,1516.8125 kWh
2017-04-30T00:00:00-06:00,220.1875 kWh
2017-05-01T00:00:00-06:00,438.6875 kWh
2017-05-02T00:00:00-06:00,499.1875 kWh
2017-05-03T00:00:00-06:00,413.4375 kWh
2017-05-04T00:00:00-06:00,576.0625 kWh
2017-05-05T00:00:00-06:00,912.3125 kWh
2017-05-06T00:00:00-06:00,184.8125 kWh
2017-05-07T00:00:00-06:00,161.8125 kWh
2017-05-08T00:00:00-06:00,404.25 kWh
2017-05-09T00:00:00-06:00,786.9375 kWh
2017-05-10T00:00:00-06:00,806.0625 kWh
2017-05-11T00:00:00-06:00,420 kWh
2017-05-12T00:00:00-06:00,819.9375 kWh
2017-05-13T00:00:00-06:00,749.8125 kWh
2017-05-14T00:00:00-06:00,162 kWh
2017-05-15T00:00:00-06:00,794 kWh
2017-05-16T00:00:00-06:00,617 kWh
2017-05-17T00:00:00-06:00,532.4375 kWh
2017-05-18T00:00:00-06:00,426.8125 kWh
2017-05-19T00:00:00-06:00,508.3125 kWh
2017-05-20T00:00:00-06:00,810.3125 kWh
2017-05-21T00:00:00-06:00,167.375 kWh
2017-05-22T00:00:00-06:00,698.0625 kWh
2017-05-23T00:00:00-06:00,496.4375 kWh
2017-05-24T00:00:00-06:00,506.875 kWh
2017-05-25T00:00:00-06:00,735.75 kWh
2017-05-26T00:00:00-06:00,410.9375 kWh
2017-05-27T00:00:00-06:00,593.0625 kWh
2017-05-28T00:00:00-06:00,166.6875 kWh
2017-05-29T00:00:00-06:00,170.3125 kWh
2017-05-30T00:00:00-06:00,686.4375 kWh
2017-05-31T00:00:00-06:00,825.875 kWh
2017-06-01T00:00:00-06:00,740.8125 kWh
2017-06-02T00:00:00-06:00,668.375 kWh
2017-06-03T00:00:00-06:00,164.8125 kWh
2017-06-04T00:00:00-06:00,166.125 kWh
2017-06-05T00:00:00-06:00,659.25 kWh
2017-06-06T00:00:00-06:00,758.125 kWh
2017-06-07T00:00:00-06:00,602.3125 kWh
2017-06-08T00:00:00-06:00,880.5 kWh
2017-06-09T00:00:00-06:00,1059.5 kWh
2017-06-10T00:00:00-06:00,951.0625 kWh
2017-06-11T00:00:00-06:00,198.625 kWh
2017-06-12T00:00:00-06:00,590 kWh
2017-06-13T00:00:00-06:00,1183.625 kWh
2017-06-14T00:00:00-06:00,539.9375 kWh
2017-06-15T00:00:00-06:00,488.625 kWh
2017-06-16T00:00:00-06:00,298.3125 kWh
2017-06-17T00:00:00-06:00,176 kWh
2017-06-18T00:00:00-06:00,174.9375 kWh
2017-06-19T00:00:00-06:00,1419.8125 kWh
2017-06-20T00:00:00-06:00,827.3125 kWh
2017-06-21T00:00:00-06:00,716.0625 kWh
2017-06-22T00:00:00-06:00,726.9375 kWh
2017-06-23T00:00:00-06:00,659.9375 kWh
2017-06-24T00:00:00-06:00,230.8125 kWh
2017-06-25T00:00:00-06:00,230.75 kWh
2017-06-26T00:00:00-06:00,401.4375 kWh
2017-06-27T00:00:00-06:00,492.9375 kWh
2017-06-28T00:00:00-06:00,633.4375 kWh
2017-06-29T00:00:00-06:00,703.125 kWh
2017-06-30T00:00:00-06:00,711.6875 kWh
2017-07-01T00:00:00-06:00,186 kWh
2017-07-02T00:00:00-06:00,187.1875 kWh
2017-07-03T00:00:00-06:00,390.6875 kWh
2017-07-04T00:00:00-06:00,179.8125 kWh
2017-07-05T00:00:00-06:00,401 kWh
2017-07-06T00:00:00-06:00,365.125 kWh
2017-07-07T00:00:00-06:00,349.75 kWh
2017-07-08T00:00:00-06:00,194 kWh
2017-07-09T00:00:00-06:00,188.75 kWh
2017-07-10T00:00:00-06:00,325 kWh
2017-07-11T00:00:00-06:00,380.0625 kWh
2017-07-12T00:00:00-06:00,397.6875 kWh
2017-07-13T00:00:00-06:00,415.75 kWh
2017-07-14T00:00:00-06:00,345.25 kWh
2017-07-15T00:00:00-06:00,1032.5 kWh
2017-07-16T00:00:00-06:00,167.25 kWh
2017-07-17T00:00:00-06:00,357.5 kWh
2017-07-18T00:00:00-06:00,429.6875 kWh
2017-07-19T00:00:00-06:00,374.3125 kWh
2017-07-20T00:00:00-06:00,432.75 kWh
2017-07-21T00:00:00-06:00,322.375 kWh
2017-07-22T00:00:00-06:00,195 kWh
2017-07-23T00:00:00-06:00,194.75 kWh
2017-07-24T00:00:00-06:00,194.5625 kWh
2017-07-25T00:00:00-06:00,333.5625 kWh
2017-07-26T00:00:00-06:00,603.6875 kWh
2017-07-27T00:00:00-06:00,580.875 kWh
2017-07-28T00:00:00-06:00,498.4375 kWh
2017-07-29T00:00:00-06:00,189.1875 kWh
2017-07-30T00:00:00-06:00,189.125 kWh
2017-07-31T00:00:00-06:00,323.125 kWh
2017-08-01T00:00:00-06:00,298.9375 kWh
2017-08-02T00:00:00-06:00,624.25 kWh
2017-08-03T00:00:00-06:00,717.5625 kWh
2017-08-04T00:00:00-06:00,649 kWh
2017-08-05T00:00:00-06:00,1203.9375 kWh
2017-08-06T00:00:00-06:00,228.875 kWh
2017-08-07T00:00:00-06:00,459.125 kWh
2017-08-08T00:00:00-06:00,337.75 kWh
2017-08-09T00:00:00-06:00,526.25 kWh
2017-08-10T00:00:00-06:00,423.6875 kWh
2017-08-11T00:00:00-06:00,606.875 kWh
2017-08-12T00:00:00-06:00,188.5 kWh
2017-08-13T00:00:00-06:00,189.25 kWh
2017-08-14T00:00:00-06:00,479.9375 kWh
2017-08-15T00:00:00-06:00,435.1875 kWh
2017-08-16T00:00:00-06:00,344.625 kWh
2017-08-17T00:00:00-06:00,441.4375 kWh
2017-08-18T00:00:00-06:00,453.25 kWh
2017-08-19T00:00:00-06:00,364.1875 kWh
2017-08-20T00:00:00-06:00,202.625 kWh
2017-08-21T00:00:00-06:00,495.3125 kWh
2017-08-22T00:00:00-06:00,581.6875 kWh
2017-08-23T00:00:00-06:00,291.875 kWh
2017-08-24T00:00:00-06:00,374.5 kWh
2017-08-25T00:00:00-06:00,334.0625 kWh
2017-08-26T00:00:00-06:00,175.8125 kWh
2017-08-27T00:00:00-06:00,155.4375 kWh
2017-08-28T00:00:00-06:00,427.9375 kWh
2017-08-29T00:00:00-06:00,397.25 kWh
2017-08-30T00:00:00-06:00,374 kWh
2017-08-31T00:00:00-06:00,421.6875 kWh
2017-09-01T00:00:00-06:00,329.5625 kWh
2017-09-02T00:00:00-06:00,170.8125 kWh
2017-09-03T00:00:00-06:00,171.5 kWh
2017-09-04T00:00:00-06:00,172.0625 kWh
2017-09-05T00:00:00-06:00,365.1875 kWh
2017-09-06T00:00:00-06:00,360.75 kWh
2017-09-07T00:00:00-06:00,538.5625 kWh
2017-09-08T00:00:00-06:00,768.5 kWh
2017-09-09T00:00:00-06:00,846.875 kWh
2017-09-10T00:00:00-06:00,297.3125 kWh
2017-09-11T00:00:00-06:00,435.0625 kWh
2017-09-12T00:00:00-06:00,534.75 kWh
2017-09-13T00:00:00-06:00,574.1875 kWh
2017-09-14T00:00:00-06:00,524.4375 kWh
2017-09-15T00:00:00-06:00,381.3125 kWh
2017-09-16T00:00:00-06:00,665.0625 kWh
2017-09-17T00:00:00-06:00,153.6875 kWh
2017-09-18T00:00:00-06:00,309.8125 kWh
2017-09-19T00:00:00-06:00,326.375 kWh
2017-09-20T00:00:00-06:00,334 kWh
2017-09-21T00:00:00-06:00,343.625 kWh
2017-09-22T00:00:00-06:00,350.25 kWh
2017-09-23T00:00:00-06:00,166.75 kWh
2017-09-24T00:00:00-06:00,162 kWh
2017-09-25T00:00:00-06:00,310.25 kWh
2017-09-26T00:00:00-06:00,577.75 kWh
2017-09-27T00:00:00-06:00,461.5 kWh
2017-09-28T00:00:00-06:00,390.6875 kWh
2017-09-29T00:00:00-06:00,448.1875 kWh
2017-09-30T00:00:00-06:00,336.3125 kWh
2017-10-01T00:00:00-06:00,636.4375 kWh
2017-10-02T00:00:00-06:00,350.875 kWh
2017-10-03T00:00:00-06:00,381.25 kWh
2017-10-04T00:00:00-06:00,517.125 kWh
2017-10-05T00:00:00-06:00,608.0625 kWh
2017-10-06T00:00:00-06:00,1071.5625 kWh
2017-10-07T00:00:00-06:00,893.25 kWh
2017-10-08T00:00:00-06:00,167.9375 kWh
2017-10-09T00:00:00-06:00,796.5 kWh
2017-10-10T00:00:00-06:00,795.5625 kWh
2017-10-11T00:00:00-06:00,801 kWh
2017-10-12T00:00:00-06:00,778.125 kWh
2017-10-13T00:00:00-06:00,797.75 kWh
2017-10-14T00:00:00-06:00,939.3125 kWh
2017-10-15T00:00:00-06:00,152.75 kWh
2017-10-16T00:00:00-06:00,806.75 kWh
2017-10-17T00:00:00-06:00,676.2374877929688 kWh
2017-10-18T00:00:00-06:00,688.7799682617188 kWh
2017-10-19T00:00:00-06:00,693.510009765625 kWh
2017-10-20T00:00:00-06:00,624.2999267578125 kWh
2017-10-21T00:00:00-06:00,847.130126953125 kWh
2017-10-22T00:00:00-06:00,150.199951171875 kWh
2017-10-23T00:00:00-06:00,802.909912109375 kWh
2017-10-24T00:00:00-06:00,755.68994140625 kWh
2017-10-25T00:00:00-06:00,800.0400390625 kWh
2017-10-26T00:00:00-06:00,861.60009765625 kWh
2017-10-27T00:00:00-06:00,855.41015625 kWh
2017-10-28T00:00:00-06:00,881.25 kWh
2017-10-29T00:00:00-06:00,187.5 kWh
2017-10-30T00:00:00-06:00,893.439453125 kWh
2017-10-31T00:00:00-06:00,505.3408203125 kWh
2017-11-01T00:00:00-06:00,845.5400390625 kWh
2017-11-02T00:00:00-06:00,494.2998046875 kWh
2017-11-03T00:00:00-06:00,366.529296875 kWh
2017-11-04T00:00:00-06:00,271.2802734375 kWh
2017-11-05T00:00:00-06:00,188.009765625 kWh
2017-11-06T00:00:00-07:00,337.3408203125 kWh
2017-11-07T00:00:00-07:00,368.5693359375 kWh
2017-11-08T00:00:00-07:00,664.2998046875 kWh
2017-11-09T00:00:00-07:00,634.5205078125 kWh
2017-11-10T00:00:00-07:00,522.9599609375 kWh
2017-11-11T00:00:00-07:00,422.5400390625 kWh
2017-11-12T00:00:00-07:00,296.5595703125 kWh
2017-11-13T00:00:00-07:00,457.9501953125 kWh
2017-11-14T00:00:00-07:00,485.3896484375 kWh
2017-11-15T00:00:00-07:00,495.83984375 kWh
2017-11-16T00:00:00-07:00,633.16015625 kWh
2017-11-17T00:00:00-07:00,465.419921875 kWh
2017-11-18T00:00:00-07:00,953.44140625 kWh
2017-11-19T00:00:00-07:00,247.66015625 kWh
2017-11-20T00:00:00-07:00,472.669921875 kWh
2017-11-21T00:00:00-07:00,446.759765625 kWh
2017-11-22T00:00:00-07:00,295.009765625 kWh
2017-11-23T00:00:00-07:00,171.580078125 kWh
2017-11-24T00:00:00-07:00,172.2890625 kWh
2017-11-25T00:00:00-07:00,173.330078125 kWh
2017-11-26T00:00:00-07:00,169.611328125 kWh
2017-11-27T00:00:00-07:00,337.818359375 kWh
2017-11-28T00:00:00-07:00,362.3515625 kWh
2017-11-29T00:00:00-07:00,364.30859375 kWh
2017-11-30T00:00:00-07:00,581.201171875 kWh
2017-12-01T00:00:00-07:00,491.830078125 kWh
2017-12-02T00:00:00-07:00,624.76953125 kWh
2017-12-03T00:00:00-07:00,360.330078125 kWh
2017-12-04T00:00:00-07:00,989.609375 kWh
2017-12-05T00:00:00-07:00,801.390625 kWh
2017-12-06T00:00:00-07:00,385.169921875 kWh
2017-12-07T00:00:00-07:00,709.529296875 kWh
2017-12-08T00:00:00-07:00,717.861328125 kWh
2017-12-09T00:00:00-07:00,699.1796875 kWh
2017-12-10T00:00:00-07:00,183.05859375 kWh
2017-12-11T00:00:00-07:00,590.021484375 kWh
2017-12-12T00:00:00-07:00,743.01953125 kWh
2017-12-13T00:00:00-07:00,764.369140625 kWh
2017-12-14T00:00:00-07:00,738.44140625 kWh
2017-12-15T00:00:00-07:00,693.25 kWh
2017-12-16T00:00:00-07:00,806.017578125 kWh
2017-12-17T00:00:00-07:00,240.08984375 kWh
2017-12-18T00:00:00-07:00,913.921875 kWh
2017-12-19T00:00:00-07:00,869.6015625 kWh
2017-12-20T00:00:00-07:00,675.71875 kWh
2017-12-21T00:00:00-07:00,691.578125 kWh
2017-12-22T00:00:00-07:00,695.1328125 kWh
2017-12-23T00:00:00-07:00,844.66796875 kWh
2017-12-24T00:00:00-07:00,159.6796875 kWh
2017-12-25T00:00:00-07:00,160.6328125 kWh
2017-12-26T00:00:00-07:00,158.91015625 kWh
2017-12-27T00:00:00-07:00,382.1171875 kWh
2017-12-28T00:00:00-07:00,290.98046875 kWh
2017-12-29T00:00:00-07:00,170.640625 kWh
2017-12-30T00:00:00-07:00,170 kWh
2017-12-31T00:00:00-07:00,166.1015625 kWh
