Timestamp,['1daaa933-19e48a35 0037-ARCHITECTURE BLDG Power Meter (301159) KWH Received']
2017-07-12T00:00:00-06:00,254.375 kWh
2017-07-13T00:00:00-06:00,259.5 kWh
2017-07-14T00:00:00-06:00,239.25 kWh
2017-07-15T00:00:00-06:00,219.4375 kWh
2017-07-16T00:00:00-06:00,185.375 kWh
2017-07-17T00:00:00-06:00,236.5 kWh
2017-07-18T00:00:00-06:00,253.4375 kWh
2017-07-19T00:00:00-06:00,250.9375 kWh
2017-07-20T00:00:00-06:00,268.0625 kWh
2017-07-21T00:00:00-06:00,255.1875 kWh
2017-07-22T00:00:00-06:00,225.3125 kWh
2017-07-23T00:00:00-06:00,207.4375 kWh
2017-07-24T00:00:00-06:00,227.4375 kWh
2017-07-25T00:00:00-06:00,275.75 kWh
2017-07-26T00:00:00-06:00,277.8125 kWh
2017-07-27T00:00:00-06:00,291.3125 kWh
2017-07-28T00:00:00-06:00,253.1875 kWh
2017-07-29T00:00:00-06:00,233.75 kWh
2017-07-30T00:00:00-06:00,209.9375 kWh
2017-07-31T00:00:00-06:00,261.625 kWh
2017-08-01T00:00:00-06:00,271.1875 kWh
2017-08-02T00:00:00-06:00,269.5625 kWh
2017-08-03T00:00:00-06:00,251.0625 kWh
2017-08-04T00:00:00-06:00,251.875 kWh
2017-08-05T00:00:00-06:00,233 kWh
2017-08-06T00:00:00-06:00,213.5625 kWh
2017-08-07T00:00:00-06:00,252.9375 kWh
2017-08-08T00:00:00-06:00,249.8125 kWh
2017-08-09T00:00:00-06:00,251.125 kWh
2017-08-10T00:00:00-06:00,240.25 kWh
2017-08-11T00:00:00-06:00,230.625 kWh
2017-08-12T00:00:00-06:00,188.375 kWh
2017-08-13T00:00:00-06:00,196.75 kWh
2017-08-14T00:00:00-06:00,256.3125 kWh
2017-08-15T00:00:00-06:00,260.3125 kWh
2017-08-16T00:00:00-06:00,251.875 kWh
2017-08-17T00:00:00-06:00,237.4375 kWh
2017-08-18T00:00:00-06:00,257.9375 kWh
2017-08-19T00:00:00-06:00,239.5625 kWh
2017-08-20T00:00:00-06:00,211.0625 kWh
2017-08-21T00:00:00-06:00,275.1875 kWh
2017-08-22T00:00:00-06:00,274.125 kWh
2017-08-23T00:00:00-06:00,285.375 kWh
2017-08-24T00:00:00-06:00,280.375 kWh
2017-08-25T00:00:00-06:00,294 kWh
2017-08-26T00:00:00-06:00,232.6875 kWh
2017-08-27T00:00:00-06:00,230.0625 kWh
2017-08-28T00:00:00-06:00,356.3125 kWh
2017-08-29T00:00:00-06:00,347.625 kWh
2017-08-30T00:00:00-06:00,383.875 kWh
2017-08-31T00:00:00-06:00,376.5 kWh
2017-09-01T00:00:00-06:00,331.375 kWh
2017-09-02T00:00:00-06:00,245.375 kWh
2017-09-03T00:00:00-06:00,222.375 kWh
2017-09-04T00:00:00-06:00,247.4375 kWh
2017-09-05T00:00:00-06:00,315.875 kWh
2017-09-06T00:00:00-06:00,366.5625 kWh
2017-09-07T00:00:00-06:00,347.75 kWh
2017-09-08T00:00:00-06:00,324.8125 kWh
2017-09-09T00:00:00-06:00,255.875 kWh
2017-09-10T00:00:00-06:00,226.0625 kWh
2017-09-11T00:00:00-06:00,396.5 kWh
2017-09-12T00:00:00-06:00,392.875 kWh
2017-09-13T00:00:00-06:00,357.9375 kWh
2017-09-14T00:00:00-06:00,356.875 kWh
2017-09-15T00:00:00-06:00,333.75 kWh
2017-09-16T00:00:00-06:00,270.1875 kWh
2017-09-17T00:00:00-06:00,237.75 kWh
2017-09-18T00:00:00-06:00,361.9375 kWh
2017-09-19T00:00:00-06:00,329.6875 kWh
2017-09-20T00:00:00-06:00,381.0625 kWh
2017-09-21T00:00:00-06:00,339.1875 kWh
2017-09-22T00:00:00-06:00,325.25 kWh
2017-09-23T00:00:00-06:00,247.0625 kWh
2017-09-24T00:00:00-06:00,231.9375 kWh
2017-09-25T00:00:00-06:00,383.9375 kWh
2017-09-26T00:00:00-06:00,372.0625 kWh
2017-09-27T00:00:00-06:00,421.375 kWh
2017-09-28T00:00:00-06:00,429.1875 kWh
2017-09-29T00:00:00-06:00,343.375 kWh
2017-09-30T00:00:00-06:00,299.625 kWh
2017-10-01T00:00:00-06:00,292.6875 kWh
2017-10-02T00:00:00-06:00,399.375 kWh
2017-10-03T00:00:00-06:00,373.375 kWh
2017-10-04T00:00:00-06:00,408.75 kWh
2017-10-05T00:00:00-06:00,403.9375 kWh
2017-10-06T00:00:00-06:00,381.3125 kWh
2017-10-07T00:00:00-06:00,275.5 kWh
2017-10-08T00:00:00-06:00,248.875 kWh
2017-10-09T00:00:00-06:00,288.3125 kWh
2017-10-10T00:00:00-06:00,274.3125 kWh
2017-10-11T00:00:00-06:00,280.5625 kWh
2017-10-12T00:00:00-06:00,253.5 kWh
2017-10-13T00:00:00-06:00,273.5 kWh
2017-10-14T00:00:00-06:00,276.125 kWh
2017-10-15T00:00:00-06:00,267 kWh
2017-10-16T00:00:00-06:00,402.125 kWh
2017-10-17T00:00:00-06:00,365.125 kWh
2017-10-18T00:00:00-06:00,413.8125 kWh
2017-10-19T00:00:00-06:00,435.375 kWh
2017-10-20T00:00:00-06:00,358.5 kWh
2017-10-21T00:00:00-06:00,264.375 kWh
2017-10-22T00:00:00-06:00,273.5625 kWh
2017-10-23T00:00:00-06:00,378.5 kWh
2017-10-24T00:00:00-06:00,357.75 kWh
2017-10-25T00:00:00-06:00,384.3125 kWh
2017-10-26T00:00:00-06:00,371.6875 kWh
2017-10-27T00:00:00-06:00,394.4375 kWh
2017-10-28T00:00:00-06:00,266.125 kWh
2017-10-29T00:00:00-06:00,278.25 kWh
2017-10-30T00:00:00-06:00,372.1875 kWh
2017-10-31T00:00:00-06:00,298.3125 kWh
2017-11-01T00:00:00-06:00,354.125 kWh
2017-11-02T00:00:00-06:00,356.625 kWh
2017-11-03T00:00:00-06:00,354.625 kWh
2017-11-04T00:00:00-06:00,264 kWh
2017-11-05T00:00:00-06:00,290.25 kWh
2017-11-06T00:00:00-07:00,420.8125 kWh
2017-11-07T00:00:00-07:00,402.6875 kWh
2017-11-08T00:00:00-07:00,406.125 kWh
2017-11-09T00:00:00-07:00,422.5 kWh
2017-11-10T00:00:00-07:00,337.125 kWh
2017-11-11T00:00:00-07:00,257.4375 kWh
2017-11-12T00:00:00-07:00,236.4375 kWh
2017-11-13T00:00:00-07:00,358.375 kWh
2017-11-14T00:00:00-07:00,368.1875 kWh
2017-11-15T00:00:00-07:00,388.9375 kWh
2017-11-16T00:00:00-07:00,408.25 kWh
2017-11-17T00:00:00-07:00,371.125 kWh
2017-11-18T00:00:00-07:00,269.9375 kWh
2017-11-19T00:00:00-07:00,278.125 kWh
2017-11-20T00:00:00-07:00,397.4375 kWh
2017-11-21T00:00:00-07:00,364.25 kWh
2017-11-22T00:00:00-07:00,345.125 kWh
2017-11-23T00:00:00-07:00,268.5 kWh
2017-11-24T00:00:00-07:00,247.6875 kWh
2017-11-25T00:00:00-07:00,235.4375 kWh
2017-11-26T00:00:00-07:00,251.4375 kWh
2017-11-27T00:00:00-07:00,425.375 kWh
2017-11-28T00:00:00-07:00,406.6875 kWh
2017-11-29T00:00:00-07:00,450.1875 kWh
2017-11-30T00:00:00-07:00,453.0625 kWh
2017-12-01T00:00:00-07:00,480.625 kWh
2017-12-02T00:00:00-07:00,393.4375 kWh
2017-12-03T00:00:00-07:00,392.375 kWh
2017-12-04T00:00:00-07:00,503.6875 kWh
2017-12-05T00:00:00-07:00,470.9375 kWh
2017-12-06T00:00:00-07:00,400.375 kWh
2017-12-07T00:00:00-07:00,348.5625 kWh
2017-12-08T00:00:00-07:00,329.625 kWh
2017-12-09T00:00:00-07:00,244.5 kWh
2017-12-10T00:00:00-07:00,264.8125 kWh
2017-12-11T00:00:00-07:00,296.8125 kWh
2017-12-12T00:00:00-07:00,293.0625 kWh
2017-12-13T00:00:00-07:00,299.4375 kWh
2017-12-14T00:00:00-07:00,283.8125 kWh
2017-12-15T00:00:00-07:00,261.1875 kWh
2017-12-16T00:00:00-07:00,203 kWh
2017-12-17T00:00:00-07:00,202.125 kWh
2017-12-18T00:00:00-07:00,249.875 kWh
2017-12-19T00:00:00-07:00,230.0625 kWh
2017-12-20T00:00:00-07:00,225.25 kWh
2017-12-21T00:00:00-07:00,215.4375 kWh
2017-12-22T00:00:00-07:00,200.625 kWh
2017-12-23T00:00:00-07:00,199.8125 kWh
2017-12-24T00:00:00-07:00,179.4375 kWh
2017-12-25T00:00:00-07:00,167.125 kWh
2017-12-26T00:00:00-07:00,171.75 kWh
2017-12-27T00:00:00-07:00,174.125 kWh
2017-12-28T00:00:00-07:00,171.5625 kWh
2017-12-29T00:00:00-07:00,180.6875 kWh
2017-12-30T00:00:00-07:00,180.5625 kWh
2017-12-31T00:00:00-07:00,180.125 kWh
