Timestamp,['1d0db151-64edb71c 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 KWH Received']
2017-07-20T00:00:00-06:00,5470.65625 kWh
2017-07-21T00:00:00-06:00,5410.9375 kWh
2017-07-22T00:00:00-06:00,5259.5625 kWh
2017-07-23T00:00:00-06:00,5028.375 kWh
2017-07-24T00:00:00-06:00,5028.34375 kWh
2017-07-25T00:00:00-06:00,5425 kWh
2017-07-26T00:00:00-06:00,5624.0625 kWh
2017-07-27T00:00:00-06:00,5704.125 kWh
2017-07-28T00:00:00-06:00,5851.53125 kWh
2017-07-29T00:00:00-06:00,5480 kWh
2017-07-30T00:00:00-06:00,5388.53125 kWh
2017-07-31T00:00:00-06:00,5530.09375 kWh
2017-08-01T00:00:00-06:00,5482.78125 kWh
2017-08-02T00:00:00-06:00,5508.65625 kWh
2017-08-03T00:00:00-06:00,5499.21875 kWh
2017-08-04T00:00:00-06:00,5468.53125 kWh
2017-08-05T00:00:00-06:00,5421.1875 kWh
2017-08-06T00:00:00-06:00,5739.875 kWh
2017-08-07T00:00:00-06:00,5178 kWh
2017-08-08T00:00:00-06:00,4539.3125 kWh
2017-08-09T00:00:00-06:00,4601.125 kWh
2017-08-10T00:00:00-06:00,4623.125 kWh
2017-08-11T00:00:00-06:00,4703.6875 kWh
2017-08-12T00:00:00-06:00,4178.65625 kWh
2017-08-13T00:00:00-06:00,4216.53125 kWh
2017-08-14T00:00:00-06:00,4609.59375 kWh
2017-08-15T00:00:00-06:00,4428.84375 kWh
2017-08-16T00:00:00-06:00,4455.75 kWh
2017-08-17T00:00:00-06:00,4571.03125 kWh
2017-08-18T00:00:00-06:00,4632.46875 kWh
2017-08-19T00:00:00-06:00,4077.78125 kWh
2017-08-20T00:00:00-06:00,4087.59375 kWh
2017-08-21T00:00:00-06:00,4639.46875 kWh
2017-08-22T00:00:00-06:00,4679.71875 kWh
2017-08-23T00:00:00-06:00,4600.09375 kWh
2017-08-24T00:00:00-06:00,4698.96875 kWh
2017-08-25T00:00:00-06:00,5030.90625 kWh
2017-08-26T00:00:00-06:00,4192.78125 kWh
2017-08-27T00:00:00-06:00,4222.9375 kWh
2017-08-28T00:00:00-06:00,5054.59375 kWh
2017-08-29T00:00:00-06:00,5097.5 kWh
2017-08-30T00:00:00-06:00,5635.40625 kWh
2017-08-31T00:00:00-06:00,5365.1875 kWh
2017-09-01T00:00:00-06:00,4933.375 kWh
2017-09-02T00:00:00-06:00,4125.25 kWh
2017-09-03T00:00:00-06:00,4188.625 kWh
2017-09-04T00:00:00-06:00,5083.5625 kWh
2017-09-05T00:00:00-06:00,5224.8125 kWh
2017-09-06T00:00:00-06:00,5144.375 kWh
2017-09-07T00:00:00-06:00,5169.75 kWh
2017-09-08T00:00:00-06:00,5163.125 kWh
2017-09-09T00:00:00-06:00,4093.9375 kWh
2017-09-10T00:00:00-06:00,4096.625 kWh
2017-09-11T00:00:00-06:00,5086.5 kWh
2017-09-12T00:00:00-06:00,5079.1875 kWh
2017-09-13T00:00:00-06:00,5073.1875 kWh
2017-09-14T00:00:00-06:00,4994.3125 kWh
2017-09-15T00:00:00-06:00,3994.5 kWh
2017-09-16T00:00:00-06:00,3150.5625 kWh
2017-09-17T00:00:00-06:00,3324.5 kWh
2017-09-18T00:00:00-06:00,4850.6875 kWh
2017-09-19T00:00:00-06:00,3725.5 kWh
2017-09-20T00:00:00-06:00,4087.25 kWh
2017-09-21T00:00:00-06:00,3061.3125 kWh
2017-09-22T00:00:00-06:00,2218.75 kWh
2017-09-23T00:00:00-06:00,1551.875 kWh
2017-09-24T00:00:00-06:00,1543.625 kWh
2017-09-25T00:00:00-06:00,1959.9375 kWh
2017-09-26T00:00:00-06:00,3068.625 kWh
2017-09-27T00:00:00-06:00,3199.4375 kWh
2017-09-28T00:00:00-06:00,3602.9375 kWh
2017-09-29T00:00:00-06:00,4227.1875 kWh
2017-09-30T00:00:00-06:00,3366.375 kWh
2017-10-01T00:00:00-06:00,1608.625 kWh
2017-10-02T00:00:00-06:00,1818.125 kWh
2017-10-03T00:00:00-06:00,2891.875 kWh
2017-10-04T00:00:00-06:00,3465.8125 kWh
2017-10-05T00:00:00-06:00,1970.125 kWh
2017-10-06T00:00:00-06:00,2991.125 kWh
2017-10-07T00:00:00-06:00,1693.625 kWh
2017-10-08T00:00:00-06:00,1622 kWh
2017-10-09T00:00:00-06:00,1908.0625 kWh
2017-10-10T00:00:00-06:00,2680.3125 kWh
2017-10-11T00:00:00-06:00,3502.3125 kWh
2017-10-12T00:00:00-06:00,1948.5 kWh
2017-10-13T00:00:00-06:00,1996.4375 kWh
2017-10-14T00:00:00-06:00,1578.625 kWh
2017-10-15T00:00:00-06:00,1615.875 kWh
2017-10-16T00:00:00-06:00,2038.0625 kWh
2017-10-17T00:00:00-06:00,2633.6875 kWh
2017-10-18T00:00:00-06:00,3416.0625 kWh
2017-10-19T00:00:00-06:00,3696.875 kWh
2017-10-20T00:00:00-06:00,3125.75 kWh
2017-10-21T00:00:00-06:00,1687.0625 kWh
2017-10-22T00:00:00-06:00,2692.6875 kWh
2017-10-23T00:00:00-06:00,3116.375 kWh
2017-10-24T00:00:00-06:00,2755 kWh
2017-10-25T00:00:00-06:00,3059.75 kWh
2017-10-26T00:00:00-06:00,2156.875 kWh
2017-10-27T00:00:00-06:00,2537.3125 kWh
2017-10-28T00:00:00-06:00,1693.25 kWh
2017-10-29T00:00:00-06:00,1764.875 kWh
2017-10-30T00:00:00-06:00,2127.375 kWh
2017-10-31T00:00:00-06:00,2000.3125 kWh
2017-11-01T00:00:00-06:00,2042.8125 kWh
2017-11-02T00:00:00-06:00,2069.1875 kWh
2017-11-03T00:00:00-06:00,2090.5625 kWh
2017-11-04T00:00:00-06:00,1690.125 kWh
2017-11-05T00:00:00-06:00,1683.0625 kWh
2017-11-06T00:00:00-07:00,2016.625 kWh
2017-11-07T00:00:00-07:00,2024 kWh
2017-11-08T00:00:00-07:00,2001 kWh
2017-11-09T00:00:00-07:00,2038.6875 kWh
2017-11-10T00:00:00-07:00,2001.5625 kWh
2017-11-11T00:00:00-07:00,1641.875 kWh
2017-11-12T00:00:00-07:00,1658.875 kWh
2017-11-13T00:00:00-07:00,2054.1875 kWh
2017-11-14T00:00:00-07:00,2078.125 kWh
2017-11-15T00:00:00-07:00,2077.3125 kWh
2017-11-16T00:00:00-07:00,2181.4375 kWh
2017-11-17T00:00:00-07:00,2083.625 kWh
2017-11-18T00:00:00-07:00,2017.375 kWh
2017-11-19T00:00:00-07:00,2185.75 kWh
2017-11-20T00:00:00-07:00,2321.1875 kWh
2017-11-21T00:00:00-07:00,2363.25 kWh
2017-11-22T00:00:00-07:00,2397.25 kWh
2017-11-23T00:00:00-07:00,2361.4375 kWh
2017-11-24T00:00:00-07:00,2379.875 kWh
2017-11-25T00:00:00-07:00,2272.6875 kWh
2017-11-26T00:00:00-07:00,2277.3125 kWh
2017-11-27T00:00:00-07:00,2583.8125 kWh
2017-11-28T00:00:00-07:00,2470.5 kWh
2017-11-29T00:00:00-07:00,2478.1875 kWh
2017-11-30T00:00:00-07:00,2469.3125 kWh
2017-12-01T00:00:00-07:00,2475.0625 kWh
2017-12-02T00:00:00-07:00,2351.375 kWh
2017-12-03T00:00:00-07:00,2461.375 kWh
2017-12-04T00:00:00-07:00,2518 kWh
2017-12-05T00:00:00-07:00,2514.4375 kWh
2017-12-06T00:00:00-07:00,2323.0625 kWh
2017-12-07T00:00:00-07:00,1950.375 kWh
2017-12-08T00:00:00-07:00,1948.75 kWh
2017-12-09T00:00:00-07:00,2094.1875 kWh
2017-12-10T00:00:00-07:00,2096.9375 kWh
2017-12-11T00:00:00-07:00,1839.375 kWh
2017-12-12T00:00:00-07:00,1661.9375 kWh
2017-12-13T00:00:00-07:00,1660.25 kWh
2017-12-14T00:00:00-07:00,1636.4375 kWh
2017-12-15T00:00:00-07:00,1627.4375 kWh
2017-12-16T00:00:00-07:00,1599.9375 kWh
2017-12-17T00:00:00-07:00,1597.125 kWh
2017-12-18T00:00:00-07:00,1628.875 kWh
2017-12-19T00:00:00-07:00,1605.5625 kWh
2017-12-20T00:00:00-07:00,1600.0625 kWh
2017-12-21T00:00:00-07:00,1661.375 kWh
2017-12-22T00:00:00-07:00,1618.8125 kWh
2017-12-23T00:00:00-07:00,1607.9375 kWh
2017-12-24T00:00:00-07:00,1607.6875 kWh
2017-12-25T00:00:00-07:00,1594.3125 kWh
2017-12-26T00:00:00-07:00,1609.75 kWh
2017-12-27T00:00:00-07:00,1615.25 kWh
2017-12-28T00:00:00-07:00,1607.1875 kWh
2017-12-29T00:00:00-07:00,1601.625 kWh
2017-12-30T00:00:00-07:00,1593.1875 kWh
2017-12-31T00:00:00-07:00,1610.0625 kWh
