Timestamp,['1ce63d05-fa03aadc 0028-MARRIOTT CENTER FOR DANCE Power Meter KWH Received']
2017-06-29T00:00:00-06:00,2177.1875 kWh
2017-06-30T00:00:00-06:00,2109.3125 kWh
2017-07-01T00:00:00-06:00,1828.25 kWh
2017-07-02T00:00:00-06:00,1648.4375 kWh
2017-07-03T00:00:00-06:00,2041.9375 kWh
2017-07-04T00:00:00-06:00,1755.25 kWh
2017-07-05T00:00:00-06:00,2056.125 kWh
2017-07-06T00:00:00-06:00,2130.0625 kWh
2017-07-07T00:00:00-06:00,2175.25 kWh
2017-07-08T00:00:00-06:00,1861 kWh
2017-07-09T00:00:00-06:00,1697.8125 kWh
2017-07-10T00:00:00-06:00,2112.8125 kWh
2017-07-11T00:00:00-06:00,2043.25 kWh
2017-07-12T00:00:00-06:00,1992.4375 kWh
2017-07-13T00:00:00-06:00,2169.3125 kWh
2017-07-14T00:00:00-06:00,2266.25 kWh
2017-07-15T00:00:00-06:00,1800.25 kWh
2017-07-16T00:00:00-06:00,1724.25 kWh
2017-07-17T00:00:00-06:00,1811.625 kWh
2017-07-18T00:00:00-06:00,1790.1875 kWh
2017-07-19T00:00:00-06:00,1703.6875 kWh
2017-07-20T00:00:00-06:00,1773.875 kWh
2017-07-21T00:00:00-06:00,1826.125 kWh
2017-07-22T00:00:00-06:00,1664.25 kWh
2017-07-23T00:00:00-06:00,1588.5625 kWh
2017-07-24T00:00:00-06:00,1687.75 kWh
2017-07-25T00:00:00-06:00,1758.0625 kWh
2017-07-26T00:00:00-06:00,1849.6875 kWh
2017-07-27T00:00:00-06:00,1946.5 kWh
2017-07-28T00:00:00-06:00,1980.375 kWh
2017-07-29T00:00:00-06:00,1813.1875 kWh
2017-07-30T00:00:00-06:00,1686.4375 kWh
2017-07-31T00:00:00-06:00,1819.5 kWh
2017-08-01T00:00:00-06:00,1827.4375 kWh
2017-08-02T00:00:00-06:00,1854.875 kWh
2017-08-03T00:00:00-06:00,1845.0625 kWh
2017-08-04T00:00:00-06:00,1851.1875 kWh
2017-08-05T00:00:00-06:00,1802.625 kWh
2017-08-06T00:00:00-06:00,1678.8125 kWh
2017-08-07T00:00:00-06:00,1798.3125 kWh
2017-08-08T00:00:00-06:00,1825 kWh
2017-08-09T00:00:00-06:00,2086.25 kWh
2017-08-10T00:00:00-06:00,1980.8125 kWh
2017-08-11T00:00:00-06:00,1824 kWh
2017-08-12T00:00:00-06:00,1757.625 kWh
2017-08-13T00:00:00-06:00,1608.375 kWh
2017-08-14T00:00:00-06:00,1830.75 kWh
2017-08-15T00:00:00-06:00,1826.25 kWh
2017-08-16T00:00:00-06:00,1942.875 kWh
2017-08-17T00:00:00-06:00,1865.375 kWh
2017-08-18T00:00:00-06:00,2041.1875 kWh
2017-08-19T00:00:00-06:00,1939.9375 kWh
2017-08-20T00:00:00-06:00,1806.5 kWh
2017-08-21T00:00:00-06:00,2299.5 kWh
2017-08-22T00:00:00-06:00,2289.9375 kWh
2017-08-23T00:00:00-06:00,2429 kWh
2017-08-24T00:00:00-06:00,2470.4375 kWh
2017-08-25T00:00:00-06:00,2343.375 kWh
2017-08-26T00:00:00-06:00,1911.6875 kWh
2017-08-27T00:00:00-06:00,1754.6875 kWh
2017-08-28T00:00:00-06:00,2540.0625 kWh
2017-08-29T00:00:00-06:00,2460.375 kWh
2017-08-30T00:00:00-06:00,2473.375 kWh
2017-08-31T00:00:00-06:00,2453.5 kWh
2017-09-01T00:00:00-06:00,2427.5 kWh
2017-09-02T00:00:00-06:00,1876.875 kWh
2017-09-03T00:00:00-06:00,1686.4375 kWh
2017-09-04T00:00:00-06:00,1859.875 kWh
2017-09-05T00:00:00-06:00,2596.375 kWh
2017-09-06T00:00:00-06:00,2643.75 kWh
2017-09-07T00:00:00-06:00,2571.875 kWh
2017-09-08T00:00:00-06:00,2474.375 kWh
2017-09-09T00:00:00-06:00,2286 kWh
2017-09-10T00:00:00-06:00,1819.375 kWh
2017-09-11T00:00:00-06:00,2524.875 kWh
2017-09-12T00:00:00-06:00,2638.875 kWh
2017-09-13T00:00:00-06:00,2613.5625 kWh
2017-09-14T00:00:00-06:00,2583.625 kWh
2017-09-15T00:00:00-06:00,2418.375 kWh
2017-09-16T00:00:00-06:00,2165.0625 kWh
2017-09-17T00:00:00-06:00,1991.1875 kWh
2017-09-18T00:00:00-06:00,2270.25 kWh
2017-09-19T00:00:00-06:00,2391.125 kWh
2017-09-20T00:00:00-06:00,2395.0625 kWh
2017-09-21T00:00:00-06:00,2465.125 kWh
2017-09-22T00:00:00-06:00,2498.5 kWh
2017-09-23T00:00:00-06:00,2263.625 kWh
2017-09-24T00:00:00-06:00,2143.1875 kWh
2017-09-25T00:00:00-06:00,2414.25 kWh
2017-09-26T00:00:00-06:00,2500.125 kWh
2017-09-27T00:00:00-06:00,2353.1875 kWh
2017-09-28T00:00:00-06:00,2307.25 kWh
2017-09-29T00:00:00-06:00,2244.8125 kWh
2017-09-30T00:00:00-06:00,2188.625 kWh
2017-10-01T00:00:00-06:00,2011.25 kWh
2017-10-02T00:00:00-06:00,2397.8125 kWh
2017-10-03T00:00:00-06:00,2475.375 kWh
2017-10-04T00:00:00-06:00,2420.8125 kWh
2017-10-05T00:00:00-06:00,2426 kWh
2017-10-06T00:00:00-06:00,2425 kWh
2017-10-07T00:00:00-06:00,1973.125 kWh
2017-10-08T00:00:00-06:00,1642.1875 kWh
2017-10-09T00:00:00-06:00,1870.125 kWh
2017-10-10T00:00:00-06:00,2050.4375 kWh
2017-10-11T00:00:00-06:00,1859.125 kWh
2017-10-12T00:00:00-06:00,1875.8125 kWh
2017-10-13T00:00:00-06:00,1972.9375 kWh
2017-10-14T00:00:00-06:00,1920.4375 kWh
2017-10-15T00:00:00-06:00,1642.0625 kWh
2017-10-16T00:00:00-06:00,2247.875 kWh
2017-10-17T00:00:00-06:00,2320.125 kWh
2017-10-18T00:00:00-06:00,2431.4375 kWh
2017-10-19T00:00:00-06:00,2353.75 kWh
2017-10-20T00:00:00-06:00,2298.6875 kWh
2017-10-21T00:00:00-06:00,2154.9375 kWh
2017-10-22T00:00:00-06:00,1845.25 kWh
2017-10-23T00:00:00-06:00,2283 kWh
2017-10-24T00:00:00-06:00,2366.5625 kWh
2017-10-25T00:00:00-06:00,2395.375 kWh
2017-10-26T00:00:00-06:00,2376.875 kWh
2017-10-27T00:00:00-06:00,2357.1875 kWh
2017-10-28T00:00:00-06:00,1984.6875 kWh
2017-10-29T00:00:00-06:00,1849 kWh
2017-10-30T00:00:00-06:00,2317.1875 kWh
2017-10-31T00:00:00-06:00,1950.3125 kWh
2017-11-01T00:00:00-06:00,2446.375 kWh
2017-11-02T00:00:00-06:00,2373.6875 kWh
2017-11-03T00:00:00-06:00,2350.3125 kWh
2017-11-04T00:00:00-06:00,2368.5 kWh
2017-11-05T00:00:00-06:00,2123.5625 kWh
2017-11-06T00:00:00-07:00,2401.5 kWh
2017-11-07T00:00:00-07:00,2452.3125 kWh
2017-11-08T00:00:00-07:00,2364.9375 kWh
2017-11-09T00:00:00-07:00,2382.25 kWh
2017-11-10T00:00:00-07:00,2521.75 kWh
2017-11-11T00:00:00-07:00,2287.5 kWh
2017-11-12T00:00:00-07:00,1906.3125 kWh
2017-11-13T00:00:00-07:00,2265 kWh
2017-11-14T00:00:00-07:00,2337.25 kWh
2017-11-15T00:00:00-07:00,2422.75 kWh
2017-11-16T00:00:00-07:00,2347.25 kWh
2017-11-17T00:00:00-07:00,2313.4375 kWh
2017-11-18T00:00:00-07:00,2233.4375 kWh
2017-11-19T00:00:00-07:00,1828.125 kWh
2017-11-20T00:00:00-07:00,2362.125 kWh
2017-11-21T00:00:00-07:00,2323.75 kWh
2017-11-22T00:00:00-07:00,1985.375 kWh
2017-11-23T00:00:00-07:00,1645.9375 kWh
2017-11-24T00:00:00-07:00,1672.375 kWh
2017-11-25T00:00:00-07:00,1579.5625 kWh
2017-11-26T00:00:00-07:00,1611.4375 kWh
2017-11-27T00:00:00-07:00,2237.5 kWh
2017-11-28T00:00:00-07:00,2283.8125 kWh
2017-11-29T00:00:00-07:00,2225.375 kWh
2017-11-30T00:00:00-07:00,2282.855010986328 kWh
2017-12-01T00:00:00-07:00,2248.239959716797 kWh
2017-12-02T00:00:00-07:00,2062.570068359375 kWh
2017-12-03T00:00:00-07:00,1799.97998046875 kWh
2017-12-04T00:00:00-07:00,2221.11962890625 kWh
2017-12-05T00:00:00-07:00,2270.7802734375 kWh
2017-12-06T00:00:00-07:00,2243.8896484375 kWh
2017-12-07T00:00:00-07:00,2182.23046875 kWh
2017-12-08T00:00:00-07:00,2087.2294921875 kWh
2017-12-09T00:00:00-07:00,1785.810546875 kWh
2017-12-10T00:00:00-07:00,1754.05078125 kWh
2017-12-11T00:00:00-07:00,1830.419921875 kWh
2017-12-12T00:00:00-07:00,2064.26953125 kWh
2017-12-13T00:00:00-07:00,2039.349609375 kWh
2017-12-14T00:00:00-07:00,2045.890625 kWh
2017-12-15T00:00:00-07:00,1914.6796875 kWh
2017-12-16T00:00:00-07:00,2107.087890625 kWh
2017-12-17T00:00:00-07:00,1501.25 kWh
2017-12-18T00:00:00-07:00,1691.2109375 kWh
2017-12-19T00:00:00-07:00,1628.359375 kWh
2017-12-20T00:00:00-07:00,1671.94140625 kWh
2017-12-21T00:00:00-07:00,1669.9296875 kWh
2017-12-22T00:00:00-07:00,1524.21875 kWh
2017-12-23T00:00:00-07:00,1517.4609375 kWh
2017-12-24T00:00:00-07:00,1474.359375 kWh
2017-12-25T00:00:00-07:00,1477.8125 kWh
2017-12-26T00:00:00-07:00,1506.59765625 kWh
2017-12-27T00:00:00-07:00,1517.83203125 kWh
2017-12-28T00:00:00-07:00,1550.59765625 kWh
2017-12-29T00:00:00-07:00,1617.203125 kWh
2017-12-30T00:00:00-07:00,1623.6875 kWh
2017-12-31T00:00:00-07:00,1577.26953125 kWh
